Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/2006,,293,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2007,1006.0,276,728,86.0,,136.0,-50.0,-84.0,134.0,0.0,-218.0,,-660.0,-717.0,3.0,,,-720.0,,,0.0,0.0,0.0,,,,,57.0,-350.0,0.0,-283.0,,,,3.0,3.0,0.0,-70.0,,-4.0,1.0,255.0,
06/30/2007,1198.0,272,733,138.0,,47.0,91.0,55.0,-66.0,0.0,121.0,,-864.0,-830.0,1.0,,,-831.0,,,0.0,0.0,0.0,,,,,-34.0,-311.0,0.0,-300.0,,,,2.0,2.0,0.0,-13.0,,23.0,51.0,145.0,
09/30/2007,1049.0,248,747,85.0,,42.0,43.0,-31.0,-63.0,0.0,32.0,,-924.0,-861.0,3.0,,,-864.0,,,-30.0,0.0,-30.0,,,,,-33.0,316.0,0.0,313.0,,,,1.0,1.0,0.0,2.0,,441.0,147.0,210.0,
12/31/2007,1310.0,327,768,166.0,,92.0,74.0,49.0,13.0,0.0,36.0,,-984.0,-1016.0,2.0,,,-1018.0,,,30.0,30.0,0.0,,,,,2.0,-605.0,0.0,-600.0,,,,-1.0,0.0,-1.0,-4.0,,-279.0,93.0,235.0,
03/31/2008,1186.0,242,766,140.0,34.0,147.0,-41.0,38.0,104.0,,-66.0,,-841.0,-846.0,0.0,,,-846.0,,,,,,,,,,5.0,-351.0,0.0,-348.0,,,,0.0,0.0,0.0,-3.0,,-6.0,-1.0,212.0,
06/30/2008,1349.0,277,787,335.0,,229.0,106.0,-50.0,-86.0,,36.0,,-882.0,-862.0,0.0,,,-862.0,,,0.0,0.0,0.0,,,,,-20.0,3156.0,0.0,3240.0,,,,0.0,0.0,0.0,-84.0,,3623.0,19.0,182.0,
09/30/2008,1329.0,301,766,291.0,,283.0,8.0,-29.0,-12.0,,-17.0,,-1372.0,-862.0,12.0,,,-874.0,,,0.0,0.0,0.0,,,,,-510.0,-716.0,0.0,-713.0,,,,0.0,0.0,0.0,-3.0,,-759.0,-48.0,-938.0,
12/31/2008,5300.0,-7344,3088,9488.0,78.0,-4557.0,13967.0,68.0,20.0,,48.0,,-4140.0,-3455.0,67.0,,,-3522.0,,,0.0,0.0,0.0,,,,,-685.0,4057.0,0.0,4159.0,,,,0.0,0.0,0.0,-102.0,,5217.0,-36.0,-707.0,
03/31/2009,1141.0,164,748,168.0,35.0,145.0,-12.0,61.0,173.0,0.0,-112.0,0.0,-759.0,-768.0,1.0,1.0,0.0,-769.0,-769.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,-5435.0,-10856.0,5432.0,,8614.0,-3182.0,0.0,0.0,0.0,-11.0,0.0,-5053.0,-22.0,360.0,
