Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/1998,85.361,-186.373001,0.545,352.083008,,9.319,342.764008,-80.893997,-64.960999,,-15.932999,,-287.427002,0.0,0,,,0.0,,,-0.006,0.0,-0.006,,,,,-287.421002,691.707016,0.0,839.296997,,,,258.227005,392.598999,-134.371994,-405.816986,,489.640991,4.904,0.023,
12/31/1998,123.365997,56.023998,,105.917,,0.335,105.582,-38.575001,-53.782001,,15.207001,,-143.270004,0.0,0,,,0.0,,,-16.695,0.0,-16.695,,,,,-126.575005,335.403004,0.0,-88.886002,,,,482.699005,482.699005,0.0,-58.41,,315.498993,2.905,33.831001,
03/31/1999,-19.441,-1.908,0.211,111.859001,,22.125,89.734001,-129.602997,,,-129.602997,,-158.007996,-145.147995,0,,,-145.147995,,,0.0,0.0,0.0,,,,,-12.860001,-64.796001,0.0,-17.742001,,,,0.834,0.834,0.0,-47.888,,-242.244995,1.788,0.772,
06/30/1999,197.367996,9.978,3.989,66.788002,,-7.612,74.400002,116.612999,,,116.612999,,-410.428009,-442.546997,0,,,-442.546997,,,0.0,0.0,0.0,,,,,32.118988,324.794002,-26.104,301.458,,,,4.79,4.79,0.0,44.650002,,111.734001,7.593,14.06,
09/30/1999,352.96701,120.988998,15.928,8.781,,-2.16,10.941,207.268997,,,207.268997,,-1419.120972,-721.22998,0,,,-721.22998,,,0.0,0.0,0.0,,,,,-697.890991,647.337971,-15.209,740.292969,,,,1.744,1.744,0.0,-79.489998,,-418.81601,1.988,26.402,
12/31/1999,-24.809999,-199.985001,231.787003,-114.666,,22.921,-137.587,58.054001,,,58.054001,,-2022.420044,-461.98999,0,,,-461.98999,,,0.0,0.0,0.0,,,,,-1560.430054,3423.46304,-11.116,1168.342041,,,,1702.745972,1702.745972,0.0,563.491028,,1376.233032,3.22,99.996002,
03/31/2000,168.0,-303.0,279.0,99.0,,-8.0,107.0,93.0,,,93.0,,-902.0,-761.0,0,,,-761.0,,,-71.0,0.0,-71.0,,,,,-70.0,354.0,-23.0,290.0,,,,41.0,41.0,0.0,46.0,,-380.0,23.0,35.0,
06/30/2000,162.0,-365.0,318.0,112.0,,12.0,100.0,97.0,,,97.0,,-860.0,-814.0,0,,,-814.0,,,-73.0,0.0,-73.0,,,,,27.0,1744.0,,54.0,,,,1818.0,1818.0,0.0,-128.0,,1046.0,11.0,134.0,
09/30/2000,294.0,-544.0,272.0,69.0,,-17.0,86.0,497.0,,,497.0,,-1126.0,-1135.0,0,,,-1135.0,,,-19.0,0.0,-19.0,,,,,28.0,-253.0,-100.0,169.0,,,,25.0,25.0,0.0,-347.0,,-1085.0,37.0,402.0,
03/31/2001,21.0,-616.0,413.0,62.0,,9.0,53.0,162.0,,,162.0,,-1273.0,-1262.0,0,,,-1262.0,,,-1.0,0.0,-1.0,,,,,-10.0,1020.0,-45.0,1091.0,,,,3.0,3.0,0.0,-29.0,,-232.0,30.0,68.0,
06/30/2001,656.0,-630.0,450.0,185.0,,103.0,82.0,651.0,,,651.0,,2360.0,-1024.0,0,,,-1024.0,,,1.0,1.0,,,,,,3383.0,-2338.0,,-2288.0,,,,3.0,3.0,0.0,-53.0,,678.0,-114.0,171.0,
09/30/2001,-259.0,-3348.0,305.0,2164.0,,-527.0,2691.0,620.0,,,620.0,,-977.0,2373.0,3369,,,-996.0,,,0.0,0.0,0.0,,,,,-3350.0,1613.0,-119.0,1604.0,,,,2.0,2.0,0.0,126.0,,377.0,-3.0,426.0,
12/13/2001,-1642.0,-17800.0,380.0,17711.0,,415.0,17296.0,-1933.0,,,-1933.0,,804.0,-2730.0,639,,,-3369.0,,,0.0,1.0,-1.0,,,,,3534.0,-144.0,,-21.0,,,,0.0,,0.0,-123.0,,-982.0,-4.0,,
03/31/2003,-49.0,-97.0,35.0,1.0,,,1.0,12.0,,,12.0,,-37.0,-38.0,6,,,-44.0,,,0.0,0.0,0.0,,,,,1.0,-5.0,0.0,-5.0,,,,0.0,0.0,0.0,0.0,,-91.0,1.0,5.0,
