Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1991,72.885002,,-41.306,,31.579002,,-1.397,,,,30.181999,-19.756,,20.055,,,,-0.299,10.425999,-1.531,8.895,0.0,,,8.894999,-0.222,8.673,0.0,,8.673,8.673,,243.646507,0.035599,0.035599,0.035599,243.646507,0.035599,0.035599,0.035599,
06/30/1991,81.336998,,-46.237,,35.099998,,-2.568,,,,32.532001,-20.515,,21.048,,,,-0.533,12.017001,-1.763,10.254,0.0,,,10.254001,-0.262,9.992,0.0,,9.992,9.992,,247.002231,0.040453,0.040453,0.040453,247.002231,0.040453,0.040453,0.040453,
09/30/1991,92.318001,,-52.908001,,39.41,,-2.156,,,,37.254002,-21.137,,22.733,,,,-1.596,16.117002,-2.392,13.725,0.0,,,13.725002,-0.173,13.552,0.0,,13.552,13.552,,270.164878,0.050162,0.050162,0.050162,270.164878,0.050162,0.050162,0.050162,
12/31/1991,86.967003,,-51.405998,,35.561005,,-3.444,,,,32.117001,-19.385,,20.951,,,,-1.566,12.732,-1.836975,10.895,0.0,,,10.895025,-0.486,10.409,0.0,,10.409,10.409,,268.03277,0.038835,0.038835,0.038835,268.03277,0.038835,0.038835,0.038835,
03/31/1992,89.018997,,-51.34,,37.678997,,-2.676,,,,35.002998,-20.593,,21.444,,,,-0.851,14.409998,-2.112,12.298,0.0,,,12.297998,-0.333,11.965,0.0,,11.965,11.965,,273.866692,0.043689,0.043689,0.043689,273.866692,0.043689,0.043689,0.043689,
06/30/1992,87.160004,,-50.625999,,36.534004,,-2.542,,,,33.992001,-19.841,,21.659,,,,-1.818,14.151,-2.104,12.047,0.0,,,12.047,-0.12,11.927,0.0,,11.927,11.927,,272.995319,0.043689,0.043689,0.043689,272.995319,0.043689,0.043689,0.043689,
09/30/1992,107.620003,,-61.504002,,46.116001,,-4.993,,,,41.123001,-21.234999,,24.299999,,,,-3.065,19.888002,-3.085,16.802999,0.0,,,16.803002,-0.059,16.743999,0.0,,16.743999,16.743999,,279.66973,0.059871,0.059871,0.059871,279.66973,0.059871,0.059871,0.059871,
12/31/1992,117.194,,-66.968002,,50.225998,,-7.529,,,,42.696999,-25.253999,,29.754999,,,,-4.501,17.442999,-2.051,15.392,0.0,,,15.391999,-0.219,15.173,0.0,,15.173,15.173,,284.150221,0.053398,0.053398,0.053398,284.150221,0.053398,0.053398,0.053398,
03/31/1993,129.503006,,-67.68,,61.823006,,-8.904,,,,52.918999,-26.174999,,30.039,,,,-3.864,26.743999,-5.469,21.275,0.0,,,21.274999,-0.204,21.070999,0.0,,21.070999,21.070999,,280.751225,0.074434,0.074434,0.074434,280.751225,0.074434,0.074434,0.074434,
06/30/1993,128.822006,,-66.970001,,61.852005,,-8.583,,,,53.269001,-26.006001,,30.985001,,,,-4.979,27.263,-5.35,21.913,0.0,,,21.913001,-0.102,21.811001,0.0,,21.811001,21.811001,,282.506348,0.07767,0.07767,0.07767,282.506348,0.07767,0.07767,0.07767,
09/30/1993,129.235992,,-65.639,,63.596992,,-8.808,,,,54.789001,-25.448,,32.0,,,,-6.552,29.341002,-5.742,23.599001,0.857,,,22.742001,0.382,23.124001,0.0,,23.124001,23.124001,,299.760907,0.07767,0.080906,0.080906,299.760907,0.07767,0.080906,0.080906,
12/31/1993,131.149994,,-68.411003,,62.738991,,-30.753,,,,31.986,-25.908001,,31.995001,,,,-6.087,6.077999,-1.566,4.512,-0.857,,,5.368999,-0.11,5.259,0.0,,5.259,5.259,,311.42875,0.016181,0.012945,0.012945,311.42875,0.016181,0.012945,0.012945,
03/31/1994,125.221001,,-64.906998,,60.314003,,-6.255,,,,54.058998,-23.334,,30.198,,,,-6.864,30.724998,-9.082,21.643,-3.856,,,25.498998,-0.702,24.797001,0.0,,24.797001,24.797001,,303.171997,0.0825,0.07,0.07,303.171997,0.0825,0.07,0.07,
06/30/1994,135.994995,,-67.136002,,68.858994,,-6.646,,,,62.213001,-23.405001,,31.909,,,,-8.504,38.808001,-12.073,26.735001,0.0,,,26.735001,-1.094,25.641001,0.0,,25.641001,25.641001,,302.667999,0.085,0.085,0.085,302.667999,0.085,0.085,0.085,
09/30/1994,136.393997,,-69.260002,,67.133995,,-8.867,,,,58.266998,-20.552,,30.149,,,,-9.597,37.714998,-11.525,26.190001,0.0,,,26.189999,-0.626,25.563999,0.0,,25.563999,25.563999,,302.932007,0.085,0.085,0.085,302.932007,0.085,0.085,0.085,
