Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,168.731995,29.34,29.34,,35.271999,,,12.338,,,,,12.16,,,,89.110001,28.375,71.362999,-42.987999,0.0,,51.247002,,,,,51.247002,79.622002,,11.563,11.563,,,,0.0,,,,,,41.219002,,,41.219002,52.782001,0.0,,,,,43.375,,,,,,43.375,43.375,96.157001,0.0,27.622,,,-54.769001,,99.722,72.574999,0.0,72.574999,168.732,
06/30/1990,181.947006,29.277,29.277,,40.360001,,,13.705,,,,,15.978,,,,99.32,30.013,74.390999,-44.377998,0.0,,52.613998,,,,,52.613998,82.626999,,12.731,12.731,,,,0.0,,,,,,42.566001,,,42.566001,55.297001,0.0,,,,,45.115002,,,,,,45.115002,45.115002,100.412003,0.0,27.622,,,-54.706001,,108.618999,81.534998,0.0,81.534998,181.947001,
09/30/1990,183.522003,30.513,30.513,,41.578999,,,12.349,,,,,15.734,,,,100.175003,30.17,75.741997,-45.571999,0.0,,53.176998,,,,,53.176998,83.346998,,10.181,10.181,,,,0.0,,,,,,42.862999,,,42.862999,53.043999,0.0,,,,,44.695,,,,,,44.695,44.695,97.738998,0.0,27.622,,,-54.646999,,112.807999,85.782999,0.0,85.782999,183.521997,
12/31/1990,177.960999,31.832001,31.832001,,37.696999,,,12.873,,,,,12.149,,,,94.551003,29.804001,76.633003,-46.828999,0.0,,53.605999,,,,,53.605999,83.41,,10.169,10.169,,,,0.0,,,,,,39.405002,,,39.405002,49.574001,0.0,,,,,41.667999,,,,,,41.667999,41.667999,91.242001,0.0,27.622,,,-54.581001,,113.678001,86.719,0.0,86.719,177.961,
03/31/1991,186.654007,34.616001,34.616001,,40.075001,,,14.778,,,,,12.534,,,,102.002998,31.040001,77.014999,-45.974998,0.0,,53.611,,,,,53.611,84.651001,,13.43,13.43,,,,0.0,,,,,,43.562,,,43.562,56.992001,0.0,,,,,42.189999,,,,,,42.189999,42.189999,99.181999,0.0,27.622,,,-54.408001,,114.257999,87.471998,0.0,87.471998,186.653997,
06/30/1991,196.529007,31.702,31.702,,49.777,,,15.705,,,,,15.159,,,,112.343002,30.841,76.879997,-46.039001,0.0,,53.345001,,,,,53.345001,84.186001,,11.42,11.42,,,,0.0,,,,,,47.065001,,,47.065001,58.485001,0.0,,,,,40.217999,,,,,,40.217999,40.217999,98.702999,0.0,27.622,,,-54.276001,,124.480003,97.826002,0.0,97.826002,196.529001,
09/30/1991,205.794998,41.314999,41.314999,,52.673,,,14.537,,,,,13.741,,,,122.265999,30.410999,77.611,-47.200001,0.0,,53.118,,,,,53.118,83.528999,,10.264,10.264,,,,0.0,,,,,,48.362,,,48.362,58.625999,0.0,,,,,43.973,,,,,,43.973,43.973,102.598999,0.0,27.622,,,-54.171001,,129.744999,103.195997,0.0,103.195997,205.794996,
12/31/1991,204.576996,41.23,41.23,,52.580002,,,15.078,,,,,12.204,,,,121.092003,30.08,78.250999,-48.171001,0.0,,53.404999,,,,,53.404999,83.484999,,10.069,10.069,,,,0.0,,,,,,46.282001,,,46.282001,56.351002,0.0,,,,,43.089001,,,,,,43.089001,43.089001,99.440002,0.0,27.622,,,-54.087002,,131.602001,105.136999,0.0,105.136999,204.577002,
03/31/1992,212.895004,45.633999,35.633999,10.0,55.247002,,,17.009001,,,,,11.375,,,,129.264999,29.705,78.902,-49.196999,0.0,,53.924999,,,,,53.924999,83.629999,,11.627,11.627,,,,0.0,,,,,,50.367999,,,50.367999,61.994999,0.0,,,,,43.936001,,,,,,43.936001,43.936001,105.931,0.0,27.622,,,-53.883999,,133.226002,106.964003,0.0,106.964003,212.895002,
06/30/1992,229.845993,46.466999,26.316,20.150999,65.093002,,,17.931999,,,,,14.865,,,,144.356995,29.259001,79.250999,-49.992001,0.0,,56.23,,,,,56.23,85.489,,12.423,12.423,,,,0.0,,,,,,53.618,,,53.618,66.041,0.0,,,,,43.708,,,,,,43.708,43.708,109.749001,0.0,27.622,,,-53.729,,146.203999,120.096998,0.0,120.096998,229.845999,
