Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,15.195,,-6.337,,8.858,,-4.458,,,,4.4,0.584,,,,0.0,-0.584,4.984,-1.793,3.191,0.0,,,3.191,0.0,3.191,0.0,,3.191,3.191,,82.127998,0.039167,0.039167,,82.127998,0.039167,0.039167,0.039167,
06/30/1990,16.549,,-6.599,,9.95,,-5.097,,,,4.853,0.579,,,,0.0,-0.579,5.432,-1.954,3.478,0.0,,,3.478,0.0,3.478,0.0,,3.478,3.478,,83.867998,0.041667,0.041667,,83.867998,0.041667,0.041667,0.041667,
09/30/1990,17.214001,,-6.741,,10.473001,,-5.556,,,,4.917,0.685,,,,0.0,-0.685,5.602,-1.965,3.637,0.0,,,3.637,0.0,3.637,0.0,,3.637,3.637,,85.068003,0.043333,0.043333,,85.068003,0.043333,0.043333,0.043333,
12/31/1990,18.15,,-7.13,,11.02,,-5.985,,,,5.035,0.695,,,,0.0,-0.695,5.73,-1.999,3.731,0.0,,,3.731,0.0,3.731,0.0,,3.731,3.731,,83.862,0.045,0.045,0.045,83.862,0.045,0.045,0.045,
03/31/1991,18.719999,,-7.481,,11.238999,,-5.765,,,,5.474,0.689,,,,0.0,-0.689,6.163,-2.168,3.995,0.0,,,3.995,0.0,3.995,0.0,,3.995,3.995,,86.189999,0.046667,0.046667,,86.189999,0.046667,0.046667,0.046667,
06/30/1991,19.969999,,-8.086,,11.883999,,-6.145,,,,5.739,0.626,,,,0.0,-0.626,6.365,-2.163,4.202,0.0,,,4.202,0.0,4.202,0.0,,4.202,4.202,,87.516003,0.048333,0.048333,,87.516003,0.048333,0.048333,0.048333,
09/30/1991,20.296,,-8.2,,12.096,,-6.192,,,,5.904,0.708,,,,0.0,-0.708,6.612,-2.247,4.365,0.0,,,4.365,0.0,4.365,0.0,,4.365,4.365,,87.666,0.05,0.05,,87.666,0.05,0.05,0.05,
12/31/1991,21.028,,-8.828,,12.2,,-6.489,,,,5.711,0.565,,,,0.0,-0.565,6.276,-2.004,4.272,0.0,,,4.272,0.0,4.272,0.0,,4.272,4.272,,84.495,0.046667,0.046667,0.046667,84.495,0.046667,0.046667,0.046667,
03/31/1992,21.59,,-8.869,,12.721,,-7.009,,,,5.712,0.484,,,,0.0,-0.484,6.196,-2.107,4.089,0.0,,,4.089,0.0,4.089,0.0,,4.089,4.089,,88.337997,0.046667,0.046667,,88.337997,0.046667,0.046667,0.046667,
06/30/1992,14.513,,-6.808,,7.704999,,-8.021,,,,-0.316,0.494,,,,0.0,-0.494,0.178,-0.061,0.117,0.0,,,0.117,0.0,0.117,0.0,,0.117,0.117,,86.045998,0.001667,0.001667,,86.045998,0.001667,0.001667,0.001667,
09/30/1992,16.323,,-7.815,,8.508,,-7.931,,,,0.577,0.42,,,,0.0,-0.42,0.997,-0.343,0.654,0.0,,,0.654,0.0,0.654,0.0,,0.654,0.654,,84.659998,0.008333,0.008333,,84.659998,0.008333,0.008333,0.008333,
12/31/1992,17.374001,,-7.401,,9.973001,,-8.277,,,,1.696,0.36,,,,0.0,-0.36,2.056,-0.676,1.38,0.0,,,1.38,0.0,1.38,0.0,,1.38,1.38,,82.023,0.016667,0.016667,0.016667,82.023,0.016667,0.016667,0.016667,
03/31/1993,20.962999,,-9.503,,11.459999,,-8.628,,,,2.832,0.348,,,,0.0,-0.348,3.18,-1.081,2.099,0.0,,,2.099,0.0,2.099,0.0,,2.099,2.099,,86.334,0.025,0.025,,86.334,0.025,0.025,0.025,
06/30/1993,25.275,,-11.067,,14.207999,,-9.028,,,,5.18,0.42,,,,0.0,-0.42,5.6,-1.96,3.64,0.0,,,3.64,0.0,3.64,0.0,,3.64,3.64,,87.323999,0.041667,0.041667,,87.323999,0.041667,0.041667,0.041667,
09/30/1993,29.974001,,-12.441,,17.533001,,-10.555,,,,6.978,0.303,,,,0.0,-0.303,7.281,-2.58,4.701,0.0,,,4.701,0.0,4.701,0.0,,4.701,4.701,,89.021999,0.053333,0.053333,,89.021999,0.053333,0.053333,0.053333,
12/31/1993,37.331001,,-16.054001,,21.277,,-12.909,,,,8.368,0.356,,,,0.0,-0.356,8.724,-3.045,5.679,0.0,,,5.679,0.0,5.679,0.0,,5.679,5.679,,89.4,0.063333,0.063333,0.063333,89.4,0.063333,0.063333,0.063333,
03/31/1994,42.437,,-18.197001,,24.24,,-13.741,,,,10.499,0.472,,,,0.0,-0.472,10.971,-3.73,7.241,0.0,,,7.241,0.0,7.241,0.0,,7.241,7.241,,91.679998,0.078333,0.078333,,91.679998,0.078333,0.078333,0.078333,
06/30/1994,51.029999,,-21.867001,,29.162998,,-15.267,,,,13.896,1.045,,,,0.0,-1.045,14.941,-5.08,9.861,0.0,,,9.861,0.0,9.861,0.0,,9.861,9.861,,99.251999,0.1,0.1,,99.251999,0.1,0.1,0.1,
09/30/1994,59.533001,,-25.481001,,34.052,,-16.339001,,,,17.712999,1.308,,,,0.0,-1.308,19.020999,-6.467,12.554,0.0,,,12.553999,0.0,12.554,0.0,,12.554,12.554,,100.596004,0.125,0.125,,100.596004,0.125,0.125,0.125,
12/31/1994,71.679001,,-30.681,,40.998001,,-19.409,,,,21.589001,1.557,,,,0.0,-1.557,23.146001,-7.87,15.276,0.0,,,15.276001,0.0,15.276,0.0,,15.276,15.276,,101.861994,0.15,0.15,0.15,101.861994,0.15,0.15,0.15,
03/31/1995,76.129997,,-32.584,,43.545998,,-20.527,,,,23.018999,2.145,,,,0.0,-2.145,25.163999,-8.556,16.608,0.0,,,16.607999,0.0,16.608,0.0,,16.608,16.608,,102.089996,0.163333,0.163333,,102.089996,0.163333,0.163333,0.163333,
06/30/1995,87.398003,,-36.714001,,50.684002,,-23.927,,,,26.757,2.3,,,,0.0,-2.3,29.057,-9.879,19.177999,0.0,,,19.178,0.0,19.177999,0.0,,19.177999,19.177999,,102.737995,0.186667,0.186667,,102.737995,0.186667,0.186667,0.186667,
09/30/1995,100.406998,,-42.171001,,58.235996,,-27.365999,,,,30.870001,2.338,,,,0.0,-2.338,33.208001,-11.291,21.917,0.0,,,21.917001,0.0,21.917,0.0,,21.917,21.917,,103.620003,0.211667,0.211667,,103.620003,0.211667,0.211667,0.211667,
12/31/1995,109.796997,,-46.116001,,63.680996,,-28.535999,,,,35.145,2.491,,,,0.0,-2.491,37.636,-12.796,24.84,0.0,,,24.84,0.0,24.84,0.0,,24.84,24.84,,102.821994,0.241667,0.241667,0.241667,102.821994,0.241667,0.241667,0.241667,
