Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,161.714996,24.341,24.341,0.0,51.042,,,51.305,,,,,6.72,,,,133.408005,24.136999,,,0.0,4.17,,,,,4.17,28.306999,,14.21,14.21,,,,3.792,,,,,,20.159999,,,20.159999,38.161999,2.626,,,,,2.118,,,,2.118,4.744,42.905999,0.0,9.038,,,0.0,,109.771004,118.809004,0.0,118.809004,161.715003,
06/30/1990,167.229004,21.226,21.226,0.0,54.185001,,,54.458,,,,,6.647,,,,136.516006,25.353001,,,0.0,5.36,,,,,5.36,30.713001,,14.351,14.351,,,,2.007,,,,,,21.35,,,21.35,37.708,2.757,,,,,2.1,,,,2.1,4.857,42.565,0.0,9.051,,,0.0,,115.612999,124.663999,0.0,124.663999,167.228999,
09/30/1990,194.251007,47.141998,47.141998,0.0,51.546001,,,55.749001,,,,,6.859,,,,161.296005,27.587999,,,0.0,5.367,,,,,5.367,32.954999,,13.94,13.94,,,,1.729,,,,,,33.349002,,,33.349002,49.018002,2.304,,,,,2.082,,,,2.082,4.386,53.404001,0.0,9.073,,,0.0,,131.774002,140.847002,0.0,140.847002,194.251004,
12/31/1990,209.520996,54.052001,38.672001,15.38,50.723,,,60.132999,,,,,10.726,,,,175.634003,28.700001,59.558998,-30.858999,0.0,5.187,,,,,5.187,33.887001,,20.85,20.85,,,,2.745,,,,,,34.162,,,34.162,57.757,1.9,,,,,1.989,,,,1.989,3.889,61.646,0.0,9.503,,,0.0,,138.371994,147.874994,0.0,147.874994,209.520994,
03/31/1991,218.436005,53.780998,37.335999,16.445,52.226002,,,67.194,,,,,10.893,,,,184.093994,29.308001,,,0.0,5.034,,,,,5.034,34.342,,22.427999,22.427999,,,,4.378,,,,,,33.421002,,,33.421002,60.227001,1.9,,,,,1.984,,,,1.984,3.884,64.111001,0.0,9.852,,,0.0,,144.473007,154.325007,0.0,154.325007,218.436009,
06/30/1991,222.285995,50.682999,38.112999,12.57,50.004002,,,72.778,,,,,11.455,,,,184.919998,32.537998,,,0.0,4.828,,,,,4.828,37.365998,,21.297001,21.297001,,,,4.869,,,,,,30.900001,,,30.900001,57.066002,1.9,,,,,1.983,,,,1.983,3.883,60.949002,0.0,9.989,,,0.0,,151.348007,161.337008,0.0,161.337008,222.286009,
09/30/1991,242.307999,63.994999,42.683998,21.311001,46.778,,,80.316002,,,,,11.247,,,,202.335999,33.589001,,,0.0,6.383,,,,,6.383,39.972001,,21.562,21.562,,,,6.096,,,,,,42.281003,,,42.281003,69.939003,1.4,,,,,1.985,,,,1.985,3.385,73.324003,0.0,10.352,,,0.0,,158.632004,168.984004,0.0,168.984004,242.308007,
12/31/1991,270.31601,80.029001,52.921001,27.108,53.268002,,,78.194,,,,,17.187,,,,228.677994,36.056,73.739998,-37.683998,0.0,5.582,,,,,5.582,41.638,,29.148001,29.148001,,,,7.246,,,,,,51.988003,,,51.988003,88.382004,1.4,,,,,0.659,,,,0.659,2.059,90.441004,0.0,10.773,,,0.0,,169.102005,179.875005,0.0,179.875005,270.316009,
03/31/1992,267.419006,65.014999,44.960999,20.054001,58.589001,,,81.042,,,,,17.424999,,,,222.070999,39.905998,,,0.0,5.442,,,,,5.442,45.347998,,27.032,27.032,,,,4.658,,,,,,42.894,,,42.894,74.584,1.4,,,,,0.656,,,,0.656,2.056,76.64,0.0,12.091,,,0.0,,178.688004,190.779003,0.0,190.779003,267.419003,
06/30/1992,282.906006,68.401999,41.778999,26.622999,64.754997,,,83.583,,,,,16.395,,,,233.134995,44.293999,,,0.0,5.477,,,,,5.477,49.770999,,29.518999,29.518999,,,,1.568,,,,,,46.368003,,,46.368003,77.455002,1.4,,,,,0.659,,,,0.659,2.059,79.514002,0.0,12.151,,,0.0,,191.240997,203.391997,0.0,203.391997,282.905999,
09/30/1992,300.119995,68.322998,36.210999,32.112,70.144997,,,88.809998,,,,,16.563,,,,243.841003,51.129002,,,0.0,5.15,,,,,5.15,56.279002,,28.195,28.195,,,,0.6,,,,,,53.771002,,,53.771002,82.566002,0.8,,,,,0.791,,,,0.791,1.591,84.157002,0.0,12.36,,,0.0,,203.602997,215.962996,0.0,215.962996,300.119998,
12/31/1992,340.272003,91.751999,43.091,48.660999,76.899002,,,79.390999,,,,,21.563,,,,269.605011,59.648998,107.537003,-47.888,0.0,11.018,,,,,11.018,70.666998,,38.269001,38.269001,,,,1.192,,,,,,61.946996,,,61.946996,101.407997,1.433,,,,,5.17,,,,5.17,6.603,108.010997,0.0,20.562,,,0.0,,211.699005,232.261005,0.0,232.261005,340.272002,
03/31/1993,351.337006,72.335999,29.584,42.751999,95.688004,,,86.735001,,,,,23.059999,,,,277.819,62.41,,,0.0,11.108,,,,,11.108,73.518,,35.035999,35.035999,,,,1.595,,,,,,60.880002,,,60.880002,97.511002,1.435,,,,,4.8,,,,4.8,6.235,103.746002,0.0,21.495001,,,0.0,,226.095993,247.590994,0.0,247.590994,351.336996,
06/30/1993,367.591003,88.210999,36.563999,51.646999,92.447998,,,87.986,,,,,21.917,,,,290.562012,65.014999,,,0.0,12.014,,,,,12.014,77.028999,,30.336,30.336,,,,2.742,,,,,,66.974001,,,66.974001,100.052002,2.213,,,,,5.086,,,,5.086,7.299,107.351002,0.0,21.625,,,0.0,,238.615005,260.240005,0.0,260.240005,367.591007,
09/30/1993,418.979004,109.896,44.422001,65.473999,89.568001,,,85.108002,,,,,22.517,,,,307.088989,66.607002,,,0.0,45.283001,,,,,45.283001,111.890003,,30.299999,30.299999,,,,2.192,,,,,,73.613004,,,73.613004,106.105003,32.907001,,,,,5.111,,,,5.111,38.018002,144.123005,0.0,21.704,,,0.0,,253.151993,274.855993,0.0,274.855993,418.978998,
12/31/1993,454.20401,152.637005,49.712002,102.925003,87.896004,,,76.582001,,,,,26.736,,,,343.851013,67.707001,125.341003,-57.633999,0.0,42.646,,,,,42.646,110.353001,,43.172001,43.172001,,,,1.659,,,,,,85.055001,,,85.055001,129.886002,31.282,,,,,4.602,,,,4.602,35.884,165.770002,0.0,21.951,,,0.0,,266.483002,288.434002,0.0,288.434002,454.204004,
03/31/1994,468.26001,132.080002,43.515999,88.564003,105.087997,,,81.205002,,,,,28.764999,,,,347.138,72.517998,,,0.0,48.604,,,,,48.604,121.121998,,32.661999,32.661999,,,,1.767,,,,,,88.634005,,,88.634005,123.063004,34.033001,,,,,3.293,,,,3.293,37.326001,160.389004,0.0,22.822001,,,0.0,,285.049011,307.871012,0.0,307.871012,468.260016,
06/30/1994,489.561005,145.181,60.942001,84.238998,99.439003,,,80.260002,,,,,30.872999,,,,355.752991,75.470001,,,0.0,58.338001,,,,,58.338001,133.808002,,30.934999,30.934999,,,,1.509,,,,,,90.567002,,,90.567002,123.011002,35.382,,,,,8.166,,,,8.166,43.548,166.559002,0.0,19.971001,,,0.0,,303.031006,323.002007,0.0,323.002007,489.561008,
09/30/1994,731.554993,184.078003,105.248001,78.830002,139.720001,,,145.850998,,,,,41.933998,,,,511.583008,173.992996,,,0.0,45.979,,,,,45.979,219.971996,,34.013,34.013,,,,8.597,,,,,,113.830994,,,113.830994,156.440994,99.25,,,,,35.787998,,,,35.787998,135.037998,291.478992,0.0,20.308001,,,0.0,,321.462006,341.770006,98.306,440.076006,731.554998,
12/31/1994,767.971008,202.044998,116.780998,85.264,154.589996,,,115.757004,,,,,68.137001,,,,540.528992,180.718994,271.268005,-90.549004,0.0,46.723,,,,,46.723,227.441994,,50.432999,50.432999,,,,5.577,,,,,,123.201,,,123.201,179.210999,95.276001,,,,,135.218002,,,,135.218002,230.494003,409.705002,0.0,20.632999,,,0.0,,337.632996,358.265995,0.0,358.265995,767.970997,
03/31/1995,802.254028,194.164001,62.335999,131.828003,163.598007,,,128.610992,,,,,71.015999,,,,557.388977,193.936996,,,0.0,50.928001,,,,,50.928001,244.864998,,22.579,22.579,,,,47.827,,,,,,91.532003,,,91.532003,161.938004,119.059998,,,,,27.476999,,,,27.476999,146.536997,308.475,0.0,21.892,,,0.0,,355.372986,377.264986,116.514,493.778986,802.253986,
06/30/1995,842.221985,205.786995,65.986,139.800995,185.070999,,,130.251007,,,,,67.809998,,,,588.919006,201.794998,,,0.0,51.507999,,,,,51.507999,253.302998,,25.865,25.865,,,,50.891998,,,,,,89.795996,,,89.795996,166.552994,121.944,,,,,28.004999,,,,28.004999,149.948999,316.501993,0.0,22.34,,,0.0,,377.238007,399.578007,126.141998,525.720005,842.221998,
09/30/1995,825.031982,236.029999,74.315002,161.714996,158.070007,,,128.705994,,,,,67.358002,,,,590.164001,187.839005,,,0.0,47.028999,,,,,47.028999,234.868004,,45.976002,45.976002,,,,0.424,,,,,,113.230995,,,113.230995,159.630997,103.693001,,,,,24.462,,,,24.462,128.155001,287.785997,0.0,23.370001,,,0.0,,405.427002,428.797003,108.448997,537.246,825.031998,
