Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1998,171.141006,,-123.230003,,,47.911003,,-31.65,,,16.261,-4.991,,5.787,,0.0,-0.796,11.27,-4.566,,6.704,0.0,,,6.704,0.0,6.704,0.0,,6.704,6.704,,58.622002,0.11,0.11,0.11,63.532001,0.11,0.11,0.11,
06/30/1998,254.046997,,-166.625,,,87.421997,,-49.193001,,,38.229,-6.022,,9.458,,0.0,-3.436,32.207,-11.892,,20.315001,0.0,,,20.315,0.0,20.315001,0.0,,20.315001,20.315001,,66.060997,0.31,0.31,0.35,73.742996,0.28,0.28,0.24,
09/30/1998,379.074005,,-240.356995,,,138.71701,,-71.613998,,,67.102997,-68.827999,,23.924,,0.0,44.903999,-1.725002,-8.431,,-10.156,21.336999,,,-31.493001,0.0,-31.493,0.0,,-31.493,-31.493,,68.415001,-0.46,-0.15,0.32,75.571999,-0.41,-0.13,0.32,
12/31/1998,416.019989,,-266.622009,,,149.39798,,-78.412003,,,70.986,-34.441999,,29.862,,0.0,4.58,36.544001,-18.27,,18.274,0.0,,,18.274,0.0,18.274,0.0,,18.274,18.274,,70.285004,0.26,0.26,0.35,75.543999,0.24,0.24,0.33,
03/31/1999,392.30899,,-258.317993,,,133.990997,,-77.43,,,56.561001,-29.041999,24.372999,24.372999,,0.0,4.669,27.519001,-11.294,,16.225,0.0,,,16.225002,0.0,16.225,0.0,,16.225,16.225,,69.012001,0.24,0.24,0.24,90.941002,0.18,0.18,0.18,
06/30/1999,503.661987,,-319.597992,,,184.063995,,-98.950996,,,85.112999,-41.238001,26.933001,26.933001,,0.0,14.305,43.874998,-17.989,,25.886,0.0,,,25.885998,0.0,25.886,0.0,,25.886,25.886,,71.57,0.36,0.36,0.52,92.292,0.28,0.28,0.4,
09/30/1999,668.617981,,-411.639008,,,256.978973,,-115.021004,,,141.957993,-46.690001,42.235001,42.235001,,0.0,4.455,95.267992,-39.060001,,56.208,0.0,,,56.207991,0.0,56.208,0.0,,56.208,56.208,,71.935997,0.78,0.78,0.78,98.999001,0.6,0.6,0.6,
12/31/1999,669.039001,,-419.154999,,,249.884003,,-124.059998,,,125.823997,-50.678999,46.286999,46.286999,,0.0,4.392,75.144999,-30.798,,44.347,0.0,,,44.346998,0.0,44.347,0.0,,44.347,44.347,,72.893997,0.62,0.62,0.62,93.199997,0.48,0.48,0.48,
03/31/2000,578.961975,,-372.977997,,,205.983978,,-121.867996,,,84.115997,-49.478999,49.682999,49.682999,,0.0,-0.204,34.636999,-17.226,,17.410999,0.0,,,17.410999,0.0,17.410999,0.0,,17.410999,17.410999,,72.058998,0.24,0.24,0.24,92.850998,0.19,0.19,0.19,
06/30/2000,729.945984,,-458.14801,,,271.797974,,-129.822006,,,141.975998,-61.294001,56.527,56.527,,0.0,4.767,80.681997,-33.483002,,47.199001,0.0,,,47.198996,0.0,47.199001,0.0,,47.199001,47.199001,,71.630997,0.66,0.66,0.66,91.958,0.51,0.51,0.51,
09/30/2000,859.03302,,-518.328979,,,340.704041,,-146.380997,,,194.322998,-65.448998,61.057999,61.057999,,0.0,4.391,128.874,-53.483002,,75.390999,0.0,,,75.390998,0.0,75.390999,0.0,,75.390999,75.390999,,70.286003,1.07,1.07,1.07,99.532997,0.79,0.79,0.79,
12/31/2000,750.920105,,-480.835999,,,270.084106,,-142.559998,,,127.524002,-70.221008,61.511009,61.511009,,0.0,8.709999,57.302994,-20.929001,,36.374001,0.0,,,36.373993,0.0,36.374001,0.0,,36.374001,36.374001,,91.820999,0.4,0.4,0.4,91.820999,0.4,0.4,0.4,
03/31/2001,619.104004,,-416.536987,,,202.567017,,-135.0,,,67.567001,-61.734999,57.529999,57.529999,,0.0,4.205,5.832003,-2.42,,3.412,0.0,,,3.412003,0.0,3.412,0.0,0.0,3.412,3.412,,70.731003,0.05,0.05,0.05,91.609001,0.04,0.04,0.04,
06/30/2001,768.013,,-481.950012,,,286.062988,,-139.953003,,,146.110001,-98.460999,57.058998,57.058998,,0.0,41.402,47.649002,-22.714001,,24.934999,11.317,,,13.618001,0.0,13.618,0.0,0.0,13.618,13.618,,71.318001,0.19,0.35,0.56,94.154999,0.14,0.26,0.42,
09/30/2001,795.482971,,-490.240997,,,305.241974,,-138.007004,,,167.235001,-61.163002,56.726002,56.726002,,0.0,4.437,106.071999,-44.02,,62.051998,0.0,,,62.051999,0.0,62.051998,0.0,0.0,62.051998,62.051998,,73.233002,0.85,0.85,0.85,103.514999,0.63,0.63,0.63,
12/31/2001,704.005,,-458.407,,,245.598,,-135.554,,,110.044,-55.047,55.123,55.123,,0.0,-0.076,54.997,-22.823,,32.174,0.0,,,32.174,0.0,32.174,0.0,0.0,32.174,32.174,,73.282,0.44,0.44,0.44,95.596,0.34,0.34,0.34,
03/31/2002,598.965,,-419.757,,,179.208,,-112.379,,,66.829,-54.397,49.983,49.983,,0.0,4.414,12.432,-4.848,,7.584,288.339,,,-280.755,0.0,-280.755,0.0,0.0,-280.755,-280.755,,73.521,-3.82,0.17,0.17,97.341,-3.84,0.13,0.13,
06/30/2002,744.759,,-491.497,,,253.262,,-120.379,,,132.883,-49.089,47.532,47.532,,0.0,1.557,83.794,-32.68,,51.114,0.0,,,51.114,0.0,51.114,0.0,0.0,51.114,51.114,,76.417,0.67,0.67,0.67,99.995,0.51,0.51,0.51,
09/30/2002,783.103,,-537.356,,,245.747,,-125.884,,,119.863,-53.075,48.691,48.691,,0.0,4.384,66.788,-26.021,,40.767,0.0,,,40.767,0.0,40.767,0.0,0.0,40.767,40.767,,76.539,0.53,0.53,0.53,95.707,0.43,0.43,0.43,
12/31/2002,694.162,,-486.1,,,208.062,,-139.6,,,68.462,-332.813,54.1,54.1,,0.0,278.713,-264.351,55.4,,-208.951,0.0,,,-208.951,0.0,-208.951,0.0,0.0,-208.951,-208.951,217.0,76.6,-2.33,-2.33,0.09,76.6,-2.33,-2.33,0.09,
03/31/2003,591.851,,-437.862,,,153.989,0.0,-113.739,96.761,16.978,40.25,-54.55,,54.656,,0.0,-0.106,-14.3,5.577,,-8.723,0.0,,,-8.723,0.0,-8.723,0.0,0.0,-8.723,-8.723,,76.778,-0.11,-0.11,-0.11,76.778,-0.11,-0.11,-0.11,
06/30/2003,728.056,,-504.99,,,223.066,0.0,-128.432,111.563,16.869,94.634,-56.58,,58.082,,0.0,-1.502,38.054,-14.663,,23.391,0.0,,,23.391,0.0,23.391,0.0,0.0,23.391,23.391,,77.025,0.3,0.3,0.3,95.042,0.25,0.25,0.25,
09/30/2003,805.134,,-546.575,,,258.559,0.0,-145.153,127.49,17.663,113.406,-56.824,,53.42,,0.0,3.404,56.582,-24.698,,31.884,0.0,,,31.884,0.0,31.884,0.0,0.0,31.884,31.884,,76.956,0.43,0.43,0.56,97.016,0.34,0.34,0.44,
12/31/2003,742.196,,-529.8,,,212.396,,-133.3,,,79.096,-485.931,,54.1,,0.0,431.831,-406.835,101.7,,-305.135,0.0,,,-305.135,0.0,-305.135,0.0,0.0,-305.135,-305.135,,77.1,-3.96,-3.96,-3.96,77.1,-3.96,-3.96,-3.96,
03/31/2004,644.713,,-480.617,,,164.096,,-131.209,,,32.887,-210.471,49.569,49.569,,0.0,160.902,-177.584,70.981,,-106.603,0.0,,,-106.603,0.0,-106.603,0.0,0.0,-106.603,-106.603,100.7,77.285,-1.38,-1.38,-0.08,77.285,-1.38,-1.38,-0.08,
06/30/2004,776.04,,-535.634,,,240.406,,-133.289,,,107.117,-50.538,37.977,37.977,,0.0,12.561,56.579,-21.617,,34.962,0.0,,,34.962,0.0,34.962,0.0,0.0,34.962,34.962,,77.384,0.45,0.45,0.53,98.112,0.36,0.36,0.42,
09/30/2004,849.718,,-572.1,,,277.618,,-144.185,,,133.433,-179.971,39.162,39.162,,0.0,140.809,-46.538,-17.843,,-64.381,0.0,,,-64.381,0.0,-64.381,0.0,0.0,-64.381,-64.381,,77.844,-0.83,-0.83,0.58,77.844,-0.83,-0.83,0.58,
12/31/2004,823.529,,-546.649,,,276.88,,-155.317,,,121.563,-42.02,42.292,42.292,,0.0,-0.272,79.543,-27.521,,52.022,0.0,,,52.022,0.0,52.022,0.0,0.0,52.022,52.022,,77.929904,0.67,0.67,0.67,77.929904,0.67,0.67,0.67,
03/31/2005,732.0,,-530.0,,,202.0,0.0,-138.0,122.0,16.0,64.0,-45.0,43.0,43.0,0.0,0.0,2.0,19.0,-7.0,,12.0,0.0,,,12.0,0.0,12.0,0.0,0.0,12.0,12.0,,94.903969,0.12,0.12,0.12,109.792632,0.11,0.11,0.11,
06/30/2005,888.0,,-605.0,,,283.0,0.0,-151.0,136.0,15.0,132.0,-50.0,47.0,47.0,0.0,0.0,3.0,82.0,-32.0,0.0,50.0,0.0,,,50.0,0.0,50.0,0.0,0.0,50.0,50.0,,94.992299,0.53,0.53,0.53,110.116737,0.48,0.48,0.48,
09/30/2005,979.0,,-634.0,,,345.0,0.0,-172.0,162.0,10.0,173.0,-47.0,52.0,52.0,0.0,0.0,-5.0,126.0,-50.0,,76.0,0.0,,,76.0,0.0,76.0,0.0,0.0,76.0,76.0,,95.010517,0.8,0.8,0.8,109.915621,0.71,0.71,0.71,
