Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2000,261.494995,0.164,0.164,0.0,24.855,,,119.397003,4.367,1.23,113.800003,0.0,17.047001,,,,,,161.462997,66.314003,181.444,-115.129997,0.0,,33.717999,33.717999,,,0.0,100.032001,,4.999,4.999,,,,5.408,,,,,,88.659002,,,88.659002,99.066002,71.735001,,,,,2.158,,,,,,2.158,73.893001,172.959002,0.0,,,,0,,88.536003,88.536003,0.0,88.536003,261.495006,
12/30/2000,284.032013,37.226,5.331,31.895,28.698,,,101.373001,2.42,0.666,98.287003,0.0,18.794001,,,,,,186.091003,69.383003,,,0.0,,28.558001,28.558001,,,0.0,97.941004,,0.756,0.756,,,,58.423,,,,,,90.974,,,90.974,150.153,3.73,,,,,2.275,,,,,,2.275,6.005,156.158,0.0,,,,0,,127.874001,127.874001,0.0,127.874001,284.032001,
03/31/2001,251.709,7.241,7.241,0.0,20.642,,,104.182999,0.8,0.58,102.803001,0.0,20.701,,,,,,152.766998,70.609001,,,0.0,,28.333,28.587999,,,-0.254999,98.942001,,4.564,4.564,,,,26.819,,,,,,78.329997,,,78.329997,109.712997,3.69,,,,,2.303,,,,,,2.303,5.993,115.705997,0.0,,,,0,,136.003006,136.003006,0.0,136.003006,251.709003,
06/30/2001,258.711,3.691,3.691,0.0,20.608,,,105.162,0.579,0.257,104.326,0.0,22.106,,,,,,151.567,72.388,202.447,-130.059,0.0,,34.756,15.809,,,18.947,107.144,,14.313,14.313,,,,7.745,,,,,,82.39,,,82.39,104.448,3.69,,,,,2.259,,,,,,2.259,5.949,110.397,0.0,125.801,,,0,,22.513,148.314,0.0,148.314,258.711,
09/29/2001,320.424011,4.733,4.733,0.0,33.693001,,,132.468994,0.578,0.331,131.559998,0.0,25.093,,,,,,195.988007,76.598,,,0.0,,47.838001,,,,47.838001,124.436001,,16.888,16.888,,,,40.575001,,,,,,85.410992,,,85.410992,142.873993,3.615,,,,,2.988,,,,,,2.988,6.603,149.476993,0.0,,,,0,,156.852005,156.852005,14.095,170.947005,320.423998,
12/29/2001,368.786011,66.523003,66.523003,0.0,29.139,,,115.424004,0.36,0.28,114.783997,0.0,31.362,,,,,,242.447998,81.776001,,,0.0,,44.562,,,,44.562,126.338001,,21.98,21.98,,,,0.075,,,,,,113.573998,,,113.573998,135.628998,3.615,,,,,3.019,,,,,,3.019,6.634,142.262998,0.0,,,,0,,211.626007,211.626007,14.897,226.523007,368.786005,
03/30/2002,398.619995,76.278,76.278,0.0,25.563,,,131.783005,0.611,0.04,131.132004,0.0,27.243999,,,,,,260.868011,84.294998,,,0.0,,53.457001,14.002,4.924,9.078,39.455001,137.751999,,26.162001,26.162001,,,,35.460999,,,,,,86.184008,,,86.184008,147.807007,3.615,,,,,2.262,,,,,,2.262,5.877,153.684007,0.0,,,,0,,229.350006,229.350006,15.586,244.936007,398.620013,
06/29/2002,440.571,93.962,93.962,0.0,30.925,,,136.404,0.208,0.009,136.187,0.0,26.297,,,,,,287.588,90.589,237.56,-146.971,0.0,,62.394,22.395,13.006,9.389,39.999,152.983,,25.819,25.819,,,,34.244,,,,,,99.365,,,99.365,159.428,3.615,,,,,2.625,,,,,,2.625,6.24,165.668,0.0,156.298,,,0,105.509,-1.451,260.356,14.547,274.903,440.571,
09/28/2002,426.348999,44.033001,44.033001,0.0,45.008999,45.008999,,152.723999,0.0,0.0,152.723999,0.0,26.153999,,,,,,267.920013,97.098999,,,0.0,,61.330002,22.249001,22.249001,0.0,39.081001,158.429001,,32.547001,32.547001,,,,35.122002,,,,,,96.750996,,,96.750996,164.419998,3.535,,,,,3.64,,,,,,3.64,7.175,171.594998,0.0,149.608994,,,0,93.473999,-4.192001,238.890991,15.863,254.753991,426.348989,
12/28/2002,567.289978,171.141006,171.141006,0.0,67.283997,67.283997,,135.908005,0.0,0.0,135.908005,0.0,25.855,,,,,,400.187988,104.403999,,,0.0,,62.698002,22.371,12.982,9.389,40.327002,167.102001,,34.205002,34.205002,,,,42.584,,,,,,128.740005,,,128.740005,205.529007,3.535,,,,,4.036,,,,,,4.036,7.571,213.100007,0.0,183.828995,,,0,155.904999,-3.682999,336.050995,18.139,354.189995,567.290002,
