Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1992,0.818,1.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,0.022,1.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,1.903,1.846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,2.571,1.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,0.13,2.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,-0.455,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,1.628,2.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,-3.09,1.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1994,0.741,2.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,0.008,2.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,1.961,3.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,5.658,2.422,3.246,0.76,,,0.76,-6.665,,,,-6.665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1995,0.741,2.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1995,-7.267,3.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1995,6.789,4.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1995,0.617,3.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1996,3.761,4.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1996,-3.023,4.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1996,6.418,5.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1996,-2.279,4.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1997,9.5,5.007,,,,,,,,,,,,-9.024,-9.024,0.025,,,-9.049,,,0.0,0.0,0.0,,,,,0.0,2.102,0.0,1.961,,,,0.141,0.141,0.0,0.0,,2.578,,,
06/30/1997,-1.77,6.082,,,,,,,,,,,,-7.245,-6.756,0.217,,,-6.973,,,0.0,0.0,0.0,,,,,-0.489,7.238,0.0,6.67,,,,0.568,0.568,0.0,0.0,,-1.777,,,
09/30/1997,6.495,6.621,,,,,,,,,,,,-9.304,-9.007,0.041,,,-9.048,,,0.0,0.0,0.0,,,,,-0.297,2.426,0.0,1.974,,,,0.452,0.452,0.0,0.0,,-0.383,,,
12/31/1997,3.648,5.433,,,,,,,,,,,,-12.084,-12.1,0.01,,,-12.11,,,0.0,0.0,0.0,,,,,0.016,9.096,0.0,8.775,,,,0.321,0.321,0.0,0.0,,0.66,,,
03/31/1998,3.726,5.819,,,,,,,,,,,,-64.639,-11.415,0.014,,,-11.429,,,0.0,0.0,0.0,,,,,-53.224,60.506002,0.0,59.971002,,,,0.535,0.535,0.0,0.0,,-0.407,,,
06/30/1998,-7.03,7.672,,,,,,,,,,,,-2.962,-6.924,2.387,,,-9.311,,,0.0,0.0,0.0,,,,,3.962,9.53,0.0,9.201,,,,0.329,0.329,0.0,0.0,,-0.462,,,
09/30/1998,-13.394,8.361,,,,,,,,,,,,-16.858,-16.368999,0.226,,,-16.594999,,,0.0,0.0,0.0,,,,,-0.489001,30.419998,0.0,29.851998,,,,0.568,0.568,0.0,0.0,,0.168,,,
12/31/1998,-2.415,8.92,,,,,,,,,,,,-16.309,-16.985999,3.411,,,-20.396999,,,0.0,0.0,0.0,,,,,0.676999,18.868,0.0,17.185,,,,1.683,1.683,0.0,0.0,,0.144,,,
03/31/1999,18.323999,8.603,,,,,,,,,,,,-8.582,-9.279,6.069,,,-15.348,,,0.0,0.0,0.0,,,,,0.697,-8.240009,0.0,-120.217007,,,,111.976997,111.976997,0.0,0.0,,1.502,,,
06/30/1999,-1.635,11.769,,,,,,,,,,,,-16.319,-16.438999,0.59,,,-17.028999,,,0.0,0.0,0.0,,,,,0.119999,18.837999,0.0,-0.469,,,,19.306999,19.306999,0.0,0.0,,0.884,,,
09/30/1999,16.794001,13.412,,,,,,,,,,,,-21.471001,-21.645,0.116,,,-21.761,,,0.0,0.0,0.0,,,,,0.173999,3.292001,0.0,2.723001,,,,0.569,0.569,0.0,0.0,,-1.385,,,
12/31/1999,-3.768,11.855,,,,,,,,,,,,-31.396,-31.6,0.264,,,-31.864,,,0.0,0.0,0.0,,,,,0.204,42.225997,0.0,41.491997,,,,0.734,0.734,0.0,0.0,,7.062,,,
03/31/2000,11.567,11.567,,,,,,,,,,,,-21.434999,-21.599001,0.389,,,-21.988001,,,0.0,0.0,0.0,,,,,0.164001,9.557998,0.0,9.406998,,,,0.151,0.151,0.0,0.0,,-0.31,,,
06/30/2000,4.318,14.359,,,,,,,,,,,,-22.27,-20.913,0.156,,,-21.069,,,0.0,0.0,0.0,,,,,-1.357,19.456005,0.0,17.768005,,,,1.688,1.688,0.0,0.0,,1.504,,,
