Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2011,41396.0,41396.0,-39664.0,39445.0,219.0,1732.0,0.0,-1367.0,323.0,1044.0,365.0,730.0,,4.0,,-43.0,-690.0,-1.0,1095.0,-418.0,677.0,0.0,0.0,0.0,677.0,-1.0,676.0,0.0,0.0,676.0,1138.8,462.8,,,,,,,,,
06/30/2011,49040.0,49040.0,-46903.0,46677.0,226.0,2137.0,0.0,-1330.0,347.0,983.0,807.0,821.0,,3.0,,-31.0,-784.0,-9.0,1628.0,-588.0,1040.0,0.0,0.0,0.0,1040.0,-1.0,1039.0,0.0,0.0,1039.0,871.3,-167.7,627.628,1.66,1.66,1.388243,634.645,1.64,1.64,1.375758,
09/30/2011,47014.0,47014.0,-44205.0,43983.0,222.0,2809.0,0.0,-2111.0,372.0,1739.0,698.0,852.0,,4.0,,18.0,-856.0,-18.0,1550.0,-499.0,1051.0,0.0,0.0,0.0,1051.0,-2.0,1049.0,0.0,0.0,1049.0,1299.45,250.45,627.628,1.67,1.67,2.070414,634.645,1.65,1.65,2.04463,
12/31/2011,44683.0,44683.0,-43306.0,43065.0,241.0,1377.0,0.0,472.0,367.0,-839.0,1849.0,502.0,,6.0,,22.0,-513.0,-17.0,2351.0,-339.0,2012.0,0.0,0.0,0.0,2012.0,-1.0,2011.0,0.0,0.0,2011.0,560.35,-1450.65,627.628,3.2,3.2,0.892806,634.645,3.17,3.17,0.884234,
03/31/2012,42462.0,42462.0,-40643.0,40427.0,216.0,1819.0,0.0,-1487.0,349.0,1138.0,332.0,737.0,,13.0,,-15.0,-734.0,-1.0,1069.0,-431.0,638.0,0.0,0.0,0.0,638.0,-2.0,636.0,0.0,0.0,636.0,852.4,216.4,627.628,1.01,1.01,1.358129,634.645,1.0,1.0,1.340978,
06/30/2012,43358.0,43358.0,-40708.0,40484.0,224.0,2650.0,0.0,-1557.0,480.0,1077.0,1093.0,801.0,71.0,83.0,-12.0,8.0,-815.0,-65.0,1894.0,-712.0,1182.0,0.0,0.0,0.0,1182.0,-1.0,1181.0,0.0,0.0,1181.0,1124.5,-56.5,628.51,1.88,1.88,1.789152,635.157,1.86,1.86,1.771046,
09/30/2012,39633.0,39633.0,-36516.0,36287.0,229.0,3117.0,0.0,-1572.0,432.0,1140.0,1545.0,904.0,,74.0,,-15.0,-959.0,-4.0,2449.0,-848.0,1601.0,0.0,0.0,0.0,1601.0,-2.0,1599.0,0.0,0.0,1599.0,2103.95,504.95,630.672,2.53,2.53,3.336045,637.913,2.51,2.51,3.301566,
12/31/2012,40584.0,40584.0,-37878.0,37636.0,242.0,2706.0,0.0,-2122.0,455.0,1667.0,584.0,611.0,72.0,76.0,-4.0,-8.0,-626.0,-49.0,1195.0,-499.0,696.0,-14.0,-14.0,0.0,710.0,-2.0,708.0,0.0,0.0,708.0,708.0,548.1,628.527,1.12,1.1,1.976208,635.634,1.11,1.09,1.952289,
03/31/2013,37953.0,37953.0,-35551.0,35309.0,242.0,2402.0,0.0,-1334.0,327.0,1007.0,1068.0,990.0,65.0,70.0,-5.0,2.0,-1039.0,-18.0,2058.0,-663.0,1395.0,-15.0,-15.0,0.0,1410.0,-3.0,1407.0,0.0,0.0,1407.0,1350.75,-41.25,625.03,2.25,2.23,2.161096,631.288,2.23,2.21,2.144657,
06/30/2013,39762.0,39762.0,-37559.0,37330.0,229.0,2203.0,0.0,-1366.0,368.0,998.0,837.0,616.0,65.0,69.0,-4.0,-18.0,-618.0,-45.0,1453.0,-507.0,946.0,-14.0,-14.0,0.0,960.0,-2.0,958.0,0.0,0.0,958.0,776.05,-167.95,619.143,1.55,1.53,1.253426,624.907,1.53,1.51,1.24124,
