Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1997,197.401993,,-114.120003,,83.28199,,-72.181999,,,,11.1,-13.199967,,9.446,,3.753967,-2.099967,1.087,-1.013,0.0,,,-1.012967,-0.109,-1.122,0.0,,-1.122,-1.122,,30.686001,-0.04,-0.04,0.09,30.686001,-0.04,-0.04,0.09,
06/30/1997,220.412,,-123.396,,97.016,0.0,-108.905,66.158,,42.747,-11.889,-8.161,,9.724,,-1.563,-20.05,-5.424,-25.474,9.552,,,-35.026,-0.139,-35.165,0.0,0.0,-35.165,-35.165,,30.702367,-1.15,-0.84,-0.84,30.702367,-1.15,-0.84,-0.84,
09/30/1997,215.929,,-121.564,,94.365,0.0,-77.409,63.243,,14.166,16.956,-14.154,,9.029,,5.125,2.802,-2.959,-0.157,,,,-0.157,-0.127,-0.284,0.0,0.0,-0.284,-0.284,,32.333344,-0.01,-0.01,-0.01,32.333344,-0.01,-0.01,-0.01,
12/31/1997,244.671997,,-134.399994,,110.272003,,-85.633003,,,,24.639,-11.243,,7.725,,3.518,13.396,-10.193,3.203,31.645,,,-28.442,-0.093,-28.535,0.0,,-28.535,-28.535,,34.41,-0.83,0.09,0.25,36.159,-0.79,0.09,0.24,
03/31/1998,215.655,,-121.048,,94.607,0.0,-77.725,65.112,,12.613,16.882,-6.333,,5.879,,0.454,10.549,-3.692,6.857,,,,6.857,-0.019,6.838,0.0,0.0,6.838,6.838,,38.336014,0.18,0.18,0.18,40.600109,0.17,0.17,0.17,
06/30/1998,228.446,,-126.779,,101.667,0.0,-77.452,64.431,,13.021,24.215,-6.22,,5.904,,0.316,17.995,-6.526,11.469,,,,11.469,-0.072,11.397,0.0,0.0,11.397,11.397,,38.336014,0.3,0.3,0.3,40.640516,0.28,0.28,0.28,
09/30/1998,225.646,,-126.767,,98.879,0.0,-76.691,63.301,,13.39,22.188,-16.182,,5.37,,10.812,6.006,-3.334,2.672,,,,2.672,-0.142,2.53,0.0,0.0,2.53,2.53,,38.355926,0.07,0.07,0.07,40.616526,0.06,0.06,0.06,
12/31/1998,265.911011,,-145.595993,,120.315018,,-90.253998,,,,30.061001,-5.076,,5.485,,-0.409,24.985001,-7.447,17.538,0.0,,,17.538001,-0.678,16.860001,0.0,,16.860001,16.860001,,38.400002,0.44,0.44,0.44,40.922001,0.41,0.41,0.41,
03/31/1999,235.715,,-130.488,,105.227,0.0,-85.674,70.384,,15.29,19.553,-6.493,,5.576,,0.917,13.06,-4.86,8.2,,,,8.2,-0.135,8.065,0.0,0.0,8.065,8.065,,38.400363,0.21,0.21,0.21,41.082017,0.2,0.2,0.2,
06/30/1999,257.465,,-143.71,,113.755,0.0,-86.939,70.938,,16.001,26.816,-5.002,,5.412,,-0.41,21.814,-7.985,13.829,,,,13.829,-0.362,13.467,0.0,0.0,13.467,13.467,,38.443363,0.35,0.35,0.35,41.134537,0.33,0.33,0.33,
09/30/1999,268.006,,-148.278,,119.728,0.0,-92.075,75.496,,16.579,27.653,-6.71,,5.579,,1.131,20.943,-7.329,13.614,,,,13.614,0.044,13.658,0.0,0.0,13.658,13.658,,38.553843,0.35,0.35,0.35,41.310499,0.33,0.33,0.33,
12/31/1999,304.286987,,-162.531006,,141.755981,,-103.453003,,,,38.303001,-14.243,,5.413,,8.83,24.060001,-11.224,12.836,0.0,,,12.836001,0.075,12.911,0.0,,12.911,12.911,,38.674,0.33,0.33,0.54,41.648998,0.31,0.31,0.5,
03/31/2000,259.116,,-144.875,,114.241,0.0,-90.015,73.777,,16.238,24.226,-6.128,,5.39,,0.738,18.098,-6.334,11.764,,,,11.764,-0.01,11.754,0.0,0.0,11.754,11.754,,38.712272,0.3,0.3,0.3,41.90258,0.28,0.28,0.28,
06/30/2000,268.558,,-148.972,,119.586,0.0,-87.123,70.461,,16.662,32.463,-4.898,,5.009,,-0.111,27.565,-9.645,17.92,,,,17.92,0.011,17.931,0.0,0.0,17.931,17.931,,38.753185,0.46,0.46,0.46,41.99578,0.43,0.43,0.43,
09/30/2000,270.003,,-149.319,,120.684,0.0,-89.338,72.46,,16.878,31.346,-5.033,,4.813,,0.22,26.313,-9.216,17.097,,,,17.097,0.037,17.134,0.0,0.0,17.134,17.134,,38.753185,0.44,0.44,0.44,42.198943,0.41,0.41,0.41,
12/31/2000,297.869995,,-157.018997,,140.850998,,-97.609001,,,,43.242001,-6.613,,4.822,,1.791,36.629001,-13.315,23.313999,0.0,,,23.314001,-0.014,23.299999,0.0,0.0,23.299999,23.299999,,39.372002,0.59,0.59,0.62,42.467999,0.55,0.55,0.58,
03/31/2001,265.644,,-147.334,,118.31,0.0,-91.215,73.196,,18.019,27.095,-4.79,,4.783,,0.007,22.305,-7.807,14.498,,,,14.498,,14.498,0.0,0.0,14.498,14.498,,39.716936,0.37,0.37,0.37,42.539345,0.34,0.34,0.34,
06/30/2001,279.033,,-152.184,,126.849,0.0,-89.456,70.928,,18.528,37.393,-19.853,,4.563,,15.29,17.54,-10.858,6.682,,,,6.682,,6.682,0.0,0.0,6.682,6.682,,40.112438,0.17,0.17,0.17,42.47231,0.16,0.16,0.16,
09/30/2001,285.064,,-154.04,,131.024,0.0,-95.612,75.973,,19.639,35.412,-4.052,,4.056,,-0.004,31.36,-10.976,20.384,,,,20.384,,20.384,0.0,0.0,20.384,20.384,,40.157813,0.51,0.51,0.51,42.463944,0.48,0.48,0.48,
12/31/2001,318.281,,-165.582,,152.699,,-101.649,,,,51.05,-3.82,3.76,3.76,,0.06,47.23,-16.53,30.7,0.0,,,30.7,0.0,30.7,0.0,0.0,30.7,30.7,,42.451676,0.72,0.72,0.72,44.441101,0.69,0.69,0.69,
03/31/2002,272.957,,-147.82,,125.137,0.0,-94.355,75.824,,18.531,30.782,-4.105,,4.391,,-0.286,26.677,-8.003,18.674,,,,18.674,,18.674,0.0,0.0,18.674,18.674,,44.17385,0.42,0.42,0.42,45.517058,0.41,0.41,0.41,
06/30/2002,296.454,,-155.372,,141.082,0.0,-101.96,82.355,,19.605,39.122,-32.91,,4.355,,28.555,6.212,21.266,27.478,,,,27.478,,27.478,0.0,0.0,27.478,27.478,,44.208274,0.62,0.62,0.62,45.40969,0.61,0.61,0.61,
09/30/2002,306.99,,-164.067,,142.923,0.0,-105.537,85.263,,20.274,37.386,-4.568,,4.429,,0.139,32.818,-9.841,22.977,,,,22.977,,22.977,0.0,0.0,22.977,22.977,,44.355475,0.52,0.52,0.52,45.235544,0.51,0.51,0.51,
