Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2003,2446.153,1026.499,391.942,634.557,359.428,359.428,,,,,,192.942,,,,,,1578.869,163.68,,,,,,,703.604,,,,703.604,0.0,867.284,,72.313,72.313,,,,,,,,72.796,,,72.796,145.109,236.15,,,,,422.229,,,,,422.229,658.379,803.488,,358.418,,,1204.678,70.186,1633.282,9.383,1642.665,2446.153,
06/30/2003,2717.414,1277.19,497.314,779.876,406.241,406.241,,,,,,222.635,,,,,,1906.066,167.307,,,,,,,644.041,,,,644.041,0.0,811.348,,91.22,91.22,,0.0,,,,,,105.892,,,105.892,197.112,448.382,,,,,377.291,,,,,377.291,825.673,1022.785,,358.697,,,1220.095,105.187,1683.979,10.65,1694.629,2717.414,
09/30/2003,2771.293,195.028,195.028,,317.723,317.723,,,,,,289.493,,,,,,802.244,221.053,,,1052.51,,,,695.486,,,,695.486,0.0,1969.049,,107.46,107.46,,,,,,,,389.272,,,389.272,496.732,613.573,,,,,,,,,,,613.573,1110.305,,260.973,,,1276.185,111.767,1648.925,12.063,1660.988,2771.293,
03/31/2004,4362.06,1006.138,345.796,660.342,468.819,468.819,0.0,0.0,0.0,0.0,0.0,49.164,,,,,,1524.121,1388.67,,,647.925,,,,801.344,,,,,801.344,2837.939,,343.226,343.226,,108.179,,,,,,175.792,,,175.792,627.197,1192.67,,,,,380.531,,,,,380.531,1573.201,2200.398,0.0,685.322,,,1285.86,174.04,2145.222,16.434,2161.656,4362.054,
06/30/2004,4768.69,1473.844,563.021,910.823,331.803,331.803,0.0,0.0,0.0,0.0,0.0,51.301,,,,,,1856.95,1423.71,,,510.31,,,,977.722,,,,,977.722,2911.742,,377.851,377.851,,50.614,,,,,,216.637,,,216.637,645.102,1579.94,,,,,391.96,,,,,391.96,1971.9,2617.002,0.0,685.91,,,1319.84,129.39,2135.14,16.555,2151.695,4768.697,
09/30/2004,4735.12,1554.985,480.735,1074.25,329.144,329.144,0.0,0.0,0.0,0.0,0.0,56.378,,,,,,1940.51,1346.61,,,680.398,,,,767.603,,,,,767.603,2794.611,,377.171,377.171,,79.441,,,,,,185.569,,,185.569,642.181,1482.2,,,,,380.178,,,,,380.178,1862.378,2504.559,0.0,699.803,,,1394.4,117.81,2212.013,18.547,2230.56,4735.119,
12/31/2004,4800.403,1361.983,277.238,1084.745,160.234,,0.0,0.0,0.0,0.0,0.0,537.732,,,,,,2059.949,283.33,404.49,-121.16,735.232,,,,1721.892,1.472,,,,1720.42,2740.454,,167.864,167.864,,64.799,,,,,,426.674,,,426.674,659.337,1067.123,,,,,797.015,,,,,797.015,1864.138,2523.475,0.0,706.104,,,1416.411,136.138,2258.653,18.275,2276.928,4800.403,
12/31/2005,5260.884,1710.519,386.957,1323.562,377.216,,0.0,0.0,0.0,0.0,0.0,140.88,,,,,,2228.615,237.021,363.781,-126.76,1000.074,,,,1795.174,85.083,13.999,71.084,,1710.091,3032.269,,259.778,259.778,,175.664,,,,,,38.954,,,38.954,474.396,986.718,,,,,121.893,,,,,121.893,1108.611,1583.007,0.0,717.972,,,3025.444,-81.502,3661.914,15.963,3677.877,5260.884,
09/30/2006,5224.433,1281.163,301.019,980.144,100.005,100.005,0.0,0.0,0.0,0.0,0.0,173.165,,,,,,1554.333,236.095,,,1302.183,,,,2131.822,61.293,8.151,53.142,,2070.529,3670.1,,103.327,103.327,,184.079,,,,,,16.611,,,16.611,304.017,972.637,,,,,109.655,,,,,109.655,1082.292,1386.309,0.0,734.109,,,3203.634,-113.132,3824.611,13.513,3838.124,5224.433,
12/31/2006,5303.824,1191.172,287.199,903.973,69.822,,0.0,0.0,0.0,0.0,0.0,105.215,,,,,,1366.209,234.216,370.281,-136.065,1490.848,,,,2212.551,59.437,,,773.01,1380.104,3937.615,,127.739,127.739,,184.815,,,,,,14.099,,,14.099,326.653,974.646,,,,,90.268,,,,,90.268,1064.914,1391.567,0.0,737.243,,,3160.758,-4.726,3893.275,18.982,3912.257,5303.824,
03/31/2007,6024.368,1301.428,700.438,600.99,114.725,,0.0,0.0,0.0,0.0,0.0,140.844,,,,,,1556.997,234.523,,,1804.994,,,,2427.854,63.453,8.151,55.302,,2364.401,4467.371,,149.303,149.303,,190.385,,,,,,71.761,,,71.761,411.449,1475.843,,,,,93.78,,,,,93.78,1569.623,1981.072,0.0,744.919,,,3169.132,105.38,4019.431,23.865,4043.296,6024.368,
06/30/2007,6375.353,1183.865,467.335,716.53,122.555,,0.0,0.0,0.0,0.0,0.0,187.015,,,,,,1493.435,263.191,,,1823.372,,,,2795.355,66.584,8.151,58.433,,2728.771,4881.918,,204.585,204.585,,221.087,,,,,,119.732,,,119.732,545.404,1479.537,,,,,92.841,,,,,92.841,1572.378,2117.782,0.0,748.323,,,3195.431,291.98,4235.734,21.837,4257.571,6375.353,
09/30/2007,7317.559,1572.449,695.132,877.317,109.827,,0.0,0.0,0.0,0.0,0.0,192.375,,,,,,1874.651,514.512,,,2159.917,,,,2768.479,78.434,8.151,70.283,,2690.045,5442.908,,201.49,201.49,,192.116,,,,,,85.809,,,85.809,479.415,1988.727,,,,,89.177,,,,,89.177,2077.904,2557.319,0.0,998.772,,,3199.319,541.312,4739.403,20.837,4760.24,7317.559,
12/31/2007,8126.622,1440.169,456.97,983.199,133.765,,0.0,0.0,0.0,0.0,0.0,146.199,,,,,,1720.133,512.804,689.57,-176.766,2792.909,,,,3100.776,79.506,,,1362.913,1658.357,6406.489,,229.56,229.56,,132.405,,,,,,97.985,,,97.985,459.95,2004.145,,,,,71.061,,,,,71.061,2075.206,2535.156,0.0,1005.719,,,3589.408,975.365,5570.492,20.974,5591.466,8126.622,
03/31/2008,7929.946,625.911,258.092,367.819,125.294,,0.0,0.0,0.0,0.0,0.0,183.86,,,,,,935.065,502.668,,,2897.813,,,,3594.4,77.557,8.151,69.406,,3516.843,6994.881,,206.323,206.323,,153.689,,,,,,99.148,,,99.148,459.16,2029.128,,,,,72.794,,,,,72.794,2101.922,2561.082,0.0,1008.998,,,3493.584,844.918,5347.5,21.364,5368.864,7929.946,
06/30/2008,9668.615,492.083,236.65,255.433,112.345,,0.0,0.0,0.0,0.0,0.0,191.877,,,,,,796.305,514.037,,,4281.348,,,,4076.925,76.251,8.151,68.1,,4000.674,8872.31,,256.8,256.8,,164.381,,,,,,110.2,,,110.2,531.381,2047.359,,,,,64.741,,,,,64.741,2112.1,2643.481,0.0,1515.561,,,3680.362,1809.292,7005.215,19.919,7025.134,9668.615,
09/30/2008,8409.169,496.808,162.073,334.735,182.239,,0.0,0.0,0.0,0.0,0.0,222.238,,,,,,901.285,527.233,,,2130.357,,,,4850.294,74.37,8.151,66.219,,4775.924,7507.884,,190.834,190.834,,175.562,,,,,,83.047,,,83.047,449.443,2045.379,,,,,64.879,,,,,64.879,2110.258,2559.701,0.0,1519.487,,,3769.824,538.741,5828.052,21.416,5849.468,8409.169,
12/31/2008,5198.493,603.967,237.503,366.464,138.363,,0.0,0.0,0.0,0.0,0.0,124.308,,,,,,866.638,534.64,750.327,-215.687,1045.768,,,,2751.447,84.848,9.316,75.532,,2666.599,4331.855,,205.87,205.87,,248.713,,,,,,108.333,,,108.333,562.916,1832.743,,,,,107.443,,,,,107.443,1940.186,2503.102,0.0,1652.094,,,1053.983,-29.28,2676.797,18.594,2695.391,5198.493,
03/31/2009,5112.802,499.015,204.685,294.33,157.957,,68.291,7.648,11.042,49.601,0.0,52.622,,,39.234,,52.622,777.885,524.87,,,1230.544,1216.329,,14.215,2579.503,83.345,9.316,74.029,1846.027,610.897,4334.917,,161.56,,161.56,273.104,0.0,,,,273.104,106.739,,,11.09,541.403,1800.22,1800.22,,,,106.534,,,,,106.534,1906.754,2448.157,0.0,1652.915,238.499,1414.416,913.976,78.398,2645.289,19.356,2664.645,5112.802,
06/30/2009,6053.609,536.015,156.164,379.851,85.034,,61.982,5.936,10.08,45.966,0.0,62.355,,,7.583,,62.355,745.386,518.847,,,1722.915,1644.136,,78.779,3066.461,81.042,9.316,71.726,2443.463,534.373,5308.223,,183.561,,183.561,276.184,0.0,,,,276.184,108.015,,,11.459,567.76,1674.945,1674.945,,,,106.772,,,,,106.772,1781.717,2349.477,0.0,1775.006,243.696,1531.31,1324.999,586.319,3686.324,17.808,3704.132,6053.609,
09/30/2009,6621.425,510.032,232.652,277.38,201.455,,63.78,5.576,10.481,47.723,0.0,41.979,,,,,41.979,817.246,512.557,,,1878.538,1871.63,,6.908,3413.084,78.561,9.316,69.245,2805.819,528.704,5804.179,,176.392,,176.392,310.266,0.0,,,,310.266,85.949,,,11.609,572.607,1665.429,1665.429,,,,116.576,,,,,116.576,1782.005,2354.612,0.0,1764.031,243.13,1520.901,1695.198,791.354,4250.583,16.23,4266.813,6621.425,
12/31/2009,6762.364,215.182,130.475,84.707,163.863,,58.969,5.196,12.352,41.421,0.0,113.46,0.0,,0.0,2.809,33.778,551.474,657.898,909.8,-251.902,2128.238,2128.238,,,3424.754,51.224,8.151,43.073,2764.885,526.057,6210.89,,144.483,,144.483,114.01,0.0,,,,114.01,366.488,0.0,1.9,230.542,624.981,1657.779,1657.779,,,,105.107,0.0,68.194,68.194,0.0,32.204,1762.886,2387.867,0.0,1772.352,243.288,1529.064,1604.263,985.032,4361.647,12.85,4374.497,6762.364,
03/31/2010,6988.062,318.157,218.983,99.174,227.022,,63.424,7.448,14.049,41.927,0.0,53.421,,,,,53.421,662.024,701.104,,,2122.006,2114.684,,7.322,3502.928,72.379,9.316,63.063,2913.727,516.822,6326.038,,201.011,,201.011,324.266,0.0,,,,324.266,113.394,,,32.271,638.671,1657.428,1657.428,,,,112.439,,,,,112.439,1769.867,2408.538,0.0,1774.627,243.3,1531.327,1795.742,997.543,4567.912,11.612,4579.524,6988.062,
06/30/2010,6430.701,359.312,248.237,111.075,276.84,,58.014,5.929,9.063,43.022,0.0,70.35,,,,,70.35,764.516,687.216,,,1843.77,1835.774,,7.996,3135.199,69.632,9.316,60.316,2549.77,515.797,5666.185,,220.438,,220.438,380.725,0.0,,,,380.725,128.569,,,37.935,729.732,1625.086,1625.086,,,,91.009,,,,,91.009,1716.095,2445.827,0.0,1775.673,243.317,1532.356,1560.598,638.481,3974.752,10.122,3984.874,6430.701,
09/30/2010,7307.335,433.45,323.284,110.166,101.725,,57.564,5.562,10.499,41.503,0.0,91.038,,,,3.35,35.728,683.777,601.518,,,2594.131,2585.7,,8.431,3427.909,44.272,8.151,36.121,2817.684,534.56,6623.558,,153.291,,153.291,134.924,0.0,,,,134.924,532.283,,,430.326,820.498,1608.376,1608.376,,,,88.962,,,,,85.612,1697.338,2517.836,0.0,1776.364,243.317,1533.047,1848.353,1158.674,4783.391,6.108,4789.499,7307.335,
12/31/2010,9350.298,705.912,441.34,264.572,150.328,,58.28,5.876,12.441,39.963,0.0,71.07,0.0,,1175.558,,71.07,985.59,587.371,899.157,-311.786,3832.659,3832.659,,,3944.678,42.636,8.151,34.485,2274.163,452.321,8364.708,,176.592,,176.592,142.659,0.0,,,,142.659,428.589,0.0,0.0,428.089,747.84,1548.469,1548.469,,,,90.608,0.0,62.765,62.765,0.0,27.843,1639.077,2386.917,0.0,1786.772,243.808,1542.964,3482.623,1687.363,6956.758,6.623,6963.381,9350.298,
03/31/2011,9224.385,545.774,313.932,231.842,116.138,,60.289,7.316,12.995,39.978,0.0,45.471,,,1193.623,,45.471,767.672,570.623,,,3980.669,3980.669,,,3905.421,41.098,8.151,32.947,2207.688,463.012,8456.713,,126.286,,126.286,33.55,0.0,,,,33.55,560.514,,,560.514,720.35,1506.237,1506.237,,,,89.687,,,,,89.687,1595.924,2316.274,0.0,1787.239,244.379,1542.86,3493.13,1622.305,6902.674,5.437,6908.111,9224.385,
