Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
01/31/1997,6.132,,-2.976,,3.156,,-2.584,,,,,,,0.572,-0.285,,0.285,0.0,0.0,0.287,-0.015,0.272,0.0,,,0.272,0.0,0.272,-0.054,,0.218,0.218,,11.5065,0.02,0.02,0.02,11.5065,0.02,0.02,0.02,
04/30/1997,3.505,,-1.976,,1.529,,-1.862,,,,,,,-0.333,-0.201,,0.201,0.0,0.0,-0.534,-0.003,-0.537,0.0,,,-0.537,0.0,-0.537,-0.105,,-0.642,-0.642,,10.773,-0.073333,-0.073333,-0.073333,11.601,-0.066667,-0.066667,-0.066667,
07/31/1997,2.843,,-2.749,,0.094,,-1.485,,,,,,,-1.391,-0.129,,0.129,0.0,0.0,-1.52,0.0,-1.52,0.0,,,-1.52,0.0,-1.52,-0.002,,-1.522,-1.522,,13.1505,-0.113333,-0.113333,-0.113333,13.1505,-0.113333,-0.113333,-0.113333,
10/31/1997,81.196999,,-72.389,,8.807999,,-8.607,,,,,,,0.201,-1.231,,1.231,0.0,0.0,-1.03,0.0,-1.03,0.0,,,-1.03,0.0,-1.03,-0.647,,-1.677,-1.677,,15.45,-0.066667,-0.066667,-0.066667,15.45,-0.066667,-0.066667,-0.066667,
01/31/1998,51.405998,,-40.798,,10.607998,,-7.229,,,,,,,3.379,-1.548,,1.548,0.0,0.0,1.831,-0.008,1.823,0.0,,,1.823,0.0,1.823,0.0,,1.823,1.823,,19.887001,0.086667,0.08,0.08,25.309499,0.08,0.073333,0.073333,
04/30/1998,39.948002,,-29.847,,10.101002,,-8.271,,,,,,,1.83,-0.973,,0.973,0.0,0.0,0.857,-0.136,0.721,0.225,,,0.496,0.0,0.496,0.0,,0.496,0.496,,20.505,0.026667,0.033333,0.033333,24.6615,0.02,0.026667,0.026667,
07/31/1998,38.425999,,-28.17,,10.255999,,-8.855,,,,,,,1.4,-0.58,,0.58,0.0,0.0,0.82,-0.023,0.797,-0.063,,,0.86,0.0,0.86,0.0,,0.86,0.86,,21.858,0.04,0.039999,0.04,26.916,0.033333,0.033333,0.033333,
10/31/1998,64.272003,,-48.740002,,15.532001,,-11.452,,,,,,,4.08,-0.579,,0.579,0.0,0.0,3.501,0.501,4.002,0.0,,,4.002,0.0,4.002,-0.931,,3.071,3.071,,26.105999,0.153333,0.153333,0.153333,28.254001,0.14,0.14,0.14,
01/31/1999,68.280998,,-53.537998,,14.743,,-9.618,,,,,,,5.125,-0.817,,0.817,0.0,0.0,4.308,-1.413,2.895,0.0,,,2.895,0.0,2.895,0.0,,2.895,2.895,,27.318,0.106667,0.106667,0.113333,29.301001,0.1,0.1,0.106667,
04/30/1999,52.165332,,-36.085017,,16.080315,0.0,-12.688656,11.496645,5.328266,,,,1.192011,3.391659,-0.840457,,0.782953,,0.057504,2.551202,-0.99003,1.561172,,,,1.561172,,1.561172,,0.0,1.561172,1.561172,,28.728564,0.053333,0.053333,0.053333,31.12668,0.053333,0.053333,0.053333,
07/31/1999,63.562,,-43.931,,19.631001,,-15.422,,,,,,,4.209,-0.343,,0.454,0.0,-0.111,3.866,-1.158,2.708,0.0,,,2.708,0.0,2.708,0.0,,2.708,2.708,,33.6615,0.08,0.08,0.08,34.939499,0.08,0.08,0.08,
10/31/1999,121.924004,,-81.568001,,40.356003,,-25.576,,,,,,,14.78,-1.079,,0.856,0.0,0.223,13.701,-4.533,9.168,0.0,,,9.168,0.0,9.168,0.0,,9.168,9.168,,35.7135,0.26,0.26,0.26,35.7135,0.26,0.26,0.26,
01/31/2000,120.695,,-85.403,,35.292,,-27.599001,,,,,,,7.693,-1.662,,1.506,0.0,0.156,6.031,-2.065,3.966,0.0,,,3.966,0.0,3.966,0.0,0.0,3.966,3.966,,34.798499,0.113333,0.113333,0.113333,36.717001,0.106667,0.106667,0.106667,
04/30/2000,69.75,,-40.643002,,29.106998,,-21.645,,,,,,,7.462,-20.316999,,1.375,0.0,18.941999,-12.855,4.396,-8.459,0.0,,,-8.459,0.0,-8.459,0.0,0.0,-8.459,-8.459,,38.548499,-0.22,-0.22,0.093333,40.2285,-0.22,-0.22,0.093333,
07/31/2000,66.142998,,-37.313,,28.829998,,-23.077,,,,,,,5.753,-2.739,,1.636,0.0,1.103,3.014,-0.792,2.222,0.0,,,2.222,0.0,2.222,0.0,0.0,2.222,2.222,,43.591501,0.053333,0.053333,0.066667,44.8185,0.046667,0.046667,0.06,
10/31/2000,122.607905,,-79.64133,,42.966575,0.0,-20.747507,17.318919,8.611437,,,,3.428588,22.219068,-1.837922,1.552115,,,0.285807,20.381146,-7.007853,13.373293,,,,13.373293,,13.373293,0.0,0.0,13.373293,13.373293,,48.237694,0.28,0.28,0.282074,48.237694,0.28,0.28,0.282074,
01/31/2001,157.591003,,-104.260002,,53.331001,,-26.885,,,,,,,26.445999,-2.93,,2.93,0.0,0.0,23.515999,-9.947,13.569,5.337,,,8.231999,0.0,8.232,0.0,0.0,8.232,8.232,,48.5205,0.166667,0.273333,0.273333,49.438499,0.166667,0.273333,0.273333,
04/30/2001,88.179001,,-57.396,,30.783001,,-25.823,,,,,,,4.96,-23.109,,2.355,0.0,20.754,-18.149,6.682,-11.467,0.0,,,-11.467,0.0,-11.467,0.0,0.0,-11.467,-11.467,,48.961498,-0.233333,-0.233333,0.08,50.419498,-0.233333,-0.233333,0.08,
07/31/2001,81.327003,,-49.612,,31.715004,,-28.608,,,,,,,3.107,-1.313,,1.964,0.0,-0.651,1.794,-0.511,1.283,1.948,,,-0.665,0.0,-0.665,0.0,0.0,-0.665,-0.665,,51.439499,-0.013333,0.026667,0.02,53.653502,-0.013333,0.02,0.013333,
10/31/2001,121.704002,,-94.996002,,26.708,,-35.380001,,,,,,,-8.672,-1.984,,1.261,0.0,0.723,-10.656,5.976,-4.68,0.0,,,-4.68,0.0,-4.68,0.0,0.0,-4.68,-4.68,,54.7815,-0.086667,-0.086667,-0.08,54.7815,-0.086667,-0.086667,-0.08,
01/31/2002,282.925995,,-179.464996,,103.460999,,-45.216999,,,,,,,58.243999,-0.847,,0.974,0.0,-0.127,57.397,-22.568001,34.828999,0.0,,,34.828999,0.0,34.828999,0.0,0.0,34.828999,34.828999,,55.085999,0.633333,0.633333,0.633333,56.844,0.613333,0.613333,0.613333,
04/30/2002,170.330002,,-107.032997,,63.297005,,-45.542,,,,,,,17.754999,-1.489,,,0.0,1.489,16.265999,-6.629,9.637,0.0,,,9.636999,0.0,9.637,0.0,0.0,9.637,9.637,,55.585499,0.173333,0.173333,0.186667,58.152002,0.166667,0.166667,0.18,
07/31/2002,122.460999,,-76.936996,,45.524002,,-37.654999,,,,,,,7.869,0.299,,0.0,0.0,-0.299,8.168,-3.402,4.766,0.0,,,4.766,0.0,4.766,0.0,0.0,4.766,4.766,,58.057503,0.08,0.08,0.08,60.346498,0.08,0.08,0.08,
10/31/2002,218.259003,,-135.223007,,83.035995,,-44.188999,,,,,,,38.847,0.27,,,0.0,-0.27,39.117,-16.784,22.333,0.0,,,22.333,0.0,22.333,0.0,0.0,22.333,22.333,,59.820002,0.373333,0.373333,0.373333,62.188499,0.36,0.36,0.36,
01/31/2003,411.007996,,-244.667007,,166.340988,,-78.989998,,,,,,,87.350998,-0.757,,,0.0,0.757,86.593998,-35.058998,51.535,0.0,,,51.535,0.0,51.535,0.0,0.0,51.535,51.535,,61.178999,0.84,0.84,0.88,63.302999,0.813333,0.813333,0.853333,
04/30/2003,193.022995,,-121.540001,,71.482994,,-47.389,,,,,,,24.094,0.743,,,0.0,-0.743,24.837,-10.214,14.623,0.0,,,14.623,0.0,14.623,0.0,0.0,14.623,14.623,,61.893002,0.233333,0.233333,0.233333,63.421497,0.233333,0.233333,0.233333,
07/31/2003,152.054993,,-93.536003,,58.51899,,-49.358002,,,,,,,9.161,0.625,,0.0,0.0,-0.625,9.786,-4.09,5.696,0.0,,,5.696,0.0,5.696,0.0,0.0,5.696,5.696,,63.398998,0.086667,0.086667,0.086667,65.322001,0.086667,0.086667,0.086667,
10/31/2003,277.606995,,-177.229996,,100.376999,,-57.390999,,,,,,,42.986,-0.46,,,0.0,0.46,42.526,-16.261999,26.264,0.0,,,26.264001,0.0,26.264,0.0,0.0,26.264,26.264,,67.330502,0.4,0.4,0.4,67.330502,0.386667,0.386667,0.386667,
01/31/2004,375.511993,,-248.358002,,127.153992,,-77.115997,,,,,,,50.037998,0.426,,0.0,0.0,-0.426,50.463998,-18.705999,31.757999,0.0,,,31.757999,0.0,31.757999,0.0,0.0,31.757999,31.757999,,66.579002,0.48,0.48,0.48,68.131502,0.466667,0.466667,0.466667,
04/30/2004,153.367996,,-119.162003,,34.205994,,-58.459,,,,,,,-24.253,0.648,,0.0,0.0,-0.648,-23.605,9.029,-14.576,0.0,,,-14.576,0.0,-14.576,0.0,0.0,-14.576,-14.576,,66.891003,-0.22,-0.22,-0.22,66.891003,-0.22,-0.22,-0.22,
07/31/2004,160.858002,,-117.998001,,42.860001,,-64.218002,,,,,,,-21.358,0.53,,0.0,0.0,-0.53,-20.828,6.393,-14.435,0.0,,,-14.435,0.0,-14.435,0.0,0.0,-14.435,-14.435,,67.26,-0.213333,-0.213333,-0.213333,67.26,-0.213333,-0.213333,-0.213333,
10/31/2004,438.013,,-264.161987,,173.851013,,-76.143997,,,,,,,97.707001,-7.128,,0.0,0.0,7.128,90.579001,-27.948,62.631001,0.0,,,62.631001,0.0,62.631001,0.0,0.0,62.631001,62.631001,,67.651503,0.926667,0.926667,1.04,69.120003,0.906667,0.906667,1.013333,
01/31/2005,502.473999,,-321.898987,,180.575012,,-107.820999,,,,,,,72.753998,0.54,-0.54,0.0,0.0,0.0,73.293998,-18.045,55.249001,0.0,,,55.248998,0.0,55.249001,0.0,0.0,55.249001,55.249001,,68.529001,0.806667,0.806667,0.806667,69.773998,0.793333,0.793333,0.793333,
04/30/2005,222.067993,,-150.222,,71.845993,,-83.866997,,,,,,,-12.021,1.164,-1.164,0.0,0.0,0.0,-10.857,2.671,-8.186,0.0,,,-8.186,0.0,-8.186,0.0,0.0,-8.186,-8.186,,70.112,-0.12,-0.12,-0.12,70.112,-0.12,-0.12,-0.12,
07/31/2005,169.899,,-118.133,,51.766,,-94.466,64.83,32.449,,,,29.636,-42.7,1.258,-1.258,,,0.0,-41.442,12.466,-28.976,,,,-28.976,,-28.976,,,-28.976,-28.976,,70.556,-0.41,-0.41,-0.41,70.556,-0.41,-0.41,-0.41,
10/31/2005,306.779,,-192.078,,114.701,,-92.869,,,,,,,21.832,0.746,,0.0,0.0,-0.746,22.578,-3.717,18.861,0.0,,,18.861,0.0,18.861,0.0,0.0,18.861,18.861,,70.158,0.27,0.27,0.27,70.744,0.27,0.27,0.27,
01/31/2006,264.980988,,-209.313995,,55.666992,,-104.457001,,,,,,,-48.790001,0.253,-0.253,0.0,0.0,0.0,-48.537001,19.415001,-29.122,0.0,,,-29.122,0.0,-29.122,0.0,0.0,-29.122,-29.122,,71.429001,-0.41,-0.41,-0.41,71.429001,-0.41,-0.41,-0.41,
04/30/2006,265.122009,,-213.222,,51.900009,,-129.067993,,,,,,,-77.167999,0.004,-0.004,0.0,0.0,0.0,-77.163999,26.791,-50.373001,0.0,,,-50.372999,0.0,-50.373001,0.0,0.0,-50.373001,-50.373001,,70.978996,-0.71,-0.71,-0.47,70.978996,-0.71,-0.71,-0.47,
07/31/2006,241.181,,-171.688004,,69.492996,,-107.907997,,,,,,,-38.415001,-7.33,-1.199,0.0,0.0,8.529,-45.745001,-45.633999,-91.378998,0.0,,,-91.379,0.0,-91.378998,0.0,0.0,-91.378998,-91.378998,,71.095001,-1.29,-1.29,-1.17,71.095001,-1.29,-1.29,-1.17,
10/31/2006,266.556,,-184.757,,81.799,,-95.233,,,,,,,-13.434,0.398,-1.228,0.0,0.0,0.83,-13.036,-0.979,-14.015,0.0,,,-14.015,0.0,-14.015,0.0,0.0,-14.015,-14.015,,71.199,-0.2,-0.2,-0.13,71.199,-0.2,-0.2,-0.13,
01/31/2007,277.339996,,-204.225006,,73.11499,,-94.448997,,,,,,,-21.334,0.862,-0.862,0.0,0.0,0.0,-20.472,-1.076,-21.548,0.0,,,-21.548,0.0,-21.548,0.0,0.0,-21.548,-21.548,,71.360001,-0.3,-0.3,-0.125,71.360001,-0.3,-0.3,-0.125,
04/30/2007,205.436,,-105.679,,99.757,,-141.545,,,,,,,-41.788,-7.94,-1.022,0.0,0.0,8.962,-49.728,-1.521,-51.249,0.0,,,-51.249,0.0,-51.249,0.0,0.0,-51.249,-51.249,,71.736,-0.71,-0.71,-0.59,71.736,-0.71,-0.71,-0.59,
07/31/2007,206.415,,-168.279,,38.136,,-88.142,,,,,,,-50.006,-6.352,-0.748,0.0,0.0,7.1,-56.358,-2.188,-58.546,0.0,,,-58.546,0.0,-58.546,0.0,0.0,-58.546,-58.546,,72.075,-0.81,-0.81,-0.71,72.075,-0.81,-0.81,-0.71,
10/31/2007,292.6,,-202.948,,89.652,,-86.516,,,,,,,3.136,-4.793,0.324,,0.0,4.469,-1.657,-5.406,-7.063,0.0,,,-7.063,0.0,-7.063,0.0,0.0,-7.063,-7.063,,72.321,-0.1,-0.1,-0.02,72.321,-0.1,-0.1,-0.02,
01/31/2008,240.442,,-186.008,,54.434,,-87.35,,,,,,,-32.916,-0.314,0.152,,0.0,0.162,-33.23,-4.767,-37.997,0.0,,,-37.997,0.0,-37.997,0.0,0.0,-37.997,-37.997,,73.148,-0.52,-0.52,-0.5,73.148,-0.52,-0.52,-0.5,
