Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1993,0.279,,,-1.044,,,-0.765,,-0.18,,,,-0.945,0.024,,,,0.0,-0.024,-0.921,0.0,,,-0.921,0.0,,,-0.921,0.0,-0.921,0.0,,-0.921,-0.921,,7.896,-0.1175,-0.1175,,7.896,-0.1175,-0.1175,-0.1175,
06/30/1993,0.0,,,-1.079,,,-1.079,,-0.178,,,,-1.257,0.015,,,,0.0,-0.015,-1.242,0.0,,,-1.242,0.0,,,-1.242,0.0,-1.242,0.0,,-1.242,-1.242,,7.896,-0.1575,-0.1575,,7.896,-0.1575,-0.1575,-0.1575,
09/30/1993,0.0,,,-1.136,,,-1.136,,-0.212,,,,-1.348,-0.011,,,,0.0,0.011,-1.359,0.0,,,-1.359,0.0,,,-1.359,0.0,-1.359,0.0,,-1.359,-1.359,,2.0,-0.68,-0.68,,2.0,-0.68,-0.68,-0.68,
12/31/1993,0.0,,,-0.74,,,-0.74,,-0.662,,,,-1.402,0.032,,,,0.0,-0.032,-1.37,0.0,,,-1.37,0.0,,,-1.37,0.0,-1.37,0.0,,-1.37,-1.37,,16.84,-0.0825,-0.0825,,16.84,-0.0825,-0.0825,-0.0825,
03/31/1994,0.0,,,0.0,,,0.0,,-2.177,,,,-2.177,0.042,,,,0.0,-0.042,-2.135,0.0,,,-2.135,0.0,,,-2.135,0.0,-2.135,0.0,,-2.135,-2.135,,25.608,-0.0825,-0.0825,,25.608,-0.0825,-0.0825,-0.0825,
06/30/1994,0.0,,,,,,,,-2.509,,,,-2.509,0.044,,,,0.0,-0.044,-2.465,0.0,,,-2.465,0.0,,,-2.465,0.0,-2.465,0.0,,-2.465,-2.465,,25.628,-0.0975,-0.0975,,25.628,-0.0975,-0.0975,-0.0975,
09/30/1994,0.0,,,0.0,,,0.0,,-3.235,,,,-3.235,0.143,,,,0.0,-0.143,-3.092,0.0,,,-3.092,0.0,,,-3.092,0.0,-3.092,0.0,,-3.092,-3.092,,28.488001,-0.1075,-0.1075,,28.488001,-0.1075,-0.1075,-0.1075,
12/31/1994,0.243,,,0.0,,,0.243,,-4.33,,,,-4.087,0.279,,,,0.0,-0.279,-3.808,0.0,,,-3.808,0.0,,,-3.808,0.0,-3.808,0.0,,-3.808,-3.808,,29.492001,-0.13,-0.13,,29.492001,-0.13,-0.13,-0.13,
03/31/1995,1.482,,,,,,,,-3.782,,,,-2.3,0.336,,,,0.0,-0.336,-1.964,0.0,,,-1.964,0.0,,,-1.964,0.0,-1.964,0.0,,-1.964,-1.964,,31.719999,-0.0625,-0.0625,,31.719999,-0.0625,-0.0625,-0.0625,
06/30/1995,1.953,,,,,,,,-5.129,,,,-3.176,0.283,,,,0.0,-0.283,-2.893,0.0,,,-2.893,0.0,,,-2.893,0.0,-2.893,0.0,,-2.893,-2.893,,31.736,-0.09,-0.09,,31.736,-0.09,-0.09,-0.09,
09/30/1995,2.26,,,,,,,,-5.462,,,,-3.202,0.205,,,,0.0,-0.205,-2.997,0.0,,,-2.997,0.0,,,-2.997,0.0,-2.997,0.0,,-2.997,-2.997,,31.76,-0.095,-0.095,,31.76,-0.095,-0.095,-0.095,
12/31/1995,4.213,,,,,,,,-6.738,,,,-2.525,0.237,,,,0.0,-0.237,-2.288,0.0,,,-2.288,0.0,,,-2.288,0.0,-2.288,0.0,,-2.288,-2.288,,35.380001,-0.065,-0.065,,35.380001,-0.065,-0.065,-0.065,
03/31/1996,6.274,,,,,,,,-8.99,,,,-2.716,0.678,,,,0.0,-0.678,-2.038,0.0,,,-2.038,0.0,,,-2.038,0.0,-2.038,0.0,,-2.038,-2.038,,40.136002,-0.05,-0.05,-0.05,40.136002,-0.05,-0.05,-0.05,
06/30/1996,8.413,,,,,,,,-10.595,,,,-2.182,0.586,,,,0.0,-0.586,-1.596,0.0,,,-1.596,0.0,,,-1.596,0.0,-1.596,0.0,,-1.596,-1.596,,40.416,-0.04,-0.04,-0.04,40.416,-0.04,-0.04,-0.04,
09/30/1996,12.917,,,,,,,,-13.663,,,,-0.746,-2.606,,,,0.0,2.606,-3.352,0.0,,,-3.352,0.0,,,-3.352,0.0,-3.352,0.0,,-3.352,-3.352,,40.716,-0.0825,-0.0825,-0.005,40.716,-0.0825,-0.0825,-0.005,
12/31/1996,14.181,,,,,,,,-14.407,,,,-0.226,0.452,,,,0.0,-0.452,0.226,0.0,,,0.226,0.0,,,0.226,0.0,0.226,0.0,,0.226,0.226,,44.375999,0.005,0.005,0.005,44.375999,0.005,0.005,0.005,
03/31/1997,17.858999,,,,,,,,-17.304001,,,,0.555,0.478,,,,0.0,-0.478,1.033,-0.052,,,0.981,0.0,,,0.981,0.0,0.981,0.0,,0.981,0.981,,45.812,0.0225,0.0225,0.0225,45.812,0.0225,0.0225,0.0225,
06/30/1997,21.191999,,,,,,,,-19.669001,,,,1.523,0.525,,,,0.0,-0.525,2.048,-0.106,,,1.942,0.0,,,1.942,0.0,1.942,0.0,,1.942,1.942,,45.736,0.0425,0.0425,0.0425,45.736,0.0425,0.0425,0.0425,
09/30/1997,22.662001,,,,,,,,-20.733999,,,,1.928,1.271,,,,0.0,-1.271,3.199,-0.155,,,3.044,0.0,,,3.044,0.0,3.044,0.0,,3.044,3.044,,49.591999,0.0625,0.0625,0.0625,49.591999,0.0625,0.0625,0.0625,
12/31/1997,26.638,,,,,,,,-23.354,,,,3.284,1.392,,,,0.0,-1.392,4.676,-0.235,,,4.441,0.0,,,4.441,0.0,4.441,0.0,,4.441,4.441,,48.066002,0.09,0.09,0.09,52.118,0.085,0.085,0.085,
03/31/1998,30.379,,,,,,,,-26.299,,,,4.08,0.066,,,,0.0,-0.066,4.146,-0.58,,,3.566,0.0,,,3.566,0.0,3.566,0.0,,3.566,3.566,,52.939999,0.065,0.065,0.085,57.832001,0.06,0.06,0.08,
06/30/1998,33.092999,,,,,,,,-28.841999,,,,4.251,1.804,,,,0.0,-1.804,6.055,-0.848,,,5.207,0.0,,,5.207,0.0,5.207,0.0,,5.207,5.207,,53.220001,0.1,0.1,0.1,57.334,0.09,0.09,0.09,
09/30/1998,34.692001,,,,,,,,-31.636,,,,3.056,-9.159,,,,0.0,9.159,-6.103,-0.683,,,-6.786,0.0,,,-6.786,0.0,-6.786,0.0,,-6.786,-6.786,,53.641998,-0.125,-0.125,0.08,53.641998,-0.125,-0.125,0.075,
12/31/1998,36.647003,,,,,,,,-35.852997,,,,0.794005,0.932001,,,,0.0,-0.932001,1.726005,-0.241,,,1.485005,0.0,,,1.485005,0.0,1.485,0.0,,1.485,1.485,,55.563999,0.025,0.025,0.115,58.675999,0.025,0.025,0.115,
03/31/1999,37.630001,,,,,,,,-39.623001,,,,-1.993,0.083,,,,0.0,-0.083,-1.91,0.0,,,-1.91,0.0,,,-1.91,0.0,-1.91,0.0,,-1.91,-1.91,,55.757999,-0.035,-0.035,-0.035,55.757999,-0.035,-0.035,-0.035,
06/30/1999,37.893002,,,,,,,,-45.618999,,,,-7.726,0.339,-1.556,,,0.0,1.217,-7.387,0.0,,,-7.387,0.0,,,-7.387,0.0,-7.387,0.0,,-7.387,-7.387,,55.922001,-0.13,-0.13,-0.13,55.922001,-0.13,-0.13,-0.13,
09/30/1999,35.415001,,,,,,,,-45.862999,,,,-10.448,-0.618,-1.236,,,0.0,1.854,-11.066,0.0,,,-11.066,0.0,,,-11.066,0.0,-11.066,0.0,,-11.066,-11.066,,56.380001,-0.195,-0.195,-0.195,56.380001,-0.195,-0.195,-0.195,
12/31/1999,46.023998,,,,,,,,-52.96299,,,,-6.939001,-0.265998,-1.234,,-1.234,0.0,1.499998,-7.204999,0.8,,,-6.405,0.0,,,-6.404999,0.0,-6.405,0.0,,-6.405,-6.405,,57.040001,-0.11,-0.11,-0.11,57.040001,-0.11,-0.11,-0.11,
03/31/2000,40.754002,,,-41.334,,,-0.579998,,-14.811,,,,-15.391,7.224,,1.897,,0.0,-9.121,-8.166999,0.0,,,-8.167,0.0,,,-8.166999,0.0,-8.167,0.0,0.0,-8.167,-8.167,,60.612,-0.135,-0.135,-0.135,60.612,-0.135,-0.135,-0.135,
06/30/2000,46.014999,,,-45.407001,,,0.607998,,-15.0,,,,-14.392,7.802,,3.011,,0.0,-10.813,-6.59,0.0,,,-6.59,0.0,,,-6.59,0.0,-6.59,0.0,0.0,-6.59,-6.59,,63.798,-0.105,-0.105,-0.105,63.798,-0.105,-0.105,-0.105,
09/30/2000,51.981998,,,-51.880001,,,0.101997,,-15.848,,,,-15.746,8.148,,2.886,,0.0,-11.034,-7.598,0.0,,,-7.598,0.0,,,-7.598,0.0,-7.598,0.0,0.0,-7.598,-7.598,,64.064003,-0.12,-0.12,-0.12,64.064003,-0.12,-0.12,-0.12,
12/31/2000,55.416,,,-53.935001,,,1.480999,,-18.532,,,,-17.051001,6.749,-6.749,2.735,-9.484,0.0,0.0,-10.302,-0.205,,,-10.507,-3.137,,,-7.37,0.0,-7.37,0.0,0.0,-7.37,-7.37,,64.369003,-0.11,-0.16,-0.16,64.369003,-0.11,-0.16,-0.16,
03/31/2001,51.120998,,,-55.959,,,-4.838001,,-16.561001,,,,-21.399,9.063,2.61,2.61,,0.0,-11.673,-12.336,-0.255,,,-12.591,-2.279,,,-10.312,0.0,-10.312,0.0,0.0,-10.312,-10.312,,65.745003,-0.16,-0.19,-0.19,65.745003,-0.16,-0.19,-0.19,
06/30/2001,56.050999,,,-55.154999,,,0.896,,-18.591,,,,-17.695,8.029,,2.535,,0.0,-10.564,-9.666,-0.225,,,-9.891,0.0,,,-9.891,0.0,-9.891,0.0,0.0,-9.891,-9.891,,66.075996,-0.15,-0.15,-0.15,66.075996,-0.15,-0.15,-0.15,
09/30/2001,57.319,,,-50.661999,,,6.657001,,-17.886,,,,-11.229,-6.373,,2.547,,0.0,3.826,-17.602,-0.225,,,-17.827,0.0,,,-17.827,0.0,-17.827,0.0,0.0,-17.827,-17.827,,66.370003,-0.27,-0.27,-0.182,66.370003,-0.27,-0.27,-0.182,
12/31/2001,54.771999,,,-50.498001,,,4.273998,,-18.65,,,,-14.376,-130.603999,,2.436,,0.0,128.167999,-144.98,-0.225,,,-145.205002,0.0,,,-145.205,0.0,-145.205002,0.0,0.0,-145.205002,-145.205002,,66.565002,-2.18,-2.18,-0.222835,66.565002,-2.18,-2.18,-0.223,
03/31/2002,29.014,,,-33.743,,,-4.729,,-14.168,,,,-18.896999,5.759,2.538,2.538,,0.0,-8.297,-13.138,-0.303,,,-13.441,0.0,,,-13.441,0.0,-13.441,0.0,0.0,-13.441,-13.441,,66.863998,-0.2,-0.2,-0.2,66.863998,-0.2,-0.2,-0.2,
06/30/2002,29.059,,,-37.716999,,,-8.657999,,-12.748,,,,-21.406,4.165,,2.389,,0.0,-6.554,-17.241,-0.3,,,-17.541,0.0,,,-17.541,0.0,-17.541,0.0,0.0,-17.541,-17.541,,67.440002,-0.26,-0.26,-0.27,67.440002,-0.26,-0.26,-0.27,
09/30/2002,22.389999,,,-47.405998,,,-25.015999,,-12.147,,,,-37.162998,-0.948,2.45,2.45,,0.0,-1.502,-38.110998,-0.3,,,-38.410999,0.0,,,-38.410998,0.0,-38.410999,0.0,0.0,-38.410999,-38.410999,,67.739998,-0.57,-0.57,-0.45,67.739998,-0.57,-0.57,-0.45,
12/31/2002,21.149,,,-33.483002,,,-12.334002,,-8.084,,,,-20.417999,-46.856999,,2.425,,0.0,44.431999,-67.274998,-0.217,,,-67.491997,0.0,,,-67.491998,0.0,-67.491997,0.0,0.0,-67.491997,-67.491997,,67.567001,-1.0,-1.0,-0.333,67.567001,-1.0,-1.0,-0.333,
03/31/2003,12.509,,,-30.186001,,,-17.677001,,-7.377,,,,-25.054001,-30.47,2.439,2.439,,0.0,28.031,-55.524001,-0.26,,,-55.784,0.0,,,-55.784001,0.0,-55.784,0.0,0.0,-55.784,-55.784,,68.986,-0.81,-0.81,-0.36,68.986,-0.81,-0.81,-0.36,
06/30/2003,11.036,,,-29.870001,,,-18.834001,,-7.984,,,,-26.818001,0.159,2.439,2.439,,0.0,-2.598,-26.659001,-0.241,,,-26.9,0.0,,,-26.900001,0.0,-26.9,0.0,0.0,-26.9,-26.9,,71.894997,-0.37,-0.37,-0.37,71.894997,-0.37,-0.37,-0.37,
09/30/2003,13.249,,,-28.618999,,,-15.37,,-8.585,,,,-23.955,-18.867001,2.299,2.299,,0.0,16.568001,-42.822001,-0.19,,,-43.012001,0.0,,,-43.012001,0.0,-43.012001,0.0,0.0,-43.012001,-43.012001,,72.184998,-0.6,-0.6,-0.33,72.184998,-0.6,-0.6,-0.33,
12/31/2003,10.298,,,-27.57,,,-17.271999,,-6.255,,,,-23.527,-17.454,,2.384,,0.0,15.07,-40.981,0.214,,,-40.766998,0.0,,,-40.767,0.0,-40.766998,0.0,0.0,-40.766998,-40.766998,,72.411003,-0.56,-0.56,-0.34,72.411003,-0.56,-0.56,-0.34,
03/31/2004,5.483,,,-25.112,,,-19.629,,-5.938,,,,-25.566999,-11.752,3.52,3.52,,0.0,8.232,-37.319,-0.108,,,-37.426998,0.288,,,-37.715,0.0,-37.715,0.0,0.0,-37.715,-37.715,,72.642998,-0.52,-0.52,-0.38,72.642998,-0.52,-0.52,-0.38,
