Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/30/1989,2592.425049,36.152,36.152,,218.544998,,,466.149994,,,,,48.499001,,,,,769.346008,1039.349976,,,,783.729004,,,,783.729004,1823.078979,,187.884995,187.884995,,,,55.629002,,,,,,192.984997,,,192.984997,436.498993,1329.968018,,,,,352.223999,,,,352.223999,1682.192017,2118.69101,,77.821999,,,-9.17,,405.081987,473.733986,,473.733986,2592.424995,
03/31/1990,2658.420898,20.492001,20.492001,,261.395996,,,498.01001,,,,,17.910999,,,,,797.809021,1056.755981,,,,803.856018,,,,803.856018,1860.612,,193.834,193.834,,,,101.007004,,,,,,206.712982,,,206.712982,501.553986,1304.427002,,,,,352.660004,,,,352.660004,1657.087006,2158.640991,,77.691002,,,-8.703,,430.791989,499.779991,,499.779991,2658.420982,
06/30/1990,2525.345947,20.415001,20.415001,,102.190002,,,495.475006,,,,,19.179001,,,,,637.258972,1053.050049,,,,835.036987,,,,835.036987,1888.087036,,208.912994,208.912994,,,,64.403,,,,,,241.749985,,,241.749985,515.065979,1106.615967,,,,,370.266998,,,,370.266998,1476.882965,1991.948944,,78.526001,,,-8.777,,463.648003,533.397003,,533.397003,2525.345947,
09/29/1990,2501.062012,16.943001,16.943001,,90.838997,,,472.264008,,,,,5.812,,,,,585.857971,1071.115967,1498.267944,-427.152008,,844.088013,,,,844.088013,1915.20398,,203.914993,203.914993,,,,70.057999,,,,,,209.188019,,,209.188019,483.161011,950.406982,,,,,404.506012,,,,404.506012,1354.912994,1838.074005,,172.063004,,,-9.343,,500.267988,662.987992,,662.987992,2501.061997,
12/29/1990,2550.937012,24.837,24.837,,56.945999,,,510.713989,,,,,7.833,,,,,600.330017,1111.203003,,,,839.403992,,,,839.403992,1950.606995,,180.889008,180.889008,,,,60.470001,,,,,,164.858978,,,164.858978,406.217987,1047.109985,,,,,405.902008,,,,405.902008,1453.011993,1859.22998,,172.501999,,,-9.312,,528.517017,691.707016,,691.707016,2550.936996,
03/30/1991,2586.948975,17.737,17.737,,67.296997,,,527.041992,,,,,5.782,,,,,617.857971,1136.255981,,,,832.835022,,,,832.835022,1969.091003,,172.231995,172.231995,,,,90.658997,,,,,,167.227997,,,167.227997,430.118988,1020.057983,,,,,411.950989,,,,411.950989,1432.008972,1862.12796,,180.014999,,,-9.244,,554.050031,724.82103,,724.82103,2586.94899,
06/29/1991,2639.748047,26.104,26.104,,63.77,,,568.093994,,,,,4.012,,,,,661.97998,1150.177979,,,,827.590027,,,,827.590027,1977.768005,,181.957993,181.957993,,,,86.275002,,,,,,183.663002,,,183.663002,451.895996,978.033997,,,,,429.416992,,,,429.416992,1407.450989,1859.346985,,195.397003,,,-8.375,,593.379028,780.401031,,780.401031,2639.748016,
09/28/1991,2645.750977,25.452999,25.452999,,96.738998,,,535.710022,,,,,4.107,,,,,662.008972,1161.952026,1676.978027,-515.026001,,821.789978,,,,821.789978,1983.742004,,200.949997,200.949997,,,,137.908997,,,,,,211.219985,,,211.219985,550.078979,845.914001,,,,,427.266998,,,,427.266998,1273.180999,1823.259978,,196.785995,,,-9.392,,635.097017,822.491012,,822.491012,2645.75099,
12/28/1991,2598.410889,15.328,15.328,,66.556,,,540.825012,,,,,4.647,,,,,627.356018,1158.697998,,,,812.356995,,,,812.356995,1971.054993,,185.955002,185.955002,,,,142.455994,,,,,,141.802017,,,141.802017,470.213013,845.224976,,,,,429.13501,,,,429.13501,1274.359985,1744.572998,,197.447998,,,-9.321,,665.711015,853.838013,,853.838013,2598.411011,
03/28/1992,2584.937012,14.973,14.973,,97.009003,,,508.428009,,,,,5.22,,,,,625.630005,1155.212036,,,,804.094971,,,,804.094971,1959.307007,,193.320999,193.320999,,,,140.619995,,,,,,157.805008,,,157.805008,491.746002,770.031982,,,,,433.169006,,,,433.169006,1203.200989,1694.946991,,198.087006,,,-9.324,,701.227015,889.990021,,889.990021,2584.937012,
