Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,107,63,87,-7,,,-7,-36,,,-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,
06/30/1990,177,71,86,20,,,20,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,,,
09/30/1990,177,58,85,19,,,19,15,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,,,
12/31/1990,186,44,88,-21,,,-21,75,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,,,
03/31/1991,52,-8,87,-1,,,-1,-26,,,-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,
06/30/1991,118,-420,83,457,,,457,-2,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,
09/30/1991,111,68,87,7,,,7,-51,,,-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,
12/31/1991,87,40,90,24,,,24,-67,,,-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,
03/31/1992,206,70,92,45,,,45,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,,,
06/30/1992,87,36,79,4,,,4,-32,,,-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,
09/30/1992,181,61,82,21,,,21,17,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,,,
12/31/1992,206,111,85,-21,,,-21,31,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,,,
03/31/1993,158,82,86,17,,,17,-27,,,-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,,,
06/30/1993,121,72,86,-28,,,-28,-9,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,
09/30/1993,138,24,89,23,,,23,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,
12/31/1993,161,118,91,27,,,27,-75,,,-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,
03/31/1994,49,77,87,6,,,6,-121,,,-121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,
06/30/1994,151,82,89,54,,,54,-74,,,-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,
09/30/1994,390,115,91,8,,,8,176,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,,,
12/31/1994,199,142,95,58,,,58,-96,,,-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,,,
03/31/1995,80,1,107,129,,,129,-157,,,-157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,
06/30/1995,234,124,99,-12,,,-12,23,,,23,,-241.0,-241.0,,,,-241.0,,,,,,,,,,0.0,,,,,,,,,,,,-7,,,
09/30/1995,549,133,109,96,,,96,211,,,211,,-190.0,-190.0,,,,-190.0,,,,,,,,,,0.0,,,,,,,,,,,,359,,,
12/31/1995,566,-166,213,448,,,448,71,,,71,,-298.0,-298.0,,,,-298.0,,,,,,,,,,0.0,,,,,,,,,,,,268,,,
03/31/1996,305,187,187,47,,,47,-116,,,-116,,-354.0,-354.0,,,,-354.0,,,,,,,,,,0.0,,,,,,,,,,,,-49,,,
06/30/1996,408,211,187,-10,,,-10,20,,,20,,-468.0,-468.0,,,,-468.0,,,,,,,,,,0.0,,,,,,,,,,,,-60,,,
09/30/1996,520,247,191,33,,,33,49,,,49,,-531.0,-531.0,,,,-531.0,,,,,,,,,,0.0,,,,,,,,,,,,-11,,,
12/31/1996,638,244,195,138,,,138,61,,,61,,-881.0,-881.0,,,,-881.0,,,,,,,,,,0.0,,,,,,,,,,,,-243,,,
