Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/1990,104.599998,50.200001,23.299999,15.7,,,15.7,15.4,,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,139.600006,50.200001,55.599998,-0.7,,,-0.7,34.5,,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,141.100006,33.900002,36.0,55.5,,,55.5,15.7,,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,157.699997,34.700001,63.099998,70.5,,,70.5,-10.6,,-10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.699997,
03/31/1991,-86.0,-14.0,43.0,-56.0,,,-56.0,-59.0,,-59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,23.0,27.0,43.0,-46.0,,,-46.0,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,19.0,21.0,39.0,-36.0,,,-36.0,-5.0,,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,73.0,33.0,44.0,-51.0,,,-51.0,47.0,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,
03/31/1992,32.0,31.0,45.0,-7.0,,,-7.0,-37.0,,-37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,46.0,41.0,55.0,3.0,,,3.0,-53.0,,-53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,134.0,28.0,50.0,-2.0,,,-2.0,58.0,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,66.0,39.0,34.0,-4.0,,,-4.0,-3.0,,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,
03/31/1993,14.0,50.0,45.0,3.0,,,3.0,-84.0,,-84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,263.0,53.0,53.0,0.0,,,0.0,157.0,,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,51.0,44.0,49.0,-22.0,,,-22.0,-20.0,,-20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,107.0,26.0,49.0,13.0,,,13.0,19.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,
03/31/1994,59.0,74.0,62.0,38.0,,,38.0,-115.0,,-115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,170.0,86.0,63.0,18.0,,,18.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,113.0,84.0,62.0,0.0,,,0.0,-33.0,,-33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,180.0,89.0,64.0,60.0,,,60.0,-33.0,,-33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,
03/31/1995,41.0,108.0,66.0,18.0,,,18.0,-151.0,,-151.0,,-57.0,-57.0,,,,-57.0,,,,,,,,,,0.0,,,,,,,,,,,,-16.0,
06/30/1995,147.0,110.0,71.0,15.0,,,15.0,-49.0,,-49.0,,-87.0,-87.0,,,,-87.0,,,,,,,,,,0.0,,,,,,,,,,,,60.0,
09/30/1995,159.0,91.0,70.0,-9.0,,,-9.0,7.0,,7.0,,-90.0,-90.0,,,,-90.0,,,,,,,,,,0.0,,,,,,,,,,,,69.0,
12/31/1995,300.0,90.0,74.0,15.0,,,15.0,121.0,,121.0,,-165.0,-165.0,,,,-165.0,,,,,,,,,,0.0,,,,,,,,,,,,135.0,
03/31/1996,36.0,95.0,75.0,-5.0,,,-5.0,-129.0,,-129.0,,,-55.0,,,,-55.0,,,,,,,,,,55.0,,,,,,,,,,,,,
06/30/1996,196.0,103.0,79.0,4.0,,,4.0,10.0,,10.0,,,-68.0,,,,-68.0,,,,,,,,,,68.0,,,,,,,,,,,,,
09/30/1996,196.0,85.0,82.0,-35.0,,,-35.0,64.0,,64.0,,,-75.0,,,,-75.0,,,,,,,,,,75.0,,,,,,,,,,,,,
12/31/1996,265.0,66.0,84.0,14.0,,,14.0,101.0,,101.0,,-149.0,-149.0,,,,-149.0,,,,,,,,,,0.0,,,,,,,,,,,,116.0,
03/31/1997,27.0,101.0,82.0,-2.0,,,-2.0,-154.0,,-154.0,,-53.0,-47.0,0.0,,,-47.0,,,0.0,0.0,0.0,,,,,-6.0,29.0,-31.0,66.0,,,,-6.0,11.0,-17.0,0.0,,3.0,
06/30/1997,174.0,126.0,83.0,-4.0,,,-4.0,-31.0,,-31.0,,-74.0,-105.0,0.0,,,-105.0,,,0.0,0.0,0.0,,,,,31.0,-102.0,-34.0,-67.0,,,,-1.0,7.0,-8.0,0.0,,-2.0,
09/30/1997,296.0,54.0,85.0,90.0,,,90.0,67.0,,67.0,,-576.0,-110.0,0.0,,,-110.0,,,0.0,0.0,0.0,,,,,-466.0,281.0,-34.0,340.0,,,,-25.0,7.0,-32.0,0.0,,1.0,
12/31/1997,266.0,129.0,92.0,-54.0,,,-54.0,99.0,,99.0,,172.0,-176.0,0.0,,,-176.0,,,0.0,0.0,0.0,,,,,348.0,-409.0,-34.0,-128.0,,,,-247.0,11.0,-258.0,0.0,,29.0,
03/31/1998,1.0,105.0,81.0,-47.0,,,-47.0,-138.0,,-138.0,,162.0,-58.0,0.0,,,-58.0,,,0.0,0.0,0.0,,,,,220.0,-170.0,-32.0,188.0,,,,-326.0,12.0,-338.0,0.0,,-7.0,
06/30/1998,71.0,114.0,82.0,0.0,,,0.0,-125.0,,-125.0,,-28.0,-92.0,0.0,,,-92.0,,,0.0,0.0,0.0,,,,,64.0,-45.0,-31.0,-9.0,,,,-5.0,4.0,-9.0,0.0,,-2.0,
09/30/1998,224.0,58.0,82.0,-22.0,,,-22.0,106.0,,106.0,,-204.0,-121.0,0.0,,,-121.0,,,0.0,0.0,0.0,,,,,-83.0,-17.0,-31.0,15.0,,,,-1.0,1.0,-2.0,0.0,,3.0,
12/31/1998,346.0,72.0,86.0,83.0,,,83.0,105.0,,105.0,,-211.0,-212.0,0.0,,,-212.0,,,0.0,0.0,0.0,,,,,1.0,-102.0,-32.0,-70.0,,,,0.0,0.0,0.0,0.0,,33.0,
03/31/1999,-7.0,84.0,86.0,17.0,,,17.0,-194.0,,-194.0,,-82.0,-77.0,0.0,,,-77.0,,,0.0,0.0,0.0,,,,,-5.0,29.0,-32.0,68.0,,,,0.0,0.0,0.0,-7.0,,-60.0,
06/30/1999,158.0,125.0,115.0,43.0,,,43.0,-125.0,,-125.0,,-1702.0,-106.0,0.0,,,-106.0,,,0.0,0.0,0.0,,,,,-1596.0,1550.0,-31.0,1563.0,,,,0.0,0.0,0.0,18.0,,6.0,
09/30/1999,302.0,184.0,122.0,-155.0,,,-155.0,151.0,,151.0,,24.0,-130.0,0.0,,,-130.0,,,0.0,0.0,0.0,,,,,154.0,-317.0,-33.0,-442.0,,,,147.0,147.0,0.0,11.0,,9.0,
12/31/1999,198.0,224.0,98.0,-284.0,,,-284.0,160.0,,160.0,,139.0,-167.0,0.0,,,-167.0,,,0.0,0.0,0.0,,,,,306.0,-304.0,-32.0,-270.0,,,,-5.0,0.0,-5.0,3.0,,33.0,
03/31/2000,-58.0,131.0,117.0,-14.0,,,-14.0,-292.0,,-292.0,,7.0,-65.0,0.0,,,-65.0,,,0.0,0.0,0.0,,,,,72.0,37.0,-32.0,163.0,,,,-96.0,0.0,-96.0,2.0,,-14.0,
06/30/2000,257.0,145.0,114.0,26.0,,,26.0,-28.0,,-28.0,,-104.0,-85.0,0.0,,,-85.0,,,0.0,0.0,0.0,,,,,-19.0,-142.0,-32.0,-114.0,,,,0.0,0.0,0.0,4.0,,11.0,
09/30/2000,172.0,93.0,123.0,-28.0,,,-28.0,-16.0,,-16.0,,72.0,-87.0,0.0,,,-87.0,,,0.0,0.0,0.0,,,,,159.0,-290.0,-32.0,-67.0,,,,-193.0,0.0,-193.0,2.0,,-46.0,
12/31/2000,44.0,84.0,108.0,-207.0,,,-207.0,59.0,,59.0,,1.0,-149.0,0.0,,,-149.0,,,0.0,0.0,0.0,,,,,150.0,7.0,-31.0,163.0,,,,-118.0,10.0,-128.0,-7.0,,52.0,
03/31/2001,109.0,50.0,115.0,-49.0,,,-49.0,-7.0,,-7.0,,-17.0,-63.0,0.0,,,-63.0,,,0.0,0.0,0.0,,,,,46.0,-54.0,-30.0,-31.0,,,,-4.0,0.0,-4.0,11.0,,38.0,
06/30/2001,192.0,49.0,112.0,-14.0,,,-14.0,45.0,,45.0,,111.0,-76.0,0.0,,,-76.0,,,0.0,0.0,0.0,,,,,187.0,-318.0,-30.0,-302.0,,,,0.0,0.0,0.0,14.0,,-15.0,
09/30/2001,194.0,40.0,112.0,-66.0,,,-66.0,108.0,,108.0,,16.0,-64.0,0.0,,,-64.0,,,0.0,0.0,0.0,,,,,80.0,-215.0,-30.0,-178.0,,,,18.0,27.0,-9.0,-25.0,,-5.0,
