Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Compensation,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1991,400.100006,59.5,59.5,,70.900002,,,,,,,,,15.2,,,,,145.600006,50.5,,,,204.0,,,,,204.0,254.5,,20.1,20.1,,,,57.400002,,,,,,33.099997,,,,33.099997,110.599998,11.0,,,,,3.2,,,,,,3.2,14.2,124.799999,,223.399994,,,0.0,,51.900002,275.299995,,275.299995,400.099994,
06/30/1991,416.899994,71.699997,71.699997,,70.199997,,,,,,,,,17.200001,,,,,159.100006,54.900002,,,,202.899994,,,,,202.899994,257.799995,,26.5,26.5,,,,44.0,,,,,,44.900002,,,,44.900002,115.400002,0.0,,,,,10.9,,,,,,10.9,10.9,126.300001,,223.0,,,0.0,,67.599998,290.599998,,290.599998,416.9,
09/30/1991,438.600006,84.0,84.0,,68.699997,,,,,,,,,19.1,,,,,171.800003,58.400002,,,6.1,202.300003,,,,,202.300003,266.800004,,28.1,28.1,,,,33.099998,,,,,,56.600004,,,,56.600004,117.800003,0.0,,,,,10.9,,,,,,10.9,10.9,128.700003,,223.600006,,,0.0,,86.300003,309.900009,,309.900009,438.600012,
12/31/1991,411.299988,51.299999,51.299999,,64.900002,,,,,,,,,19.1,,,,,135.300003,61.799999,104.0,-42.200001,,214.199997,,,,,214.199997,275.999996,,25.200001,25.200001,,,,0.0,,,,,,45.899997,,,,45.899997,71.099998,0.0,,,,,9.4,,,,,,9.4,9.4,80.499998,,224.699997,,,0.0,,106.099998,330.799995,,330.799995,411.299993,
03/31/1992,429.0,55.799999,55.799999,,80.400002,,,,,,,,,19.6,,,,,155.800003,62.700001,,,,210.5,,,,,210.5,273.200001,,27.1,27.1,,,,0.0,,,,,,64.200003,,,,64.200003,91.300003,100.0,,,,,9.0,,,,,,9.0,109.0,200.300003,,225.199997,,,-125.699997,,129.199997,228.699997,,228.699997,429.0,
06/30/1992,427.100006,47.0,47.0,,86.0,,,,,,,,,19.700001,,,,,152.699997,66.199997,,,,208.199997,,,,,208.199997,274.399994,,34.599998,34.599998,,,,,,,,,,51.300003,,,,51.300003,85.900002,85.0,,,,,8.7,,,,,,8.7,93.7,179.600001,,225.300003,,,-130.899994,,153.099995,247.500004,,247.500004,427.100005,
09/30/1992,453.899994,66.800003,66.800003,,88.400002,,,,,,,,,21.0,,,,,176.199997,70.5,,,,207.199997,,,,,207.199997,277.699997,,35.700001,35.700001,,,,,,,,,,55.600002,,,,55.600002,91.300003,85.0,,,,,7.5,,,,,,7.5,92.5,183.800003,,225.300003,,,-130.899994,,175.699993,270.100002,,270.100002,453.900005,
12/31/1992,477.399994,33.400002,33.400002,,82.900002,,,,,,,,,63.299999,,,,,179.600006,84.5,136.0,-51.5,,213.300003,,,,,213.300003,297.800003,,38.5,38.5,,,,,,,,,,109.100006,,,,109.100006,147.600006,84.599998,,,,,32.700001,,,,,,32.700001,117.299999,264.900005,,226.899994,,,-131.899994,,117.499994,212.499994,,212.499994,477.399999,
03/31/1993,481.200012,52.599998,52.599998,0.0,97.599998,,,,0.0,,,,,37.0,,,,,187.199997,82.099998,,,,211.899994,,,,,211.899994,293.999992,,38.200001,38.200001,,,,0.0,,,,,,91.699993,,,,91.699993,129.899994,109.599998,,,,,29.0,,,,,,29.0,138.599998,268.499992,,226.899994,,,-157.899994,,143.699994,212.699994,,212.699994,481.199986,
06/30/1993,497.299988,37.599998,37.599998,0.0,102.800003,,,,,,,,,26.4,,,,,166.800003,82.199997,,,0.0,248.300003,,,,,248.300003,330.5,,37.400002,37.400002,,,,,,,,,,89.799995,,,,89.799995,127.199997,174.699997,,,,,25.299999,,,,,,25.299999,199.999996,327.199993,0.0,226.899994,,,-226.600006,,169.800007,170.099995,0.0,170.099995,497.299988,
09/30/1993,532.599976,18.700001,18.700001,0.0,116.699997,,,,,,,,,40.099998,,,,,175.5,85.699997,,,0.0,271.399994,,,,,271.399994,357.099991,,39.599998,39.599998,,,,,,,,,,82.900002,,,,82.900002,122.5,224.699997,,,,,14.8,,,,,,14.8,239.499997,361.999997,0.0,226.899994,,,-257.399994,,201.099995,170.599995,0.0,170.599995,532.599992,
12/31/1993,585.5,12.3,12.3,0.0,119.0,,,,,,,,,52.0,,,,,183.300003,100.099998,171.5,-71.400002,0.0,302.100006,,,,,302.100006,402.200004,,36.900002,36.900002,,,,0.0,,,,,,84.0,,,,84.0,120.900002,287.700012,,,,,36.099998,,,,,,36.099998,323.80001,444.700012,0.0,227.300003,,,-286.100006,,199.600006,140.800003,0.0,140.800003,585.500015,
03/31/1994,632.400024,29.4,29.4,0.0,139.399994,,,,,,,,,47.599998,,,,,216.399994,105.599998,,,0.0,310.399994,,,,,310.399994,415.999992,,38.400002,38.400002,,,,,,,,,,85.599998,,,,85.599998,124.0,333.799988,,,,,32.5,,,,,,32.5,366.299988,490.299988,0.0,227.300003,,,-286.100006,,200.900009,142.100006,0.0,142.100006,632.399994,
06/30/1994,1016.700012,27.1,27.1,0.0,198.199997,,,,,,,,,80.0,,,,,305.299988,133.600006,,,0.0,577.799988,,,,,577.799988,711.399994,,45.900002,45.900002,,,,30.0,,,,,,120.599998,,,,120.599998,196.5,562.799988,,,,,101.599998,,,,,,101.599998,664.399986,860.899986,0.0,154.399994,,,0.0,,1.4,155.799994,0.0,155.799994,1016.69998,
