Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Property Additions,Property Improvements,Change in Investments,Change in Notes,Change in Mortgages,Change in Real Estate Interest,Other Investing Activities,Cash from Investing Activities,Cash from Financing Activities,Dividends Paid,Preferred Dividends Other Distributions,Proceeds from Repayments of Borrowings,Change in Secured Debt,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/1998,0.06,0.359,1.755,0.301,-2.355,,0.0,,-15.489,,,,,,-15.489,15.544,,,15.544,15.544,0.0,,0.0,0.115,
03/31/2002,-8.003,-71.771,,85.655,-21.887,,0.0,0.0,-83.251,-9.652,0.0,0.0,0.0,2.054,-90.849,92.458,,,45.886,45.886,,,46.572,-6.394,
06/30/2002,40.475,-101.168,,102.115,39.528,,20.029,0.0,-48.014,-11.999,0.0,0.0,0.0,-12.789,-52.773,12.205,,,11.266,11.266,,,0.939,-0.093,
09/30/2002,2.667,-353.877,,363.53,-6.986,,19.697,0.0,-24.591,0.0,0.0,,,-6.03,-10.924,43.646,,,-3.824,-3.824,,,47.47,35.389,
12/31/2002,70.01,-615.063,,671.693,13.38,,,-39.726,-24.641,29.319,5.068,0.0,0.0,69.269,39.289,-46.867,,,-41.598,-41.598,,,-5.269,62.432,
03/31/2003,7.059,-91.623,,112.283,-13.601,,0.0,0.0,-18.821,1.205,0.0,0.0,0.0,41.633,24.017,-56.957,,,179.289,179.289,,,-236.246,-25.881,
06/30/2003,43.528,-107.715,,152.821,-1.578,,0.0,0.0,-13.87,-0.57,0.0,0.0,0.0,-5.412,-19.852,-17.49,,,-41.204,-41.204,,,23.714,6.186,
09/30/2003,29.438,-52.862,,103.151,-20.851,,0.0,0.0,-13.243,-10.683,0.0,0.0,0.0,-37.915,-61.841,-9.063,,,-34.446,-34.446,,,25.383,-41.466,
12/31/2003,76.361,-73.121,,134.766,14.716,,0.0,0.0,-15.674,-6.305,6.946,0.0,0.0,16.699,1.666,-38.693,,,-143.211,-143.211,,,104.518,39.334,
03/31/2004,31.716,-48.238,,102.72,-22.766,,0.0,0.0,-10.832,-2.586,0.0,0.0,0.0,7.445,-5.973,-32.51,,,-82.704,-82.704,4.271,,45.923,-6.767,
