Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/29/1989,2826.0,,,-2058.0,,768.0,,-640.0,,,,,128.0,-62.0,,62.0,,,,66.0,-26.0,40.0,0.0,,,40.0,0.0,40.0,0.0,,40.0,40.0,,932.399963,0.0425,0.0425,,932.399963,0.0425,0.0425,0.0425,
07/29/1989,3097.0,,,-2265.0,,832.0,,-675.0,,,,,157.0,-66.0,,66.0,,,,91.0,-35.0,56.0,0.0,,,56.0,0.0,56.0,0.0,,56.0,56.0,,932.399963,0.06,0.06,,932.399963,0.06,0.06,0.06,
10/28/1989,3236.0,,,-2369.0,,867.0,,-692.0,,,,,175.0,-68.0,,68.0,,,,107.0,-43.0,64.0,0.0,,,64.0,0.0,64.0,0.0,,64.0,64.0,,930.0,0.069167,0.069167,,930.0,0.069167,0.069167,0.069167,
02/03/1990,4485.0,,,-3198.0,,1287.0,,-802.0,,,,,485.0,-71.0,,77.0,,,-6.0,414.0,-164.0,250.0,0.0,,,250.0,0.0,250.0,0.0,,250.0,250.0,,906.0,0.275833,0.275833,,906.0,0.275833,0.275833,0.275833,
05/05/1990,3007.0,,,-2167.0,,840.0,,-686.0,,,,,154.0,-61.0,,61.0,,,,93.0,-35.0,58.0,-6.0,,,64.0,0.0,64.0,-6.0,,58.0,58.0,,855.600037,0.0675,0.060833,,855.600037,0.0675,0.060833,0.060833,
08/04/1990,3242.0,,,-2359.0,,883.0,,-712.0,,,,,171.0,-75.0,,75.0,,,,96.0,-37.0,59.0,0.0,,,59.0,0.0,59.0,-5.0,,54.0,54.0,,855.600037,0.0625,0.0625,,855.600037,0.0625,0.0625,0.0625,
11/03/1990,3625.0,,,-2618.0,,1007.0,,-819.0,,,,,188.0,-95.0,,95.0,,,,93.0,-35.0,58.0,0.0,,,58.0,0.0,58.0,-7.0,,51.0,51.0,,854.399963,0.06,0.06,,854.399963,0.06,0.06,0.06,
02/02/1991,4865.0,,,-3508.0,,1357.0,,-886.0,,,,,471.0,-94.0,,106.0,,,-12.0,377.0,-142.0,235.0,4.0,,,231.0,0.0,231.0,-6.0,,225.0,225.0,,854.399964,0.263333,0.268333,0.268333,854.399964,0.263333,0.268333,0.268333,
05/04/1991,3349.0,,,-2420.0,,929.0,,-781.0,,,,,148.0,-94.0,,94.0,,,,54.0,-20.0,34.0,0.0,,,34.0,0.0,34.0,-6.0,,28.0,28.0,,858.0,0.0325,0.0325,,858.0,0.0325,0.0325,0.0325,
08/03/1991,3562.0,,,-2598.0,,964.0,,-806.0,,,,,158.0,-94.0,,94.0,,,,64.0,-24.0,40.0,0.0,,,40.0,0.0,40.0,-6.0,,34.0,34.0,,858.0,0.039167,0.039167,,858.0,0.039167,0.039167,0.039167,
11/02/1991,3955.0,,,-2913.0,,1042.0,,-884.0,,,,,158.0,-103.0,,103.0,,,,55.0,-20.0,35.0,0.0,,,35.0,0.0,35.0,-6.0,,29.0,29.0,,858.0,0.033333,0.033333,,858.0,0.033333,0.033333,0.033333,
02/01/1992,5249.0,,,-3820.0,,1429.0,,-1023.0,,,,,406.0,-107.0,,109.0,,,-2.0,299.0,-107.0,192.0,0.0,,,192.0,0.0,192.0,-6.0,,186.0,186.0,,856.800024,0.216667,0.216667,0.216667,856.800024,0.216667,0.216667,0.216667,
05/02/1992,3719.0,,,-2710.0,,1009.0,,-845.0,,,,,164.0,-108.0,,108.0,,,,56.0,-21.0,35.0,0.0,,,35.0,0.0,35.0,-6.0,,29.0,29.0,,858.0,0.033333,0.033333,,858.0,0.033333,0.033333,0.033333,
08/01/1992,3967.0,,,-2899.0,,1068.0,,-893.0,,,,,175.0,-107.0,,107.0,,,,68.0,-26.0,42.0,0.0,,,42.0,0.0,42.0,-6.0,,36.0,36.0,,859.199982,0.0425,0.0425,,859.199982,0.0425,0.0425,0.0425,
10/31/1992,4340.0,,,-3189.0,,1151.0,,-949.0,,,,,202.0,-111.0,,111.0,,,,91.0,-34.0,57.0,0.0,,,57.0,0.0,57.0,-6.0,,51.0,51.0,,859.199982,0.06,0.06,,859.199982,0.06,0.06,0.06,
01/30/1993,5901.0,,,-4331.0,,1570.0,,-1063.0,,,,,507.0,-111.0,,114.0,,,-3.0,396.0,-147.0,249.0,0.0,,,249.0,0.0,249.0,-6.0,,243.0,243.0,,860.399963,0.2825,0.2825,,860.399963,0.2825,0.2825,0.2825,
05/01/1993,4040.0,,,-2973.0,,1067.0,,-907.0,,,,,160.0,-112.0,,112.0,,,,48.0,-18.0,30.0,0.0,,,30.0,0.0,30.0,-5.0,,25.0,25.0,,861.600037,0.029167,0.029167,,861.600037,0.029167,0.029167,0.029167,
07/31/1993,4287.0,,,-3180.0,,1107.0,,-956.0,,,,,151.0,-113.0,,113.0,,,,38.0,-14.0,24.0,0.0,,,24.0,0.0,24.0,-4.0,,20.0,20.0,,860.399963,0.023333,0.023333,,860.399963,0.023333,0.023333,0.023333,
10/30/1993,4625.0,,,-3417.0,,1208.0,,-1021.0,,,,,187.0,-112.0,,112.0,,,,75.0,-32.0,43.0,0.0,,,43.0,0.0,43.0,-4.0,,39.0,39.0,,861.600037,0.045,0.045,,861.600037,0.045,0.045,0.045,
01/29/1994,6281.0,,,-4594.0,,1687.0,,-789.0,,,,,898.0,-452.0,,109.0,,0.0,343.0,446.0,-168.0,278.0,0.0,,,278.0,0.0,278.0,-2.0,,276.0,276.0,,861.600036,0.3175,0.3175,0.3175,861.600036,0.3175,0.3175,0.3175,
04/30/1994,4465.0,,,-3253.0,,1212.0,,-949.0,,,,,263.0,-199.0,,106.0,,,93.0,64.0,-25.0,39.0,0.0,,,39.0,0.0,39.0,-5.0,,34.0,34.0,,862.800018,0.04,0.04,,862.800018,0.04,0.04,0.04,
07/30/1994,4802.0,,,-3519.0,,1283.0,,-1005.0,,,,,278.0,-197.0,,105.0,,0.0,92.0,81.0,-32.0,49.0,0.0,,,49.0,0.0,49.0,0.0,,49.0,49.0,,864.0,0.051667,0.051667,,915.600037,0.050833,0.050833,0.050833,
10/29/1994,5046.0,,,-3695.0,,1351.0,,-1046.0,,,,,305.0,-196.0,,108.0,,0.0,88.0,109.0,-42.0,67.0,0.0,,,67.0,0.0,67.0,0.0,,67.0,67.0,,864.0,0.071667,0.071667,,864.0,0.071667,0.071667,0.071667,
01/28/1995,6998.0,,,-5169.0,,1829.0,,-1162.0,,,,,667.0,-207.0,,107.0,,0.0,100.0,460.0,-181.0,279.0,0.0,,,279.0,0.0,279.0,-13.4,,265.6,265.6,,864.0,0.3175,0.3175,0.3175,864.0,0.3175,0.3175,0.3175,
04/29/1995,4757.0,,,-3504.0,,1253.0,,-1033.0,,,,,220.0,-202.0,,107.0,,0.0,95.0,18.0,-7.0,11.0,0.0,,,11.0,0.0,11.0,-4.0,,7.0,7.0,,865.199976,0.008333,0.008333,0.008333,865.199976,0.008333,0.008333,0.008333,
07/29/1995,5236.0,,,-3896.0,,1340.0,,-1084.0,,,,,256.0,-209.0,,108.0,,0.0,101.0,47.0,-19.0,28.0,0.0,,,28.0,0.0,28.0,-5.0,,23.0,23.0,,867.600037,0.026667,0.026667,,867.600037,0.026667,0.026667,0.026667,
10/28/1995,5573.0,,,-4113.0,,1460.0,,-1175.0,,,,,285.0,-214.0,,111.0,,0.0,103.0,71.0,-27.0,44.0,0.0,,,44.0,0.0,44.0,-5.0,,39.0,39.0,,868.800018,0.045,0.045,,868.800018,0.045,0.045,0.045,
02/03/1996,7950.0,,,-6014.0,,1936.0,,-1345.0,,,,,591.0,-226.0,,116.0,,0.0,110.0,365.0,-137.0,228.0,0.0,,,228.0,0.0,228.0,-5.0,,223.0,223.0,,868.800024,0.256667,0.256667,0.256667,868.800024,0.256667,0.256667,0.256667,
05/04/1996,5380.0,,,-3949.0,,1431.0,,-1252.0,,,,,179.0,-109.0,109.0,109.0,,0.0,0.0,70.0,-28.0,42.0,1.0,,,41.0,0.0,41.0,-5.0,,36.0,36.0,,871.199976,0.041667,0.04,0.04,871.199976,0.040833,0.04,0.04,
08/03/1996,5751.0,,,-4197.0,,1554.0,,-1276.0,,,,,278.0,-111.0,,111.0,,0.0,0.0,167.0,-66.0,101.0,0.0,,,101.0,0.0,101.0,-5.0,,96.0,96.0,,874.799988,0.11,0.11,0.11,922.400024,0.105,0.105,0.105,
