Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/01/1990,1501.439941,278.669006,227.018005,51.651001,161.996994,,,19.308001,,,,,35.300999,,,,,,,495.274994,372.358002,668.862976,-296.505005,0.0,,633.807007,,,,,,633.807007,1006.165009,,172.647995,172.647995,,,,25.122999,,,,,,125.467012,,,,125.467012,323.238007,127.042999,,,,,165.973999,,,165.973999,293.016998,616.255005,0.0,36.610001,,,-398.69101,,1247.266022,885.185013,0.0,885.185013,1501.440018,
07/01/1990,1458.422974,232.677006,211.199005,21.478001,162.348999,,,16.118,,,,,33.397999,,,,,,,444.541992,380.589996,689.356995,-308.766998,0.0,,633.291016,,,,,,633.291016,1013.881012,,170.503006,170.503006,,,,25.122999,,,,,,82.888002,,,,82.888002,278.514008,127.025002,,,,,161.548996,,,161.548996,288.573997,567.088005,0.0,36.594002,,,-448.855988,,1303.597015,891.33503,0.0,891.33503,1458.423035,
09/30/1990,1458.036011,233.019993,187.621994,45.397999,149.384003,,,23.042999,,,,,38.07,,,,,,,443.516998,386.239014,707.27002,-321.031006,0.0,,628.280029,,,,,,628.280029,1014.519043,,182.048996,182.048996,,,,25.0,,,,,,93.37001,,,,93.37001,300.419006,127.005997,,,,,161.835007,,,161.835007,288.841003,589.26001,0.0,36.596001,,,-485.675995,,1317.855988,868.775993,0.0,868.775993,1458.036003,
12/30/1990,1496.509033,276.516999,171.132996,105.384003,121.991997,,,25.202,,,,,47.958,,,,,,,471.669006,394.979004,726.669983,-331.69101,0.0,,629.861023,,,,,,629.861023,1024.840027,,175.386993,175.386993,,,,25.0,,,,,,95.475007,,,,95.475007,295.862,126.987999,,,,,168.546997,,,168.546997,295.534996,591.396996,0.0,36.640999,,,-491.154999,,1359.626007,905.112007,0.0,905.112007,1496.509003,
03/31/1991,1457.219971,254.026993,176.274994,77.751999,125.740997,,,21.414,,,,,37.709,,,,,,,438.890991,393.638,737.607971,-343.970001,0.0,,624.690979,,,,,,624.690979,1018.328979,,152.257996,152.257996,,,,25.0,,,,,,115.032013,,,,115.032013,292.290009,101.970001,,,,,166.585007,,,166.585007,268.555008,560.845016,0.0,38.84,,,-490.196014,,1347.730988,896.374973,0.0,896.374973,1457.21999,
06/30/1991,1497.287964,272.816006,217.751007,55.064999,141.951004,,,21.211,,,,,34.228001,,,,,,,470.205994,397.39801,755.223022,-357.825012,0.0,,629.684021,,,,,,629.684021,1027.082031,,172.188004,172.188004,,,,25.0,,,,,,95.05101,,,,95.05101,292.239014,101.950996,,,,,172.298996,,,172.298996,274.249992,566.489006,0.0,38.627998,,,-490.260986,,1382.432007,930.799019,0.0,930.799019,1497.288025,
09/29/1991,1511.584961,295.26001,154.102005,141.158005,136.339005,,,21.287001,,,,,37.245998,,,,,,,490.131989,393.985992,760.567993,-366.582001,0.0,,627.46698,,,,,,627.46698,1021.452972,,169.604996,169.604996,,,,25.0,,,,,,106.129013,,,,106.129013,300.734009,101.932999,,,,,174.690002,,,174.690002,276.623001,577.35701,0.0,38.675999,,,-490.260986,,1385.812988,934.228001,0.0,934.228001,1511.585011,
12/29/1991,1487.661011,280.360009,106.122002,174.238007,131.294006,,,19.563,,,,,41.001999,,,,,,,472.218994,390.312988,764.76001,-374.446991,0.0,,625.129028,,,,,,625.129028,1015.442016,,160.966995,160.966995,,,,25.0,,,,,,102.293015,,,,102.293015,288.26001,51.915001,,,,,223.201004,,,223.201004,275.116005,563.376015,0.0,38.724998,,,-497.717987,,1383.277985,924.284996,0.0,924.284996,1487.661011,
03/29/1992,1450.376953,248.242996,73.889999,174.352997,140.453995,,,20.516001,,,,,32.051998,,,,,,,441.265015,386.343994,772.973022,-386.628998,0.0,,622.768005,,,,,,622.768005,1009.112,,143.494003,143.494003,,,,0.0,,,,,,113.98201,,,,113.98201,257.476013,51.896,,,,,222.274994,,,222.274994,274.170994,531.647007,0.0,38.752998,,,-497.72699,,1377.703979,918.729988,0.0,918.729988,1450.376995,
06/28/1992,1498.217041,290.584,75.363998,215.220001,151.647003,,,16.474001,,,,,28.384001,,,,,,,487.088989,389.095001,786.224976,-397.130005,0.0,,622.03302,,,,,,622.03302,1011.128021,,161.054001,161.054001,,,,0.0,,,,,,97.169998,,,,97.169998,258.223999,53.334,,,,,219.718002,,,219.718002,273.052002,531.276001,0.0,38.691002,,,-497.747986,,1425.997986,966.941002,0.0,966.941002,1498.217003,
