Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,1722.453979,18.659,3.407,15.252,24.580999,,,0.0,,,,,23.599001,,,,,66.838997,518.19397,,,1.6,,,1135.821045,,,,,1135.821045,1655.615015,,35.355999,35.355999,,,,0.0,,,,,113.181995,,,,113.181995,148.537994,2050.739014,,,,0.0,,,0.0,2050.739014,2199.277008,26.096001,-13.888,,,0.0,,-489.031006,-476.823005,0.0,-476.823005,1722.454003,
06/30/1990,1697.936035,26.322,11.07,15.252,29.815001,,,0.0,,,,,15.027,,,,,71.164001,523.036987,,,2.5,,,1101.234985,,,,,1101.234985,1626.771973,,36.358002,36.358002,,,,0.0,,,,,107.957001,,,,107.957001,144.315002,2097.783936,,,,0.0,,,0.0,2097.783936,2242.098938,26.879,-13.491,,,0.0,,-557.551025,-544.163026,0.0,-544.163026,1697.935912,
09/30/1990,1670.965942,30.948999,15.697,15.252,33.662998,,,0.0,,,,,12.338,,,,,76.949997,521.159973,,,3.213,,,1069.642944,,,,,1069.642944,1594.015918,,42.252998,42.252998,,,,0.0,,,,,123.280998,,,,123.280998,165.533997,2124.364014,,,,0.0,,,0.0,2124.364014,2289.89801,27.686001,-13.283,,,0.0,,-633.335022,-618.932021,0.0,-618.932021,1670.965989,
12/31/1990,1641.612061,20.254,5.002,15.252,39.167999,,,0.0,,,,,10.544,,,,,69.966003,525.893982,834.413025,-308.519012,1.343,,,1044.409058,,,,,1044.409058,1571.64604,,47.883999,47.883999,,,,26.538,,,,,70.848005,,,,70.848005,145.270004,2170.274902,,,,0.0,,,0.0,2170.274902,2315.544906,28.516001,-13.182,,,0.0,,-689.267029,-673.933028,0.0,-673.933028,1641.611878,
03/31/1991,1578.515015,16.73,13.114,3.616,26.743,,,0.0,,,,,9.452,,,,,52.924999,516.312988,,,1.796,,,1007.481018,,,,,1007.481018,1525.590006,,50.113998,50.113998,,,,0.0,,,,,86.828003,,,,86.828003,136.942001,2167.157959,,,,0.0,,,0.0,2167.157959,2304.09996,29.372,-12.537,,,0.0,,-742.419983,-725.584983,0.0,-725.584983,1578.514977,
06/30/1991,1539.021973,15.205,11.59,3.615,31.67,,,0.0,,,,,8.54,,,,,55.415001,511.833008,,,1.633,,,970.140991,,,,,970.140991,1483.606999,,48.786999,48.786999,,,,0.0,,,,,90.817005,,,,90.817005,139.604004,2180.754883,,,,0.0,,,0.0,2180.754883,2320.358887,30.253,-12.247,,,0.0,,-799.343018,-781.337017,0.0,-781.337017,1539.02187,
09/30/1991,1502.411011,7.726,4.111,3.615,36.889999,,,0.0,,,,,12.384,,,,,57.0,507.888,,,1.138,,,936.38501,,,,,936.38501,1445.41101,,46.122002,46.122002,,,,0.0,,,,,101.527,,,,101.527,147.649002,2187.049072,,,,0.0,,,0.0,2187.049072,2334.698074,31.16,-12.006,,,0.0,,-851.440979,-832.286979,0.0,-832.286979,1502.411096,
12/31/1991,1475.671997,6.254,2.639,3.615,41.089001,,,0.0,,,,,10.943,,,,,58.285999,508.558014,903.541992,-394.984009,2.04,,,906.788025,,,,,906.788025,1417.386039,,48.376999,48.376999,,,,27.473,,,,,89.099998,,,,89.099998,164.949997,2211.055908,,,,0.0,,,0.0,2211.055908,2376.005905,32.095001,-11.499,,,0.0,,-920.929993,-900.333992,0.0,-900.333992,1475.671913,
03/31/1992,1446.80603,10.262,6.647,3.615,38.287998,,,0.0,,,,,13.891,,,,,62.441002,500.136993,,,2.054,,,882.174011,,,,,882.174011,1384.365005,,52.154999,52.154999,,,,0.0,,,,,97.800003,,,,97.800003,149.955002,2248.5,,,,0.0,,,0.0,2248.5,2398.455002,33.057999,-11.024,,,0.0,,-973.682983,-951.648985,0.0,-951.648985,1446.806017,
06/30/1992,1432.860962,10.86,10.608,0.252,55.316002,,,0.0,,,,,11.862,,,,,78.038002,504.277008,,,2.07,,,848.476013,,,,,848.476013,1354.823021,,55.877998,55.877998,,,,0.0,,,,,152.732002,,,,152.732002,208.610001,2184.462891,,,,0.0,,,0.0,2184.462891,2393.072891,0.001,-11.149,,,0.0,,-1056.78894,-1067.936941,107.724998,-960.211942,1432.860949,
09/30/1992,1214.178955,35.806001,35.554001,0.252,35.806999,,,12.45,,,,,11.842,,,,,95.904999,510.109009,,,2.148,,,606.017029,,,,,606.017029,1118.274038,,61.881001,61.881001,,,,0.0,,,,,172.648998,,,,172.648998,234.529999,1901.381958,,,,236.854004,,,236.854004,2138.235962,2372.765961,0.001,-52.168999,,,0.0,,-1106.418945,-1158.586944,0.0,-1158.586944,1214.179017,
12/31/1992,1251.156982,3.473,2.721,0.752,42.287998,,,0.0,,,,,10.831,,,,,56.591999,529.151001,959.393005,-430.242004,2.173,,,663.241028,,,,,663.241028,1194.565029,,72.946999,72.946999,,,,20.02,,,,,149.307003,,,,149.307003,242.274002,2004.452026,,,,251.679001,,,251.679001,2256.131027,2498.405029,0.001,-77.931,,,0.0,,-1172.317993,-1250.247993,3.0,-1247.247993,1251.157036,
03/31/1993,1241.800049,7.935,7.183,0.752,41.408001,,,0.0,,,,,17.143,,,,,66.486,543.731995,656.35498,-112.623001,77.310997,,,554.270996,,,,,554.270996,1175.313988,,68.489998,68.489998,,,,0.0,,,,,135.918007,,,,135.918007,204.408005,2072.533936,,,,268.68399,,,268.68399,2341.217926,2545.625931,0.001,-75.377998,,,0.0,,-1228.448975,-1303.825973,0.0,-1303.825973,1241.799958,
06/30/1993,1306.894043,72.460999,71.625999,0.835,46.813999,,,0.0,,,,,15.782,,,,,135.057007,567.799988,,,0.0,,,604.036987,,,,,604.036987,1171.836975,,79.165001,79.165001,,,,0.0,,,,,134.627007,,,,134.627007,213.792007,2151.600098,,,,293.779999,,,293.779999,2445.380096,2659.172104,0.001,-75.043999,,,0.0,,-1277.234985,-1352.277984,0.0,-1352.277984,1306.89412,
09/30/1993,1324.139038,68.862,68.027,0.835,48.84,,,0.0,,,,,28.596001,,,,,146.298004,599.424988,,,1.734,,,576.682007,,,,,576.682007,1177.840995,,89.594002,89.594002,,,,0.0,,,,,157.152992,,,,157.152992,246.746994,2191.625977,,,,290.350006,,,290.350006,2481.975983,2728.722977,0.001,-71.480003,,,0.0,,-1333.10498,-1404.583984,0.0,-1404.583984,1324.138993,
