Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non-Cash Adjustments,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch in Operating Loans,Accrued Interest Receivable,Accrued Interest Payable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1998,-1865,684.0,771.0,,249,,,,249,-3569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,1142.0,
06/30/1998,2167,719.0,880.0,,403,,,,403,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,1352.0,
09/30/1998,-1219,742.0,916.0,,-87,,,,-87,-2790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588,1178.0,
12/31/1998,-4243,-195.0,183.0,,-240,,,,-240,-3991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343,1402.0,
03/31/1999,8126,884.0,569.0,,-1060,,,,-1060,7733,,,,,,,-5657.0,0.0,0.0,0.0,-3694.0,6094.0,,,,-9788.0,,,,976.0,,,,,,,,-2939.0,-3836.0,-313.0,1886.0,,,,,21.0,242.0,-221.0,-5405.0,-25.0,,-1367.0,494,1156.0,
06/30/1999,3096,931.0,997.0,,1056,,,,1056,112,,,,,,,-5942.0,-721.0,0.0,-721.0,-1289.0,5452.0,,,,-6741.0,,,,-3429.0,,,,,,,,-503.0,4115.0,-339.0,3807.0,,,,,-196.0,130.0,-326.0,852.0,-9.0,,1269.0,123,1264.0,
09/30/1999,1799,962.0,696.0,,-166,,,,-166,307,,,,,,,-3411.0,0.0,0.0,0.0,-761.0,1918.0,,,,-2679.0,,,,-2936.0,,,,,,,,286.0,990.0,-338.0,2743.0,,,,,-14.0,216.0,-230.0,-1396.0,-5.0,,-622.0,49,1217.0,
12/31/1999,3254,1235.0,-291.0,,1883,,,,1883,427,,,,,,,-8913.0,-10.0,,-10.0,-266.0,10443.0,,,,-10709.0,,,,-7498.0,,,,,,,,-1139.0,6845.0,-446.0,7820.0,,,,,-1424.0,,-1424.0,1081.0,-186.0,,1186.0,356,2218.0,
03/31/2000,5833,1040.0,421.0,276.0,62,,,,62,4034,,,,,,,-6051.0,,,,877.0,8621.0,,,,-7744.0,,,,-5440.0,,,,,,,,-1488.0,-897.0,-390.0,-5976.0,,,,,-1152.0,78.0,-1230.0,6629.0,-8.0,,-1115.0,5,1742.0,
06/30/2000,-2851,1037.0,376.0,275.0,-531,,,,-531,-4008,,,,,,,-4098.0,,,,5492.0,7290.0,,,,-1798.0,,,,-8111.0,,,,,,,,-1479.0,9122.0,-385.0,6230.0,,,,,-1046.0,124.0,-1170.0,4336.0,-13.0,,2173.0,285,94.0,
