Date,Price/T12M FFO per Share,Average,High,Low,Price/T12M Sales per Share,Price/T12M EBITDA per Share,P/Sales,P/Book,Price/Cash Flow per Share,Price/Free Cash Flow per Share,Source: Bloomberg
03/26/1999,,,,,,,,1.943246,,,
06/18/1999,,,,,,,,2.073248,,,
09/10/1999,,,,,,,,1.572106,,,
12/31/1999,,,,,,,,1.408613,,,
03/24/2000,5.245573,,,,2.037742,3.603644,2.037742,1.673006,5.240921,,
06/16/2000,5.569262,,,,2.26634,4.084841,2.26634,2.019357,4.967915,,
09/08/2000,5.93645,,,,2.425774,4.33475,2.425774,2.284681,4.904768,,
12/31/2000,6.696765,,,,1.996008,3.001396,1.996008,2.337199,5.906701,,
03/23/2001,,,,,1.255455,2.458901,1.255455,2.216221,10.232484,,
06/15/2001,,,,,1.011533,2.330175,1.011533,2.45525,9.499988,,
09/07/2001,,,,,0.813572,2.190201,0.813572,2.46568,11.465112,,
12/31/2001,,,,,0.592553,2.36273,0.592553,1.865197,10.099264,,
03/22/2002,,,,,0.835737,3.40155,0.835737,2.480625,6.511609,,
06/14/2002,,,,,0.834248,3.48247,0.834248,2.324086,8.069866,,
09/06/2002,,,,,0.740301,3.159319,0.740301,2.096215,7.17128,,
12/31/2002,,,,,0.642255,2.751714,0.642255,1.858077,5.854877,,
03/28/2003,5.492063,,,,0.504186,2.229228,0.504186,1.49905,5.205952,,
06/20/2003,9.766667,,,,0.657993,3.03685,0.657993,1.92827,7.480025,,
09/12/2003,13.144737,,,,0.766906,3.662907,0.766906,2.164134,11.01387,,
12/31/2003,13.247312,,,,1.005558,5.049666,1.005558,2.195935,9.712999,,
03/26/2004,13.472527,,,,1.035659,5.215619,1.035659,2.263385,9.165691,,
06/18/2004,,,,,1.058949,5.244303,1.058949,2.084891,10.567006,,
09/10/2004,,,,,1.230741,6.034959,1.230741,2.39816,10.533398,,
12/31/2004,,,,,1.624933,7.731775,1.624933,2.953946,16.357286,,
03/25/2005,,,,,1.590531,7.495751,1.590531,2.863684,15.32145,,
06/17/2005,23.743243,,,,1.722171,7.879462,1.722171,2.981832,15.213227,,
09/09/2005,20.287356,40.228914,40.228914,40.228914,1.720392,7.003808,1.720392,2.999396,13.281616,40.228914,
12/31/2005,16.478261,39.536649,43.055194,36.901196,1.77432,7.139121,1.77432,3.143819,13.022178,40.113929,
03/24/2006,17.154471,42.219041,44.982638,40.113929,1.984651,7.847425,1.984651,3.099263,13.325785,,
06/16/2006,,,,,2.062663,7.982389,2.062663,2.171226,12.15839,,
09/08/2006,,,,,2.229646,9.098871,2.229646,2.295091,12.364362,,
12/31/2006,,,,,2.449369,9.749187,2.449369,2.497658,13.739274,,
03/23/2007,,,,,2.738516,10.142855,2.738516,2.692674,15.316466,,
06/15/2007,14.7199,,,,2.377625,8.76305,2.377625,2.379696,13.63755,,
09/07/2007,12.411515,,,,2.096776,7.645279,2.096776,2.088615,11.858402,,
12/31/2007,8.921466,,,,1.641497,5.789407,1.641497,1.675924,8.881074,,
03/21/2008,8.35567,19.130819,19.130819,19.130819,1.557002,5.538854,1.557002,1.588055,7.628747,19.130819,
06/13/2008,7.736318,20.274956,22.140294,18.033246,1.490519,5.000745,1.490519,1.478319,7.229178,19.081029,
09/05/2008,7.381443,16.646856,21.196924,13.669624,1.386581,4.43015,1.386581,1.377066,7.109254,21.196924,
12/31/2008,4.401163,14.110868,25.163946,7.489974,0.762148,2.330598,0.762148,0.724321,10.221396,,
03/27/2009,2.852349,,,,0.44457,1.427291,0.44457,0.411401,8.011262,,
06/19/2009,7.226415,,,,0.878344,2.994947,0.878344,0.78709,21.501997,,
09/11/2009,12.267442,,,,1.315876,4.987061,1.315876,1.095066,452.79014,,
12/31/2009,23.23332,25.737535,25.737535,25.737535,1.676561,8.078293,1.676561,1.23868,12.534689,25.737535,
03/26/2010,30.126049,26.674735,32.06716,23.377709,2.203238,11.375244,2.203238,1.5783,18.625931,31.685648,
06/18/2010,25.961116,32.656957,36.764033,28.686923,2.369505,13.479808,2.369505,1.678599,18.989039,28.686923,
09/10/2010,23.683333,25.913583,28.427982,23.730059,2.145531,12.032085,2.145531,1.538717,17.915134,24.959297,
12/31/2010,26.279412,28.20373,31.370377,24.608005,2.649389,14.398442,2.649389,1.832363,22.593759,,
03/25/2011,24.943662,,,,2.606883,14.322042,2.606883,1.902578,23.001511,,
06/17/2011,20.628205,,,,2.311157,12.378623,2.311157,1.687577,19.413735,,
09/09/2011,12.879518,,,,1.518403,7.92394,1.518403,1.110237,12.657395,,
12/31/2011,16.784091,,,,2.072821,10.455756,2.072821,1.559731,15.543539,,
