Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,EV/Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,Periodic EV to Shares Outstanding,Trailing 12 Month Values for Ratios,Source: Bloomberg
03/31/1990,3330.12858,-187.199997,7.1,0,2280.800003,5430.828586,4405.899942,51.76695,0.419973,,,,,,,36.897223,,
06/30/1990,3543.058829,-94.0,7.1,0,2305.099945,5761.258774,4480.299982,51.449679,0.400104,,,,,,,39.12729,,
09/29/1990,2319.565533,-114.0,7.1,0,2444.0,4656.665533,4687.10003,52.143116,0.524839,0.888371,,,,,,31.61906,,
12/29/1990,2789.03925,-114.199997,7.1,0,2788.899902,5470.839155,4971.299951,56.100013,0.509776,1.021384,6.854829,12.098273,9.429131,2789.020199,5470.820104,37.146848,,
03/31/1991,2966.062826,-85.900002,7.1,0,2881.800095,5769.062919,5094.300058,56.569108,0.499527,1.101071,7.396235,13.532871,,,,39.143605,,
06/30/1991,3078.311094,-74.599998,7.1,0,2708.199905,5719.011001,4859.299936,55.732306,0.473543,1.129168,7.621283,14.65286,,,,38.78242,,
09/29/1991,2838.989918,-72.900002,7.1,0,2540.499954,5313.68987,4689.599924,54.173064,0.478105,1.088559,7.451535,15.014665,,,,36.029903,,
12/29/1991,2534.915488,-184.600006,7.1,0,2491.099945,4848.515427,4479.999933,55.60491,0.513786,1.030656,7.04112,14.447305,,2534.864097,4848.464036,32.874413,,
03/28/1992,3047.838793,-78.199997,7.1,0,2458.500046,5435.238842,4477.200052,54.911552,0.452326,1.139415,7.855527,15.031081,,,,36.780751,,
06/27/1992,2854.657785,-202.699997,7.1,0,2535.099945,5194.157733,4601.799982,55.089312,0.488068,1.059578,7.43616,13.50184,,,,35.139824,,
09/26/1992,2808.54187,-83.699997,7.1,0,2356.199905,5088.141778,4515.899911,52.175645,0.463077,1.008791,7.350682,12.917344,,,,34.421667,,
12/26/1992,2660.760144,-141.699997,7.1,0,2285.899979,4812.060126,4310.799936,53.027281,0.475036,0.945154,6.85674,11.713876,8.489283,2660.400072,4811.700054,32.55351,,
03/27/1993,2719.610189,-80.0,7.1,0,2325.900085,4972.610275,4342.600122,53.56008,0.467742,1.054748,7.696943,14.270656,9.137219,,,33.597357,,
06/26/1993,2442.297089,-91.0,7.1,0,2397.799957,4756.197046,4441.099939,53.991128,0.504142,1.089921,7.852397,15.527904,10.230488,,,32.132557,,
09/25/1993,2424.286068,-138.5,7.1,0,2474.199951,4767.086019,4475.999902,55.277033,0.519017,1.204327,8.155138,16.5956,12.761543,,,32.199597,,
12/31/1993,3044.483709,-133.600006,7.1,0,2546.399948,5464.383651,4122.099893,61.774339,0.465999,1.524278,9.69206,20.737699,,3043.25,5463.149942,36.90655,,
03/26/1994,3216.329384,-101.599998,7.1,0,2585.0,5706.829385,4181.700037,61.816964,0.452966,1.609689,9.894806,20.458252,,,,38.369884,,
06/30/1994,3900.096632,-101.699997,7.1,0,2621.300095,6426.79673,4263.600107,61.480909,0.40787,1.81954,10.540916,20.954668,,,,43.050232,,
09/24/1994,4606.551228,-106.099998,7.1,0,2626.200096,7133.751325,4342.100053,60.482257,0.368137,2.023759,10.97247,20.819353,,,,47.426181,,
12/31/1994,5225.504459,-1114.0,7.1,0,1857.899963,5976.504423,3610.299921,51.461098,0.310867,1.668948,8.551301,15.379579,20.537315,,,39.529759,,
04/01/1995,6738.813255,-158.800003,7.1,0,1219.800003,7806.913255,3025.499979,40.317303,0.156246,2.078739,10.170549,16.432148,616.964417,,,51.553237,,
07/01/1995,7506.773643,-210.300003,7.1,0,1258.50005,8562.07369,3189.900037,39.452649,0.146985,2.196079,10.455579,15.525066,-145.294704,,,56.458696,,
09/30/1995,7381.215118,-196.399994,7.1,0,1229.500023,8421.415147,3288.999986,37.382184,0.145997,2.680663,9.402049,12.902429,-203.344864,,,55.334878,,
09/13/2020,,-196.399993896484,7.09999990463257,0,1229.50002288818,,3288.99998617172,37.3821838874277,,,,,,,,55.334877536038,,
