Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 2 Liabilities,Total FV Liabilities,Level 3 Total Gains,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/30/2008,256.019,,,256.019,0.793,0.793,,43.769468,,,43.769468,24.439438,,,24.439438,
06/29/2008,295.427,,,,0.954,,,40.275303,,,,28.609958,,,,
09/28/2008,41.975,,260.076,,1.242,,,5.595346,,34.668618,,4.052725,,25.110575,,
12/28/2008,69.213,,209.685,,4.63,,-11.79,8.851752,,26.816922,,7.135618,,21.61779,,
03/29/2009,242.225,,70.542,312.767,2.942,2.942,,30.714229,,8.944754,39.658983,24.304528,,7.078089,31.382616,
06/28/2009,309.515,1.346,38.883,,56.827,,,38.223101,0.166222,4.801799,,30.13464,0.131048,3.785682,,
09/27/2009,357.637,1.49,38.883,,57.584,57.584,,41.64046,0.173484,4.527233,,33.075673,0.137801,3.596052,,
12/27/2009,400.406,0.783,23.242,424.431,58.356,58.356,,45.370448,0.088723,2.633577,48.092747,35.895496,0.070194,2.083593,38.049283,
03/28/2010,444.917,0.775,18.928,,,,,48.31328,0.084157,2.055381,,38.352566,0.066806,1.631624,,
06/27/2010,455.176,0.265,18.928,474.369,,,,47.512309,0.027661,1.975748,49.515718,37.365096,0.021754,1.553787,38.940637,
09/26/2010,512.633,0.814,18.668,,,,,51.510602,0.081793,1.875806,,40.650025,0.064547,1.480308,,
12/26/2010,508.956,1.311,22.444,532.711,,,,49.859177,0.12843,2.198696,52.186303,33.340364,0.08588,1.470247,34.896492,
03/27/2011,350.922,1.678,,352.6,,,,34.105162,0.16308,,34.268243,26.097763,0.124791,,26.222554,
06/26/2011,379.829,0.814,,380.643,,,,36.363001,0.077928,,36.440929,27.905355,0.059803,,27.965158,
10/02/2011,383.991,,,383.991,3.542,3.542,,35.871286,,,35.871286,28.276402,,,28.276402,
12/31/2011,385.598,,,385.598,,,,35.235925,,,35.235925,27.338922,,,27.338922,
04/01/2012,377.42,2.94,,380.36,,,,34.620384,0.269683,,34.890067,27.138305,0.2114,,27.349705,
07/01/2012,263.946,,,263.946,0.472,0.472,,28.419795,,,28.419795,21.482673,,,21.482673,
09/30/2012,153.737,0.392,,154.129,,,,24.104605,0.061462,,24.166067,16.511242,0.042101,,16.553343,
12/29/2012,153.737,,,153.737,0.0,0.0,,23.69972,,,23.69972,17.09566,,,17.09566,
03/30/2013,222.925,4.24,,227.165,0.066,0.066,,34.482359,0.655849,,35.138208,24.974065,0.475003,,25.449068,
06/29/2013,225.388,2.206,,227.594,0.722,,,35.044881,0.343004,,35.387885,25.130874,0.24597,,25.376844,
09/28/2013,125.748,3.166,,128.914,0.612,0.612,,19.62185,0.494026,,20.115876,14.282485,0.359595,,14.64208,
12/28/2013,125.748,3.166,,128.914,0.612,0.612,,21.428571,0.539514,,21.968086,14.794735,0.372492,,15.167227,
03/29/2014,128.522,0.0,,128.522,0.832,0.832,,21.8223,0.0,,21.8223,16.677112,0.0,,16.677112,
06/28/2014,113.758,25.751,,139.509,0.0,0.0,,19.183215,4.342437,,23.525652,14.555807,3.294947,,17.850754,
09/27/2014,124.907,25.778,,150.685,0.87,0.87,,20.560823,4.243292,,24.804115,14.980361,3.09161,,18.071971,
12/27/2014,135.95,,,135.95,1.907,1.907,,21.700232,,,21.700232,15.642889,,,15.642889,
03/28/2015,134.753,34.914,,169.667,2.241,2.241,,22.184157,5.747832,,27.931989,16.342492,4.234279,,20.576771,
06/27/2015,140.582,39.934,,180.516,0.045,0.045,,24.832632,7.054006,,31.886638,17.049542,4.843127,,21.892669,
09/26/2015,149.969,30.818,,180.787,2.744,2.744,,25.897267,5.32178,,31.219046,18.255419,3.751412,,22.006831,
