Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
08/31/1989,93.061996,,-78.966003,,14.095993,,-12.082,,,,2.014,2.492,,0.0,,0.0,,-2.492,4.506,-1.725,,,2.781,0.0,,,2.781,0.0,2.781,0.0,,2.781,2.781,,11.217,0.25,0.25,,11.217,0.25,0.25,0.25,
11/30/1989,92.567001,,-78.585999,,13.981003,,-12.397,,,,1.584,2.269,,0.0,,0.0,,-2.269,3.853,-1.47,,,2.383,0.0,,,2.383,0.0,2.383,0.0,,2.383,2.383,,11.217,0.21,0.21,,11.217,0.21,0.21,0.21,
02/28/1990,75.081001,,-64.538002,,10.542999,,-10.802,,,,-0.259,2.01,,0.0,,0.0,,-2.01,1.751,-0.675,,,1.076,0.0,,,1.076,0.0,1.076,0.0,,1.076,1.076,,11.217,0.1,0.1,,11.217,0.1,0.1,0.1,
05/31/1990,105.203003,,-88.721001,,16.482002,,-12.952,,,,3.53,2.105,,0.0,,0.0,,-2.105,5.635,-2.145,,,3.49,0.0,,,3.49,0.0,3.49,0.0,,3.49,3.49,,11.217,0.31,0.31,0.31,11.217,0.31,0.31,0.31,
08/31/1990,99.030998,,-84.253998,,14.777,,-13.012,,,,1.765,2.239,,0.0,,0.0,,-2.239,4.004,-1.535,,,2.469,0.0,,,2.469,0.0,2.469,0.0,,2.469,2.469,,11.217,0.22,0.22,,11.217,0.22,0.22,0.22,
11/30/1990,85.455002,,-72.651001,,12.804001,,-12.46,,,,0.344,2.152,,0.0,,0.0,,-2.152,2.496,-0.965,,,1.531,0.0,,,1.531,0.0,1.531,0.0,,1.531,1.531,,11.217,0.14,0.14,,11.217,0.14,0.14,0.14,
02/28/1991,58.09,,-51.519001,,6.570999,,-10.454,,,,-3.883,2.011,,0.0,,0.0,,-2.011,-1.872,0.74,,,-1.132,0.0,,,-1.132,0.0,-1.132,0.0,,-1.132,-1.132,,11.217,-0.1,-0.1,,11.217,-0.1,-0.1,-0.1,
05/31/1991,84.931999,,-72.869003,,12.062996,,-10.028,,,,2.035,1.822,,0.0,,0.0,,-1.822,3.857,-1.495,,,2.362,0.0,,,2.362,0.0,2.362,0.0,,2.362,2.362,,11.217,0.21,0.21,0.21,11.217,0.21,0.21,0.21,
08/31/1991,84.264,,-71.446999,,12.817001,,-11.67,,,,1.147,1.674,,0.0,,0.0,,-1.674,2.821,-1.075,,,1.746,0.0,,,1.746,0.0,1.746,0.0,,1.746,1.746,,11.217,0.16,0.16,,11.217,0.16,0.16,0.16,
11/30/1991,76.075996,,-64.749001,,11.326996,,-11.125,,,,0.202,1.63,,0.0,,0.0,,-1.63,1.832,-0.71,,,1.122,0.0,,,1.122,0.0,1.122,0.0,,1.122,1.122,,11.217,0.1,0.1,,11.217,0.1,0.1,0.1,
