Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2009,16.045,0.196,1553.201,1569.442,15.461,8.888,24.349,,,,,,,,,
06/30/2009,18.638,4.819,656.486,679.943,17.103,5.211,22.314,,,,,,,,,
09/30/2009,22.559,0.38,652.227,675.166,20.198,3.393,23.591,,,,,,,,,
12/31/2009,25.147,1.553,202.067,228.767,22.905,2.012,24.917,,,,,,,,,
03/31/2010,21.151,0.052,189.196,210.399,19.199,2.267,21.466,,,,,,,,,
06/30/2010,21.12,3.237,93.943,118.3,19.199,1.126,20.325,,,,,,,,,
09/30/2010,18.985,1.984,102.4,123.369,17.26,1.927,19.187,,,,,,,,,
12/31/2010,20.92,1.664,100.283,122.867,19.123,2.746,21.869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
03/31/2011,21.183,6.927,89.43,117.54,21.183,-1.204,19.979,,,,,,,,,
06/30/2011,,,96.374,96.374,,,,,,,,,,,,
