Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Compensation,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1997,1338.057,142.155,142.155,0.0,32.956,32.956,,51.268,28.299,6.682,16.287,,12.801,,,,,,,239.18,1080.132,1202.858,-122.726,0.0,,,18.745,,,,,18.745,1098.877,,10.499,10.499,,,,17.4,,,,,46.969,,,46.969,74.868,763.4,,,,11.829,,,,11.829,775.229,850.097,0.0,0.0,,,,,487.96,487.96,0.0,487.96,1338.057,
06/30/1997,1311.875,135.141,135.141,0.0,32.68,32.68,,41.298,17.184,6.94,17.174,,15.566,,,,,,,224.685,1068.969,1197.424,-128.455,0.0,,,18.221,,,,,18.221,1087.19,,18.259,18.259,,,,18.4,,,,,36.851,,,36.851,73.51,745.0,,,,12.168,,,,12.168,757.168,830.678,0.0,0.0,,,,,481.197,481.197,0.0,481.197,1311.875,
09/30/1997,1324.432,150.34,150.34,0.0,34.778,34.778,,52.423,27.164,6.876,18.383,,10.464,,,,,,,248.005,1057.033,1189.275,-132.242,0.0,,,19.394,,,,,19.394,1076.427,,20.963,20.963,,,,18.4,,,,,48.2,,,48.2,87.563,745.0,,,,11.858,,,,11.858,756.858,844.421,0.0,0.0,,,,,480.011,480.011,0.0,480.011,1324.432,
12/31/1997,1300.897,135.381,135.381,,28.698,28.698,,58.956,36.838,6.108,16.01,,9.219,,,,,,,232.254,1051.25,1184.198,-132.948,,,,17.393,,,,,17.393,1068.643,,14.44,14.44,,,,18.4,,,,,41.152,,,41.152,73.992,745.0,,,,11.568,,,,11.568,756.568,830.56,,,,,,,470.337,470.337,,470.337,1300.897,
03/31/1998,1172.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,,,,,,,0.0,1145.0,1189.0,-44.0,13.0,,,14.0,,,,,14.0,1172.0,,0.0,0.0,,,,0.0,,,,,0.0,,,0.0,0.0,936.0,,,,258.0,,,,258.0,1194.0,1194.0,0.0,,,,0.0,,-22.0,-22.0,0.0,-22.0,1172.0,
06/30/1998,1161.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,,,,,,,0.0,1150.0,1193.0,-43.0,0.0,,,11.0,,,,,11.0,1161.0,,0.0,0.0,,,,0.0,,,,,0.0,,,0.0,0.0,908.0,,,,281.0,,,,281.0,1189.0,1189.0,0.0,,,,,,-28.0,-28.0,0.0,-28.0,1161.0,
09/30/1998,1174.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,,,,,,0.0,1151.0,1194.0,-43.0,0.0,,,23.0,,,,,23.0,1174.0,,0.0,0.0,,,,0.0,,,,,0.0,,,0.0,0.0,988.0,,,,280.0,,,,280.0,1268.0,1268.0,0.0,,,,0.0,,-94.0,-94.0,0.0,-94.0,1174.0,
12/31/1998,1174.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,,,,,,,0.0,1164.0,1206.0,-42.0,0.0,,,10.0,,,,,10.0,1174.0,,0.0,0.0,,,,253.0,,,,,0.0,,,0.0,253.0,730.0,,,,276.0,,,,276.0,1006.0,1259.0,0.0,,,,-121.0,,36.0,-85.0,0.0,-85.0,1174.0,
03/31/1999,1423.49,106.517,106.517,,35.665,35.665,,56.512,31.441,8.597,16.474,,8.067,,,,,,,206.761,1204.787,1367.609,-162.822,,,,11.942,,,,,11.942,1216.729,,15.865,15.865,,,,18.4,,,,,47.946,,,47.946,82.211,942.505,,,,10.954,,,,10.954,953.459,1035.67,,,,,,,387.82,387.82,,387.82,1423.49,
06/30/1999,1399.925,96.188,96.188,,43.267,43.267,,46.095,23.145,7.926,15.024,,10.115,,,,,,,195.665,1193.044,1363.153,-170.109,,,,11.216,,,,,11.216,1204.26,,14.865,14.865,,,,26.95,,,,,38.497,,,38.497,80.312,933.853,,,,10.804,,,,10.804,944.657,1024.969,,,,,,,374.956,374.956,,374.956,1399.925,
