Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,1518.954956,19.297001,19.297001,0.0,163.947998,,,24.337,,,,,78.597,,,,,,,286.178986,555.620972,914.841003,-359.220001,14.781,,,662.374023,,,,662.374023,1232.775995,,75.332001,75.332001,,,,11.263,,,,,,94.78,,,94.78,181.375,408.033997,,,,,275.648987,,,,,275.648987,683.682983,865.057983,0.0,124.329002,,,0.0,,529.567993,653.896996,0.0,653.896996,1518.954979,
06/30/1990,1505.150024,23.23,23.23,0.0,161.350998,,,25.179001,,,,,73.884003,,,,,,,283.644012,559.974976,934.572998,-374.597992,14.376,,,647.155029,,,,647.155029,1221.506005,,74.211998,74.211998,,,,11.109,,,,,,100.397004,,,100.397004,185.718002,391.714996,,,,,281.292999,,,,,281.292999,673.007996,858.725998,0.0,124.329002,,,0.0,,522.094971,646.423973,0.0,646.423973,1505.149971,
09/30/1990,1532.94397,22.094999,22.094999,0.0,161.619003,,,26.08,,,,,90.777,,,,,,,300.571014,563.330017,955.315979,-391.985992,16.878,,,652.164978,,,,652.164978,1232.372995,,91.202003,91.202003,,,,8.975,,,,,,94.918989,,,94.918989,195.095993,384.265991,,,,,296.971008,,,,,296.971008,681.237,876.332993,0.0,124.329002,,,0.0,,532.281982,656.610985,0.0,656.610985,1532.943977,
12/31/1990,1521.473999,11.576,11.576,0.0,168.942001,,,26.474001,,,,,91.434998,,,,,,,298.427002,561.309998,968.297974,-406.988007,16.615,,,645.122009,,,,645.122009,1223.047007,,86.952003,86.952003,,,,9.913,,,,,,102.351992,,,102.351992,199.216995,367.552002,,,,,316.151001,,,,,316.151001,683.703003,882.919998,0.0,92.892998,,,0.0,,545.661011,638.554009,,638.554009,1521.474007,
03/31/1991,1510.150024,10.577,10.577,0.0,149.203003,,,32.296001,,,,,93.343002,,,,,,,285.419006,575.476013,997.736023,-422.26001,16.264999,,,632.98999,,,,632.98999,1224.731003,,75.862,75.862,,,,32.076,,,,,,123.552006,,,123.552006,231.490005,349.145996,,,,,293.23999,,,,,293.23999,642.385986,873.875992,0.0,93.170998,,,0.0,,543.103027,636.274025,0.0,636.274025,1510.150017,
06/30/1991,1659.177979,15.083,15.083,0.0,161.261002,,,29.541,,,,,100.25,,,,,,,306.13501,610.510986,1048.126953,-437.615997,15.086,,,727.445984,,,,727.445984,1353.042971,,81.875999,81.875999,,,,152.996002,,,,,,121.229012,,,121.229012,356.101013,348.191986,,,,,305.903015,,,,,305.903015,654.095001,1010.196014,0.0,93.170998,,,0.0,,555.810974,648.981972,0.0,648.981972,1659.177986,
09/30/1991,1686.650024,15.929,15.929,0.0,151.610001,,,29.264999,,,,,115.647003,,,,,,,312.450989,623.84198,1075.098022,-451.256012,16.549,,,733.807983,,,,733.807983,1374.198963,,93.316002,93.316002,,,,138.212997,,,,,,126.424004,,,126.424004,357.953003,349.058014,,,,,323.097992,,,,,323.097992,672.156006,1030.109009,0.0,93.170998,,,0.0,,563.369995,656.540993,0.0,656.540993,1686.650002,
12/31/1991,1720.891968,27.1,27.1,0.0,177.302002,,,31.452999,,,,,88.049004,,,,,,,323.903992,654.528015,1118.758057,-464.230011,17.652,,,724.807983,,,,724.807983,1396.987998,,122.203003,122.203003,,,,56.77,,,,,,111.736012,,,111.736012,290.709015,435.005005,,,,,318.584015,,,,,318.584015,753.58902,1044.298035,0.0,93.097,,,0.0,,583.497009,676.594009,,676.594009,1720.892044,
03/31/1992,1680.442017,8.932,8.932,0.0,145.511002,,,28.974001,,,,,84.863998,,,,,,,268.281006,682.921021,1165.459961,-482.539001,18.603001,,,710.637024,,,,710.637024,1412.161045,,83.878998,83.878998,,,,83.992996,,,,,,104.048019,,,104.048019,271.920013,403.187012,,,,,342.141998,,,,,342.141998,745.32901,1017.249023,0.0,94.679001,,,0.0,,568.513977,663.192978,,663.192978,1680.442001,
07/01/1992,1688.229004,6.973,6.973,0.0,150.921997,,,32.382999,,,,,87.374001,,,,,,,277.652008,699.677979,1202.083008,-502.404999,16.569,,,694.330017,,,,694.330017,1410.576996,,73.225998,73.225998,,,,80.510002,,,,,,107.093987,,,107.093987,260.829987,403.790009,,,,,345.524994,,,,,345.524994,749.315002,1010.144989,0.0,94.679001,,,0.0,,583.405029,678.08403,0.0,678.08403,1688.229019,
