Date,Revenue,Sales & Services Revenue,Financing Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/29/1989,3408,,,-2213,,1195,,-910,,,,,285,-98,,66.0,,0.0,32.0,187,-59,128,0.0,,,128,0.0,128,0.0,,128,128.0,,245.800003,0.485,0.485,,245.800003,0.485,0.485,0.485,
07/29/1989,3512,,,-2338,,1174,,-958,,,,,216,-74,,74.0,,0.0,0.0,142,-44,98,0.0,,,98,0.0,98,-17.0,,81,81.0,,243.0,0.37,0.37,,243.0,0.37,0.37,0.37,
10/28/1989,4141,,,-2677,,1464,,-1071,,,,,393,-84,,84.0,,0.0,0.0,309,-100,209,0.0,,,209,0.0,209,0.0,,209,209.0,,242.399994,0.825,0.825,,242.399994,0.825,0.825,0.825,
01/27/1990,5344,,,-3543,,1801,,-1190,,,,,611,-79,,121.0,,0.0,-42.0,532,-165,367,0.0,,,367,0.0,367,-19.0,,348,348.0,,240.759995,1.475,1.475,,240.759995,1.475,1.475,1.475,
04/28/1990,3801,,,-2348,,1453,,-1149,,,,,304,-74,,74.0,,0.0,0.0,230,-76,154,0.0,,,154,0.0,154,,,154,154.0,,241.800003,0.605,0.605,,241.800003,0.605,0.605,0.605,
07/28/1990,3834,,,-2466,,1368,,-1175,,,,,193,-69,,69.0,,0.0,0.0,124,-41,83,0.0,,,83,0.0,83,-17.0,,66,66.0,,236.600006,0.315,0.315,,236.600006,0.315,0.315,0.315,
10/27/1990,4247,,,-2706,,1541,,-1276,,,,,265,-77,,77.0,,0.0,0.0,188,-54,134,0.0,,,134,0.0,134,0.0,,134,134.0,,233.800003,0.535,0.535,,233.800003,0.535,0.535,0.535,
01/26/1991,5528,,,-3758,,1770,,-1399,,,,,371,-81,,111.0,,0.0,-30.0,290,-84,206,0.0,,,206,0.0,206,-17.0,,189,189.0,,233.091996,0.81,0.81,0.81,233.091996,0.81,0.81,0.81,
04/27/1991,3715,,,-2352,,1363,,-1161,,,,,202,-75,,75.0,,,,127,-47,80,184.0,,,-104,,-104,,,-104,-104.0,,233.600006,-0.485,0.305,,233.600006,-0.485,0.305,0.305,
07/27/1991,3727,,,-2442,,1285,,-1160,,,,,125,-76,,76.0,,0.0,0.0,49,-18,31,0.0,,,31,0.0,31,-17.0,,14,14.0,,233.600006,0.095,0.095,,233.600006,0.095,0.095,0.095,
