Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/01/1990,406.13501,27.381001,27.381001,0.0,80.915001,,,93.125,,,,,14.376,,,,,215.796997,114.259003,,,0.0,,76.079002,,,,,,76.079002,190.338005,,47.582001,47.582001,,,,26.179001,,,,,,77.860001,,,77.860001,151.621002,82.560997,,,,,,,,,,82.560997,234.181999,0,87.344002,,,-0.064,,84.673001,171.953003,0,171.953003,406.135002,
07/01/1990,406.890015,30.313,30.313,0.0,81.292999,,,86.0,,,,,15.803,,,,,213.408997,118.620003,,,0.0,,74.861,,,,,,74.861,193.481003,,48.508999,48.508999,,,,22.048,,,,,,80.730995,,,80.730995,151.287994,67.848,,,,,,,,,,67.848,219.135994,0,87.343002,,,-0.064,,100.475003,187.754005,0,187.754005,406.889999,
09/30/1990,407.834015,19.502001,19.502001,0.0,80.160004,,,96.721001,,,,,16.004,,,,,212.386993,120.921997,,,0.0,,74.525002,,,,,,74.525002,195.446999,,47.224998,47.224998,,,,16.889999,,,,,,81.133995,,,81.133995,145.248993,67.873001,,,,,,,,,,67.873001,213.121994,0,87.343002,,,-0.064,,107.433003,194.712006,0,194.712006,407.834,
12/31/1990,407.46701,14.001,14.001,0.0,51.896999,,,109.877998,,,,,20.907,,,,,196.682999,136.052002,212.703995,-76.652,0.0,,74.732002,,,,,,74.732002,210.784004,,50.411999,50.411999,,,,23.858999,,,,,,72.260008,,,72.260008,146.531006,48.339001,,,,,13.822,,,,13.822,62.161001,208.692007,0,87.297997,,,-0.771,,112.247997,198.774994,0,198.774994,407.467001,
03/31/1991,416.432007,12.109,12.109,0.0,70.402,,,100.291,,,,,21.167999,,,,,203.970001,138.664993,,,0.0,,73.796997,,,,,,73.796997,212.46199,,44.328999,44.328999,,,,42.319,,,,,,65.441006,,,65.441006,152.089005,62.185001,,,,,,,,,,62.185001,214.274006,0,87.440002,,,-0.769,,115.487002,202.158005,0,202.158005,416.432011,
06/30/1991,453.471985,22.181,22.181,0.0,101.362999,,,92.512001,,,,,20.745001,,,,,236.800995,144.026001,,,0.0,,72.644997,,,,,,72.644997,216.670998,,53.185001,53.185001,,,,39.105,,,,,,80.853996,,,80.853996,173.143997,61.793999,,,,,,,,,,61.793999,234.937996,0,87.627998,,,-0.768,,131.674006,218.534004,0,218.534004,453.472,
09/29/1991,469.362,29.724001,29.724001,0.0,91.193001,,,103.404999,,,,,23.129999,,,,,247.451996,148.973007,,,0.0,,72.936996,,,,,,72.936996,221.910004,,60.971001,60.971001,,,,39.591999,,,,,,78.050007,,,78.050007,178.613007,61.594002,,,,,,,,,,61.594002,240.207008,0,87.761002,,,-0.768,,142.161997,229.154999,0,229.154999,469.362007,
12/31/1991,474.233002,30.919001,30.919001,0.0,71.516998,,,106.682999,,,,,27.724001,,,,,236.843002,163.686005,258.152008,-94.466003,0.0,,73.704002,,,,,,73.704002,237.390007,,55.411999,55.411999,,,,41.089001,,,,,,76.129997,,,76.129997,172.630997,46.905998,,,,,16.695999,,,,16.695999,63.601997,236.232994,0,87.913002,,,-0.984,,151.071006,238.000008,0,238.000008,474.233002,
03/29/1992,487.033997,27.568001,27.568001,0.0,102.053001,,,96.0,,,,,25.629999,,,,,251.251007,162.442001,,,0.0,,73.341003,,,,,,73.341003,235.783005,,55.157001,55.157001,,,,40.507,,,,,,77.315994,,,77.315994,172.979996,64.138,,,,,,,,,,64.138,237.117996,0,91.378998,,,-1.047,,159.584003,249.916,0,249.916,487.033997,
06/28/1992,494.735992,25.729,25.729,0.0,104.880997,,,95.237999,,,,,27.250999,,,,,253.098999,168.707993,,,0.0,,72.929001,,,,,,72.929001,241.636993,,51.689999,51.689999,,,,29.983999,,,,,,86.856001,,,86.856001,168.529999,56.303001,,,,,,,,,,56.303001,224.833,0,91.580002,,,-1.046,,179.368998,269.903,0,269.903,494.736,
