Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2013,8376.407,554.382,554.382,0,436.476,436.476,0,19.757,0.0,0.0,19.4,0.357,321.526,,,,49.182,65.473,206.871,1332.141,873.274,889.163,-15.889,17.393,17.393,,6153.599,3961.063,2408.982,1552.081,2130.761,61.775,7044.266,,326.627,,26.245,,300.382,9.339,0,,,,9.339,187.956,,,107.124,523.922,1081.291,1081.291,,,,2177.401,,576.694,1279.951,320.756,3258.692,3782.614,0,4536.0,0.087,4535.913,,58.359,-0.566,4593.793,0.0,4593.793,8376.407,
06/30/2013,8330.726,630.909,630.909,0,445.443,445.443,0,15.295,0.0,0.0,14.989,0.306,234.184,,,,49.06,36.287,148.837,1325.831,869.63,905.494,-35.864,17.423,17.423,,6117.842,3914.027,2402.026,1512.001,2135.2,68.615,7004.895,,291.996,84.946,,,207.05,9.226,0,,,,9.226,170.842,,,85.856,472.064,1078.414,1078.414,,,,2118.509,,520.065,1299.035,299.409,3196.923,3668.987,0,4537.866,0.088,4537.778,,124.67,-0.797,4661.739,0.0,4661.739,8330.726,
09/29/2013,8443.34,697.113,697.113,0,450.75,450.75,0,16.27,0.0,0.0,15.778,0.492,256.647,,,,54.491,42.611,159.545,1420.78,866.677,921.908,-55.231,17.423,17.423,,6138.46,3911.314,2402.026,1509.288,2151.842,75.304,7022.56,,307.026,81.08,,,225.946,11.935,0,,,,11.935,219.239,,,133.514,538.2,1075.539,1075.539,,,,2114.699,,506.027,1295.761,312.911,3190.238,3728.438,0,4540.488,0.09,4540.398,,174.441,-0.027,4714.902,0.0,4714.902,8443.34,
12/29/2013,11476.009,640.697,640.697,0,644.024,644.024,0,14.222,0.0,0.0,13.831,0.391,436.337,,0.0,,54.221,11.24,370.876,1735.28,1040.807,1115.253,-74.446,17.511,17.511,0.0,8682.411,6392.914,3815.196,2577.718,2145.651,143.846,9740.729,,295.705,93.396,2.276,0.0,200.033,204.709,0,0.0,0.0,,204.709,298.423,0.0,0.0,221.394,798.837,3760.475,3760.475,0.0,0.0,,1991.136,0.0,262.299,1393.413,335.424,5751.611,6550.448,0,4543.321,0.093,4543.228,0.0,241.555,140.685,4925.561,0.0,4925.561,11476.009,
03/30/2014,11380.126,723.652,723.652,0,593.913,593.913,0,14.63,,,,,240.987,,,,60.714,2.543,177.73,1573.182,1035.364,1131.311,-95.947,18.241,18.241,,8753.339,6532.233,3882.544,2649.689,2064.344,156.762,9806.944,,363.908,90.087,,,273.821,42.047,0,,,,42.047,221.114,,,124.878,627.069,3750.293,3750.293,,,,2029.185,,257.708,1427.72,343.757,5779.478,6406.547,0,4550.344,0.096,4550.248,,282.623,140.612,4973.579,0.0,4973.579,11380.126,
06/29/2014,11396.674,851.224,851.224,0,608.587,608.587,0,16.074,,,,,226.048,,,,61.407,1.998,162.643,1701.933,1028.237,1148.725,-120.488,18.236,18.236,,8648.268,6496.79,3903.287,2593.503,1985.819,165.659,9694.741,,389.52,97.705,,,291.815,41.566,0,,,,41.566,211.571,,,110.304,642.657,3740.15,3740.15,,,,1951.164,,250.642,1375.134,325.388,5691.314,6333.971,0,4558.048,0.097,4557.951,,365.545,139.11,5062.703,0.0,5062.703,11396.674,
09/28/2014,11044.271,756.647,756.647,0,405.333,405.333,0,0.0,0.0,0.0,0.0,0.0,288.002,,,,24.944,20.352,242.706,1449.982,867.027,954.048,-87.021,26.086,18.238,7.848,8701.176,6521.164,3906.247,2614.917,2004.352,175.66,9594.289,,203.689,49.724,,,153.965,4.589,0,,,,4.589,239.93,,,206.26,448.208,3491.609,3491.609,,,,1975.08,,193.024,1377.283,404.773,5466.689,5914.897,0,4585.718,0.097,4585.621,,403.542,140.114,5129.374,0.0,5129.374,11044.271,
12/28/2014,11396.455,1455.183,1455.183,0,440.722,440.722,0,0.0,0.0,0.0,0.0,0.0,264.918,,0.0,,29.675,4.931,230.312,2160.823,850.597,953.438,-102.841,27.196,18.238,8.958,8357.839,6472.944,3918.136,2554.808,1689.996,194.899,9235.632,,410.135,77.295,252.57,,80.27,4.088,0,0.0,0.0,,4.088,269.957,0.0,0.0,235.605,684.18,3490.897,3490.897,0.0,0.0,,2025.947,0.0,490.572,1156.214,379.161,5516.844,6201.024,0,4591.568,0.098,4591.47,-67.814,718.218,-46.541,5195.431,0.0,5195.431,11396.455,
03/29/2015,10960.603,1171.83,1171.83,0,415.033,415.033,0,0.0,0.0,0.0,0.0,0.0,257.036,,,,28.974,,228.062,1843.899,849.033,968.384,-119.351,25.832,18.418,7.414,8241.839,6424.257,3916.266,2507.991,1629.112,188.47,9116.704,,791.289,64.781,12.612,648.644,65.252,4.034,0,,,,4.034,256.334,,,222.918,1051.657,3490.187,3490.187,,,,2003.239,,482.58,1153.885,366.774,5493.426,6545.083,0,4595.393,0.098,4595.295,-232.988,105.991,-52.876,4415.52,0.0,4415.52,10960.603,
06/30/2015,10247.416,403.511,403.511,0,425.947,425.947,0,0.0,0.0,0.0,0.0,0.0,283.917,,,0.518,34.191,36.287,212.921,1113.375,853.75,984.662,-130.912,26.844,20.918,5.926,8253.447,6437.796,3946.481,2491.315,1642.737,172.914,9134.041,,144.426,77.671,0.0,,66.755,26.495,0,,,,26.495,244.462,,,212.005,415.383,3465.776,3465.776,,,,1991.111,,478.969,1157.65,354.492,5456.887,5872.27,0,4604.417,0.1,4604.317,-253.014,78.358,-55.939,4373.822,1.324,4375.146,10247.416,
