Date,Market Capitalization,Cash & Equivalents,Preferred & Other,Total Debt,Enterprise Value,"Revenue, Comparable","Growth %, YoY",Gross Profit,Margin %,EBITDA,"Net Inc, Comparable","EPS, Comparable",Cash from Operations,Capital Expenditures,Free Cash Flow,Source: Bloomberg
06/30/1997,46050.375,-1366.0,0.0,10072.0,54756.375,4923.0,12.698413,2410.0,14.2392849888279,2201.0,701.0,0.355,1620.0,-1107.0,513.0,
09/30/1997,45861.916656,-2102.0,0.0,10206.0,53965.916656,5193.0,12.696984,2625.0,13.5759676487579,2348.0,705.0,0.354996,1883.0,-1220.0,663.0,
12/31/1997,55862.0,-2587.0,504.0,11054.0,64833.0,5600.0,12.5,2845.0,12.9285714285714,2478.0,724.0,0.36,1662.0,-1660.0,2.0,
03/31/1998,66763.125,-2129.0,0.0,10975.0,75609.125,5426.0,12.857143,2716.0,14.6701068927387,2497.0,796.0,0.395,2056.0,-1226.0,830.0,
06/30/1998,66118.125,-2316.0,0.0,11617.0,75419.125,5664.0,15.492958,2847.0,14.4420903954802,2508.0,818.0,0.41,1642.0,-1254.0,388.0,
09/30/1998,73669.75,-2600.0,0.0,11903.0,82972.75,5865.0,15.494422,2909.0,13.8789428815004,2574.0,814.0,0.41,2198.0,-1264.0,934.0,
12/31/1998,97256.25,-3187.0,451.0,12169.0,106689.25,6168.0,16.666667,3214.0,14.4779507133593,2682.0,893.0,0.42,1845.0,-1468.0,377.0,
03/31/1999,76399.1875,-1988.0,0.0,12976.0,87387.1875,5973.0,16.455696,,14.9840950945923,2720.0,895.0,0.46,1642.0,-1387.0,255.0,
06/30/1999,86945.625,-918.0,0.0,16084.0,102111.625,6148.0,24.390244,,15.8262849707222,2469.0,973.0,0.51,2451.0,-1498.0,953.0,
09/30/1999,84780.0,-1140.0,0.0,16094.0,99734.0,6422.0,21.95122,,14.8084708813454,2881.0,951.0,0.5,2378.0,-1571.0,807.0,
12/31/1999,88147.9375,-1392.0,0.0,16766.0,103521.9375,6681.0,26.190476,,15.0576261038767,3038.0,1006.0,0.53,1728.0,-1744.0,-16.0,
03/31/2000,88125.0,-1182.0,0.0,16364.0,103307.0,6440.0,13.043478,,15.2329192546584,2919.0,981.0,0.52,2350.0,-1563.0,787.0,
06/30/2000,80177.625,-1547.0,0.0,16977.0,95607.625,6701.0,9.803922,,15.8782271302791,3187.0,1064.0,0.56,2448.0,-1705.0,743.0,
09/30/2000,75573.0,-1212.0,0.0,20023.0,94384.0,6850.0,10.0,,15.1240875912409,3238.0,1036.0,0.55,1874.0,-1672.0,202.0,
12/31/2000,76635.0,-1061.0,0.0,20032.0,95606.0,6160.0,7.54717,,17.4350649350649,3081.0,1074.0,0.57,1918.0,-2055.0,-137.0,
03/31/2001,76643.16,-712.0,0.0,19325.0,95256.16,5919.0,0.0,,16.4723770907248,2758.0,975.0,0.52,1604.0,-1690.0,-86.0,
06/30/2001,75465.98,-658.0,0.0,19100.0,93907.98,5985.0,3.571429,,18.1286549707602,2753.0,1085.0,0.58,2108.0,-1667.0,441.0,
09/30/2001,77989.35,-854.0,0.0,20066.0,97201.35,6013.0,7.272727,,18.5930483951439,2875.0,1118.0,0.59,2649.0,-1367.0,1282.0,
