Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/30/1989,327.654999,12.079,12.079,0.0,59.808998,,,183.384003,,,,,14.746,,,,,,270.018005,41.900002,104.398003,-62.498001,0.0,15.737,,,,,,15.737,57.637002,,21.233,21.233,,,,26.207001,,,,,,47.367998,,,,47.367998,94.807999,114.929001,,,,,12.905,,,12.905,127.834001,222.641999,72.800003,46.861,,,-173.830002,,159.182002,105.013003,0.0,105.013003,327.655003,
07/30/1989,372.234009,12.17,12.17,0.0,70.644997,,,216.070007,,,,,14.716,,,,,,313.601013,42.944,106.987999,-64.043999,0.0,15.689,,,,,,15.689,58.633,,22.896,22.896,,,,67.365997,,,,,,48.557003,,,,48.557003,138.819,114.107002,,,,,13.146,,,13.146,127.253002,266.072002,72.800003,46.91,,,-173.830002,,160.282001,106.162003,0.0,106.162003,372.234005,
10/29/1989,381.019012,14.166,14.166,0.0,92.585999,,,198.559998,,,,,15.368,,,,,,320.679993,44.686001,110.321999,-65.636002,0.0,15.653,,,,,,15.653,60.339001,,21.030001,21.030001,,,,57.730999,,,,,,56.177996,,,,56.177996,134.938995,113.855003,,,,,14.101,,,14.101,127.956003,262.894999,72.800003,46.801998,,,-173.830002,,172.352002,118.124001,0.0,118.124001,381.019,
01/28/1990,333.108002,6.577,6.577,0.0,55.252998,,,190.787994,,,,,14.249,,,,,,266.867004,46.526001,113.820999,-67.294998,0.0,19.715,,,,,,19.715,66.241001,,21.625999,21.625999,,,,13.224,,,,,,49.340003,,,,49.340003,84.190002,118.776001,,,,,11.257,,,11.257,130.033001,214.223003,72.800003,46.932999,,,-173.830002,,172.982002,118.885002,0.0,118.885002,333.108005,
04/29/1990,375.138,7.839,7.839,0.0,52.632999,,,222.139999,,,,,16.18,,,,,,298.791992,52.431999,121.407997,-68.975998,0.0,23.914,,,,,,23.914,76.345999,,22.775,22.775,,,,40.105,,,,,,52.421003,,,,52.421003,115.301003,132.242004,,,,,11.155,,,11.155,143.397004,258.698007,72.800003,47.167999,,,-173.830002,,170.302002,116.440002,0.0,116.440002,375.138009,
07/29/1990,405.593994,7.33,7.33,0.0,64.236,,,239.822006,,,,,16.427999,,,,,,327.81601,53.854,129.354996,-75.500999,0.0,23.924,,,,,,23.924,77.778,,19.235001,19.235001,,,,60.182999,,,,,,58.649994,,,,58.649994,138.067993,136.985992,,,,,11.047,,,11.047,148.032992,286.100986,72.800003,47.256001,,,-173.830002,,173.267002,119.493004,0.0,119.493004,405.593989,
10/28/1990,411.139008,11.4,11.4,0.0,78.444,,,227.498001,,,,,13.743,,,,,,331.084991,56.124001,133.479996,-77.356003,0.0,23.93,,,,,,23.93,80.054001,,20.655001,20.655001,,,,47.296001,,,,,,63.547991,,,,63.547991,131.498993,136.541,,,,,11.312,,,11.312,147.853001,279.351994,72.800003,47.335999,,,-173.830002,,185.481002,131.787002,0.0,131.787002,411.138995,
02/03/1991,376.790009,5.825,5.825,0.0,47.241001,,,216.815994,,,,,15.433,,,,,,285.315002,60.745998,136.628998,-75.883003,0.0,30.729,,,,,,30.729,91.474998,,24.188999,24.188999,,,,13.228,,,,,,53.331002,,,,53.331002,90.748001,140.259003,,,,,10.659,,,10.659,150.918003,241.666004,72.800003,47.533001,,,-173.830002,,188.621002,135.124004,0.0,135.124004,376.790009,
05/05/1991,394.760986,7.708,7.708,0.0,52.629002,,,225.679993,,,,,15.979,,,,,,301.996002,62.151001,,,0.0,30.614,,,,,,30.614,92.765001,,20.823999,20.823999,,,,36.516998,,,,,,50.536001,,,,50.536001,107.876999,144.889008,,,,,10.87,,,10.87,155.759007,263.636006,72.800003,47.752998,,,-173.830002,,184.402001,131.125001,0.0,131.125001,394.761007,
08/04/1991,433.130005,9.911,9.911,0.0,56.091,,,255.429001,,,,,18.049,,,,,,339.480011,63.037998,,,0.0,30.612,,,,,,30.612,93.649998,,20.391001,20.391001,,,,75.373001,,,,,,57.748999,,,,57.748999,153.513,132.766006,,,,,12.124,,,12.124,144.890006,298.403007,72.800003,48.078999,,,-173.830002,,187.678001,134.727001,0.0,134.727001,433.130008,
