Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1995,833.099976,,-193.300003,,639.799973,,-546.900024,,,92.900002,0.2,,1.4,,0.0,,-1.6,93.100002,-44.099998,,,49.0,0.0,,,49.000004,-2.6,46.400002,-15.6,,30.800002,30.800002,,,,,,,,,,
12/31/1995,860.799988,,-210.399994,,650.399994,,-541.400024,,,109.0,1.1,,0.0,,0.0,,-1.1,110.1,-47.299999,,,62.799999,0.0,,,62.800001,-4.3,58.5,-30.200001,,28.299999,28.299999,,,,,,,,,,
03/31/1996,763.900024,,-163.399994,,600.50003,,-542.200012,,,58.299999,0.4,,,,0.0,,-0.4,58.699999,-26.4,,,32.299999,0.0,,,32.299999,-4.1,28.200001,-5.9,,22.300001,22.300001,,472.799988,0.0475,0.0475,0.0475,472.799988,0.0475,0.0475,0.0475,
06/30/1996,736.700012,,-163.899994,,572.800018,,-522.700012,,,50.099998,-0.4,,,,0.0,,0.4,49.699998,-20.5,,,30.6,0.0,,,29.199998,-3.3,27.299999,-5.8,,21.499999,21.499999,,473.200012,0.045,0.045,0.045,473.200012,0.045,0.045,0.045,
09/30/1996,872.799988,,-199.800003,,672.999985,,-571.700012,,,101.300003,-1.2,,,,0.0,,1.2,100.100003,-44.5,,,55.599998,0.0,,,55.600003,-2.9,52.700001,-5.9,,46.800001,46.800001,,474.399994,0.0975,0.0975,0.0975,474.399994,0.0975,0.0975,0.0975,
12/31/1996,941.5,,-217.600006,,723.899994,,-598.0,,,125.900002,0.1,,,,0.0,,-0.1,126.000002,-50.5,,,75.5,0.0,,,75.500002,-5.6,69.900002,-5.8,,64.100001,64.100001,,469.600006,0.135,0.135,0.135,473.200012,0.135,0.135,0.135,
03/31/1997,791.400024,,-167.300003,,624.100021,,-555.200012,,,68.900002,2.3,,,,0.0,,-2.3,71.200001,-29.9,,,41.299999,0.0,,,41.300002,-3.0,38.299999,-5.9,,32.399999,32.399999,,471.200012,0.07,0.07,0.07,474.799988,0.0675,0.0675,0.0675,
06/30/1997,775.900024,,-180.399994,,595.50003,,-532.5,,,63.0,2.6,,,,0.0,,-2.6,65.6,-27.5,,,38.099998,0.0,,,38.1,-1.4,36.700001,-5.8,,30.900001,30.900001,,479.600008,0.065,0.065,0.065,479.600008,0.065,0.065,0.065,
09/30/1997,900.599976,,-204.399994,,696.199982,,-590.200012,,,106.0,1.0,,,,0.0,,-1.0,107.0,-42.799999,,,64.199997,0.0,,,64.200001,-2.4,61.799999,-5.9,,55.899999,55.899999,,473.600008,0.12,0.12,0.12,477.200012,0.115,0.115,0.115,
12/31/1997,1000.900024,,-229.300003,,771.600021,,-626.700012,,,144.899994,-0.1,,,,0.0,,0.1,144.799994,-57.900002,,,86.900002,0.0,,,86.899992,-1.6,85.300003,-5.8,,79.500003,79.500003,,473.600006,0.17,0.17,0.17,478.0,0.165,0.165,0.165,
