Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
05/31/1989,283.471985,,,-110.708,,172.763985,,-144.151993,,,,,28.612,-0.321,,6.589,,0.0,-6.268,28.290999,-10.807,17.483999,0.0,,,17.483999,0.0,17.483999,0.0,,17.483999,17.483999,,64.288002,0.27,0.27,,64.288002,0.27,0.27,0.27,
08/31/1989,276.433014,,,-120.455002,,155.978012,,-147.462006,,,,,8.516,-0.395,,6.684,,0.0,-6.289,8.121,-3.103,5.018,0.0,,,5.018,0.0,5.018,0.0,,5.018,5.018,,64.190002,0.08,0.08,,64.190002,0.08,0.08,0.08,
11/30/1989,389.221008,,,-174.149002,,215.072006,,-162.214005,,,,,52.858002,-3.301,,7.892,,0.0,-4.591,49.557002,-18.757999,30.799,0.0,,,30.799002,0.0,30.799,0.0,,30.799,30.799,,63.827999,0.48,0.48,,63.827999,0.48,0.48,0.48,
02/28/1990,337.72699,,,-138.289993,,199.436996,,-167.447998,,,,,31.989,-1.543,,6.526,,0.0,-4.983,30.446,-11.57,18.875999,0.0,,,18.876,0.0,18.875999,0.0,,18.875999,18.875999,,63.939999,0.295,0.295,,63.939999,0.295,0.295,0.295,
05/31/1990,305.924011,,,-121.091003,,184.833008,,-152.815002,,,,,32.018002,-1.607,,6.855,,0.0,-5.248,30.411002,-11.1,19.311001,0.0,,,19.311001,0.0,19.311001,0.0,,19.311001,19.311001,,64.089996,0.3,0.3,,64.089996,0.3,0.3,0.3,
08/31/1990,306.195007,,,-136.598007,,169.597,,-158.037003,,,,,11.56,-1.63,,7.256,,0.0,-5.626,9.93,-3.705,6.225,0.0,,,6.225,0.0,6.225,0.0,,6.225,6.225,,63.529999,0.1,0.1,,63.529999,0.1,0.1,0.1,
11/30/1990,424.118011,,,-186.641998,,237.476013,,-176.542999,,,,,60.932999,-5.39,,9.159,,0.0,-3.769,55.542998,-20.672001,34.870998,0.0,,,34.870997,0.0,34.870998,0.0,,34.870998,34.870998,,62.702,0.55,0.55,,62.702,0.55,0.55,0.55,
02/28/1991,376.479004,,,-152.778,,223.701004,,-185.391006,,,,,38.310001,-3.661,,8.108,,0.0,-4.447,34.649001,-12.559,22.09,0.0,,,22.090001,0.0,22.09,0.0,,22.09,22.09,,62.841542,0.355,0.355,0.355,62.841542,0.355,0.355,0.355,
05/31/1991,334.056,,,-130.561996,,203.494003,,-166.261993,,,,,37.231998,-3.251,,7.591,,0.0,-4.34,33.980999,-12.403,21.577999,0.0,,,21.577999,0.0,21.577999,0.0,,21.577999,21.577999,,63.624001,0.34,0.34,,63.624001,0.34,0.34,0.34,
08/31/1991,335.776001,,,-144.460007,,191.315994,,-175.931,,,,,15.385,-2.307,,7.308,,0.0,-5.001,13.078,-4.773,8.305,0.0,,,8.305,0.0,8.305,0.0,,8.305,8.305,,71.416,0.105,0.105,,71.416,0.105,0.105,0.105,
11/30/1991,466.515991,,,-204.884003,,261.631989,,-194.606003,,,,,67.026001,-3.72,,7.907,,0.0,-4.187,63.306001,-22.555,40.750999,0.0,,,40.751,0.0,40.750999,0.0,,40.750999,40.750999,,71.445999,0.58,0.58,,71.445999,0.58,0.58,0.58,
02/28/1992,417.613007,,,-166.044998,,251.568009,,-206.886993,,,,,44.681,-2.045,,7.617,,0.0,-5.572,42.636,-15.808,26.827999,0.0,,,26.828,0.0,26.827999,0.0,,26.827999,26.827999,,71.571998,0.375,0.375,0.375,71.571998,0.375,0.375,0.375,
05/31/1992,371.994995,,,-137.832001,,234.162994,,-190.641006,,,,,43.521999,-3.528,,7.595,,0.0,-4.067,39.993999,-14.478,25.516001,0.0,,,25.516,0.0,25.516001,0.0,,25.516001,25.516001,,71.989998,0.355,0.355,,71.989998,0.355,0.355,0.355,
08/31/1992,366.859985,,,-154.311996,,212.547989,,-194.587006,,,,,17.961,-3.074,,6.838,,0.0,-3.764,14.887001,-5.993,8.894,0.0,,,8.894001,0.0,8.894,0.0,,8.894,8.894,,72.170036,0.12,0.12,,72.170036,0.12,0.12,0.12,
11/30/1992,489.490997,,,-203.604996,,285.886002,,-211.828995,,,,,74.056999,-3.031,,6.515,,0.0,-3.484,71.025999,-27.122,43.903999,0.0,,,43.904,0.0,43.903999,0.0,,43.903999,43.903999,,72.718758,0.605,0.605,,72.718758,0.605,0.605,0.605,
02/28/1993,443.346008,,,-165.434006,,277.912002,,-221.910004,,,,,56.001999,-0.799,,5.976,,0.0,-5.177,55.202999,-21.229,33.973999,0.0,,,33.973999,0.0,33.973999,0.0,,33.973999,33.973999,,72.882004,0.47,0.47,0.47,72.882004,0.47,0.47,0.47,
05/31/1993,391.959015,,,-143.626007,,248.333008,,-202.108002,,,,,46.224998,0.219,,3.263,,0.0,-3.482,46.443999,-17.417,29.027,17.182001,,,11.844998,0.0,11.845,0.0,,11.845,11.845,,73.164581,0.16,0.395,,73.164581,0.16,0.395,0.395,
08/31/1993,385.705994,,,-158.839996,,226.865997,,-207.009995,,,,,19.856001,-2.386,,5.061,,0.0,-2.675,17.470001,-6.551,10.919,0.0,,,10.919001,0.0,10.919,0.0,,10.919,10.919,,73.748909,0.15,0.15,,73.748909,0.15,0.15,0.15,
11/30/1993,518.987,,,-210.214996,,308.772003,,-225.345001,,,,,83.427002,-1.082,,4.599,,0.0,-3.517,82.345002,-30.879,51.466,0.0,,,51.466002,0.0,51.466,0.0,,51.466,51.466,,74.097,0.7,0.7,,74.097,0.7,0.7,0.7,
02/28/1994,473.312012,,,-159.339005,,313.973007,,-248.020996,,,,,65.952003,-2.797,,3.974,,0.0,-1.177,63.155003,-23.683001,39.472,-13.518,,,52.990002,0.0,52.990002,0.0,,52.990002,52.990002,,74.139,0.71,0.53,0.53,74.139,0.71,0.53,0.53,
05/31/1994,416.403015,,,-137.740997,,278.662018,,-226.292007,,,,,52.369999,-1.274,,3.663,,0.0,-2.389,51.095999,-17.934,33.161999,0.0,,,33.161999,0.0,33.161999,0.0,,33.161999,33.161999,,74.209999,0.45,0.45,,74.209999,0.45,0.45,0.45,
08/31/1994,401.135986,,,-153.662994,,247.472992,,-224.610001,,,,,22.863001,-2.19,,4.143,,0.0,-1.953,20.673001,-7.257,13.416,0.0,,,13.416001,0.0,13.416,0.0,,13.416,13.416,,74.296997,0.18,0.18,,74.296997,0.18,0.18,0.18,
