Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2000,226.0,,-118.5,,107.5,,-82.0,,,,,25.5,-2.4,,,,0.0,2.4,23.1,-6.1,17.0,0.0,,,17.0,0.0,17.0,0.0,0.0,17.0,17.0,,,,,,,,,,
06/30/2000,205.0,,-115.0,,90.0,,-82.0,,,,,8.0,-319.0,,,,0.0,319.0,-311.0,2.0,-309.0,0.0,,,-309.0,0.0,-309.0,0.0,0.0,-309.0,-309.0,,698.400009,-0.4425,-0.4425,0.016667,698.400009,-0.4425,-0.4425,0.016667,
09/30/2000,185.8,,-96.3,,89.5,,-61.1,,,,,28.4,-21.2,,7.5,,0.0,13.7,7.2,-2.8,4.4,0.0,,,4.4,0.0,4.4,0.0,0.0,4.4,4.4,,700.8,0.006667,0.006667,0.006667,728.4,0.005833,0.005833,0.005833,
12/31/2000,187.199997,,-93.699997,,93.5,,-69.800003,,,,,23.700001,-1.9,,,,0.0,1.9,21.800001,-6.2,15.6,0.0,,,15.600001,0.0,15.6,0.0,,15.6,15.6,,703.199982,0.0225,0.0225,0.0225,720.0,0.021667,0.021667,0.021667,
03/31/2001,191.899994,,-96.199997,,95.699997,,-72.599998,,,,,23.1,-3.1,,,,0.0,3.1,20.0,-5.8,14.2,1.5,,,12.7,0.0,12.7,0.0,0.0,12.7,12.7,,704.400009,0.018333,0.02,0.02,723.599991,0.0175,0.02,0.02,
06/30/2001,192.399994,,-95.199997,,97.199997,,-71.900002,,,,,25.299999,-97.0,,,,0.0,97.0,-71.700001,16.0,-55.700001,0.0,,,-55.700001,0.0,-55.700001,0.0,0.0,-55.700001,-55.700001,,705.599991,-0.079167,-0.079167,0.023333,732.0,-0.079167,-0.079167,0.023333,
09/30/2001,147.800003,,-64.400002,,83.400002,,-64.0,,,,,19.4,0.5,,,,0.0,-0.5,19.9,-5.4,14.5,0.0,,,14.5,0.0,14.5,0.0,,14.5,14.5,,708.0,0.020833,0.020833,0.020833,736.800018,0.02,0.02,0.02,
12/31/2001,159.899994,,-68.199997,,91.699997,,-68.5,,,,,23.200001,-0.4,,,,0.0,0.4,22.800001,-5.5,17.0,-0.5,,,17.800001,0.0,17.200001,0.0,,17.200001,17.200001,,710.400009,0.024167,0.024167,0.024167,738.0,0.023333,0.023333,0.023333,
03/31/2002,162.300003,,-69.099998,,93.200005,,-66.099998,,,,,27.1,1.0,,,,0.0,-1.0,28.1,-7.3,20.799999,0.0,,,20.8,0.0,20.799999,0.0,0.0,20.799999,20.799999,,711.599991,0.029167,0.029167,0.029167,741.599991,0.028333,0.028333,0.028333,
06/30/2002,172.800003,,-74.400002,,98.400002,,-70.900002,,,,,27.5,16.299999,,,,0.0,-16.299999,43.799999,-13.2,30.6,0.0,,,30.599999,0.0,30.6,0.0,0.0,30.6,30.6,,711.599991,0.043333,0.043333,0.03,738.0,0.041667,0.041667,0.029167,
09/30/2002,165.800003,,-69.900002,,95.900002,,-69.699997,,,,,26.200001,-71.400002,,,,0.0,71.400002,-45.200001,27.799999,-17.4,0.0,,,-17.400002,0.0,-17.4,0.0,0.0,-17.4,-17.4,,704.400009,-0.025,-0.025,0.026667,728.400009,-0.025,-0.025,0.025833,
12/31/2002,203.100006,,-85.699997,,117.400009,,-86.400002,,,,,31.0,-1.7,,,,0.0,1.7,29.3,-7.6,21.700001,0.0,,,21.7,0.0,21.700001,0.0,0.0,21.700001,21.700001,,705.599991,0.030833,0.030833,0.030833,732.0,0.03,0.03,0.03,
03/31/2003,212.5,,-89.099998,,123.400002,,-90.400002,,,,,33.0,-10.9,,,,0.0,10.9,22.1,-7.6,14.5,0.0,,,14.5,0.0,14.5,0.0,0.0,14.5,14.5,,705.599991,0.020833,0.020833,0.035833,730.800018,0.02,0.02,0.034167,
06/30/2003,217.800003,,-89.599998,,128.200005,,-93.800003,,,,,34.400002,-5.4,,,,0.0,5.4,29.000002,-7.9,21.1,0.0,,,21.100002,0.0,21.1,0.0,0.0,21.1,21.1,,708.0,0.03,0.03,0.033333,736.800024,0.028333,0.028333,0.031667,
09/30/2003,206.100006,,-86.900002,,119.200004,,-87.300003,,,,,31.9,-17.200001,,,,0.0,17.200001,14.699999,9.8,24.5,0.0,,,24.499999,0.0,24.5,0.0,0.0,24.5,24.5,,709.199976,0.034167,0.034167,0.029167,733.199976,0.033333,0.033333,0.028333,
12/31/2003,224.100006,,-93.800003,,130.300003,,-91.199997,,,,,39.099998,-12.1,,,,0.0,12.1,26.999998,-8.1,18.9,0.0,,,18.899998,0.0,18.9,0.0,0.0,18.9,18.9,,711.599991,0.026667,0.026667,0.0375,734.400009,0.025833,0.025833,0.036667,
03/31/2004,235.0,,-98.699997,,136.300003,,-97.5,,,,,38.799999,-96.400002,,,,0.0,96.400002,-57.600002,-4.5,-62.099998,0.0,,,-62.100002,0.0,-62.099998,0.0,0.0,-62.099998,-62.099998,,715.199982,-0.086667,-0.086667,0.034167,715.199982,-0.086667,-0.086667,0.034167,
06/30/2004,234.600006,,-92.400002,,142.200005,,-101.699997,,,,,40.5,-6.4,,,,0.0,6.4,34.1,-8.6,25.5,0.0,,,25.5,0.0,25.5,0.0,0.0,25.5,25.5,,714.0,0.035833,0.035833,0.0375,745.199982,0.034167,0.034167,0.035833,
09/30/2004,224.800003,,-87.900002,,136.900002,,-101.599998,,,,,35.299999,-15.8,,,,0.0,15.8,19.499999,-7.1,12.4,0.0,,,12.399999,0.0,12.4,0.0,0.0,12.4,12.4,,716.400009,0.0175,0.0175,0.033333,745.199982,0.016667,0.016667,0.031667,
12/31/2004,237.1,,-91.2,,145.9,,-93.8,,,,,52.1,-18.0,,,,0.0,18.0,34.1,-8.2,25.9,0.0,,,25.9,0.0,25.9,0.0,0.0,25.9,25.9,,714.0,0.036667,0.036667,0.040833,777.6,0.035,0.035,0.038333,
03/31/2005,249.1,,-96.2,,152.9,,-110.6,85.6,,,25.0,42.3,0.3,2.8,2.8,,0.0,-3.1,42.6,-11.4,31.2,0.0,,,31.2,0.0,31.2,0.0,0.0,31.2,31.2,,714.0,0.043333,0.043333,0.041667,778.8,0.041667,0.041667,0.04,
06/30/2005,258.2,,-97.9,,160.3,,-114.3,90.1,,,24.2,46.0,-30.7,3.3,,,-0.3,27.7,15.3,-1.4,13.9,0.0,,,13.9,0.0,13.9,0.0,0.0,13.9,13.9,,715.2,0.019167,0.019167,0.044892,748.8,0.018333,0.018333,0.042908,
09/30/2005,240.9,,-90.9,,150.0,,-109.9,61.9,24.0,,48.0,40.1,-24.8,2.2,,,0.1,22.5,15.3,-19.7,-4.4,,,,-4.4,,-4.4,,0.0,-4.4,-4.4,,717.6,-0.005833,-0.005833,0.04,717.6,-0.005833,-0.005833,0.038333,
