Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/30/1989,73.249001,,-38.73,,34.519001,,-26.674,,,,,7.845,-0.415,,,,,0.415,7.43,-3.197,4.233,,,,4.233,,4.233,,,4.233,4.233,,124.751999,0.034167,0.034167,,124.751999,0.034167,0.034167,0.034167,
07/31/1989,85.914001,,-43.784,,42.130001,,-31.750999,,,,,10.379,-0.568,,,,,0.568,9.811,-4.223,5.588,,,,5.588,,5.588,,,5.588,5.588,,125.416,0.045,0.045,,125.416,0.045,0.045,0.045,
10/31/1989,95.115997,,-46.793999,,48.321999,,-34.463001,,,,,13.859,-0.656,,,,,0.656,13.203,-5.694,7.509,,,,7.509,,7.509,,,7.509,7.509,,126.112,0.06,0.06,,126.112,0.06,0.06,0.06,
01/31/1990,129.684998,,-62.973,,66.711998,,-37.818001,,,,,28.893999,-0.951,,,,,0.951,27.942999,-11.968,15.975,,,,15.974999,,15.974998,,,15.974998,15.974998,,125.815992,0.1275,0.1275,0.1275,125.815992,0.1275,0.1275,0.1275,
04/30/1990,93.226997,,-49.287998,,43.938999,,-33.574001,,,,,10.365,-0.884,,,,,0.884,9.481,-4.037,5.444,,,,5.444,,5.444,,,5.444,5.444,,125.807999,0.04375,0.04375,,125.807999,0.04375,0.04375,0.04375,
07/31/1990,107.274002,,-54.669998,,52.604004,,-39.074001,,,,,13.53,-1.165,,,,,1.165,12.365,-5.267,7.098,,,,7.098,,7.098,,,7.098,7.098,,125.975998,0.05625,0.05625,,125.975998,0.05625,0.05625,0.05625,
10/31/1990,113.232002,,-55.952,,57.280003,,-40.314999,,,,,16.965,-1.195,,,,,1.195,15.77,-6.718,9.052,,,,9.052,,9.052,,,9.052,9.052,,125.816002,0.0725,0.0725,,125.816002,0.0725,0.0725,0.0725,
01/31/1991,141.979004,,-72.202003,,69.777001,,-42.831001,,,,,26.945999,-1.087,,4.475,,,-3.388,25.858999,-10.792,15.067,,,,15.066999,,15.067,,,15.067,15.067,,122.868,0.1225,0.1225,0.1225,122.868,0.1225,0.1225,0.1225,
05/01/1991,97.105003,,-51.661999,,45.443005,,-36.380001,,,,,9.063,-1.43,,,,,1.43,7.633,-3.221,4.412,6.335,,,-1.923,0.0,-1.923,,,-1.923,-1.923,,125.648003,-0.015,0.035,,125.648003,-0.015,0.035,0.035,
07/31/1991,119.372002,,-60.347,,59.025002,,-45.251999,,,,,13.773,-1.258,,,,,1.258,12.515,-5.281,7.234,0.0,,,7.234,0.0,7.234,,,7.234,7.234,,126.671997,0.0575,0.0575,,126.671997,0.0575,0.0575,0.0575,
