Date,Assets,Cash & Near Cash Items,Short-Term Investments,Accounts & Notes Receivable,Inventories,Other Current Assets,Total Current Assets,Net Fixed Assets,Gross Fixed Assets,Accumulated Depreciation,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Liabilities & Shareholders' Equity,Accounts Payable,Short-Term Borrowings,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,,147.835007,,145.464996,218.686996,64.836998,576.823975,227.218994,539.491028,-312.272003,231.544006,458.763,1035.587036,,164.139008,51.716,69.175003,285.029999,147.475998,90.792,238.267998,523.297997,0,322.151001,190.138,512.289001,1035.586998,
06/30/1990,,231.018997,,129.438995,217.843994,37.359001,615.661011,231.259003,551.234985,-319.976013,197.899994,429.158997,1044.819946,,158.550003,51.716999,56.577,266.843994,147.311005,98.030998,245.342003,512.185997,0,322.614014,210.020004,532.634018,1044.820015,
09/30/1990,,33.987,,149.473007,240.589005,41.028999,465.078003,290.462006,622.52002,-332.058014,308.001007,598.463013,1063.541016,,175.554993,52.616001,58.349998,286.520996,118.563004,105.016998,223.580002,510.100998,0,322.821991,230.617996,553.439987,1063.540985,
12/31/1990,,6.3,64.0,134.330002,221.188004,42.105,467.923004,303.255005,640.255005,-337.0,329.096008,632.351013,1100.274048,,110.099998,66.75,105.265999,282.115997,129.561996,108.360001,237.921997,520.037994,0,322.959991,257.276001,580.235992,1100.273986,
03/31/1991,,160.787003,,130.931,220.389008,30.466999,542.573975,294.748993,633.262024,-338.513,318.404999,613.153992,1155.728027,,172.212997,62.354,39.481998,274.049011,230.526001,99.898003,330.424004,604.473015,0,322.488007,228.766998,551.255005,1155.72802,
06/30/1991,,163.904007,,133.082001,196.001007,27.120001,520.106995,287.94101,624.781006,-336.839996,295.804993,583.746002,1103.853027,,158.214005,63.887001,37.792,259.893005,228.285004,97.905998,326.191002,586.084007,0,322.658997,195.110001,517.768997,1103.853004,
09/30/1991,,154.889008,,125.379997,189.608994,36.674,506.552002,289.281006,637.710022,-348.428986,284.878998,574.160004,1080.712036,,171.593002,61.866001,42.229,275.687988,216.695999,98.785004,315.481003,591.168991,0,322.81601,166.727005,489.543015,1080.712006,
12/31/1991,,12.996,170.300003,119.5,184.022995,33.591,520.409973,283.806,599.705994,-315.899994,315.734009,599.540009,1119.949951,,103.778999,78.582001,145.294998,327.656006,216.949005,337.846008,554.795013,882.451019,0,322.950012,-85.450996,237.499016,1119.950035,
03/31/1992,,158.076004,,131.412994,184.345993,52.230999,526.065979,288.274994,653.234009,-364.959015,377.148987,665.423981,1191.48999,,189.188995,77.023003,53.179001,319.390991,210.001999,349.792999,559.794998,879.185989,0,322.984009,-10.68,312.304008,1191.489998,
06/30/1992,,182.962006,,86.403,105.551003,112.709999,487.626007,245.371002,556.302979,-310.932007,349.151001,594.522003,1082.147949,,117.897003,74.958,56.034,248.889008,211.908997,311.112,523.020996,771.910004,0,322.996002,-12.758,310.238002,1082.148005,
09/30/1992,,235.983002,,89.322998,104.578003,40.554001,470.437988,234.035995,560.405029,-326.368988,332.929993,566.965988,1037.404053,,110.100998,64.296997,51.144001,225.542007,191.889008,330.436005,522.325012,747.86702,0,323.049988,-33.513,289.536987,1037.404007,
12/31/1992,,11.524,180.399994,67.196999,100.817001,36.187,396.125,216.195999,489.0,-272.803986,346.369995,562.565994,958.690979,,56.099998,45.390999,85.377998,186.869003,186.628998,332.605988,519.234986,706.103989,0,323.164001,-70.577003,252.586998,958.690987,
