Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investment & Loan Inc (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,89.681001,59.301001,147.402998,116.599998,30.802999,-88.101997,30.38,6.942,,,,18.024,5.414,-23.962,65.719001,-60.709001,2.377,58.332001,5.01,0.0,0.0,5.01,-1.54,,3.47,0.0,,,3.47,0.0,3.47,0.0,,3.47,3.47,,114.806095,0.030546,0.030546,,114.806095,0.030546,0.030546,0.030546,
06/30/1990,95.674003,59.028004,148.529003,116.396004,32.132999,-89.500999,36.645999,10.197,,,,18.993,7.456,-9.274,86.400003,-62.26,2.351,59.909,24.139999,0.0,0.0,24.139999,-7.949,,16.191,0.0,,,16.191,0.0,16.191,0.0,,16.191,16.191,,114.857273,0.140233,0.140233,,114.857273,0.140233,0.140233,0.140233,
09/30/1990,93.598999,61.154999,149.951996,117.838997,32.112999,-88.796997,32.444,7.87,,,,19.16,5.414,-9.486,84.112998,-63.344,2.871,60.473,20.768999,0.0,0.0,20.768999,-5.827,,14.942,0.0,,,14.941999,0.0,14.942,0.0,,14.942,14.942,,114.875241,0.130514,0.130514,,114.875241,0.130514,0.130514,0.130514,
12/31/1990,101.115995,63.155994,154.359996,119.365997,34.993999,-91.204002,37.960001,-26.997,,,,61.957001,3.0,-20.921,80.194995,-68.967003,,68.967003,11.228,2.152,-2.152,13.38,-0.118,,13.262,0.0,,,13.262,0.0,13.262,0.0,,13.262,13.262,,113.709552,0.11663,0.11663,0.11663,113.709552,0.11663,0.11663,0.11663,
03/31/1991,99.728999,62.971001,144.501999,112.004997,32.497002,-81.530998,36.757998,0.134,,,,32.634998,3.989,-14.497,85.231999,-64.819,,64.819,20.413,,,20.413,-6.358,,14.055,0.0,,,14.055,0.0,14.055,0.0,,14.055,14.055,,113.205396,0.123572,0.123572,,113.205396,0.123572,0.123572,0.123572,
06/30/1991,105.216003,64.574003,142.561003,110.870003,31.691,-77.987,40.642,-0.771,,,,36.201,5.212,-14.0,91.216003,-71.393997,,71.393997,19.822001,,,19.822001,-4.223,,15.599,0.0,,,15.599,0.0,15.599,0.0,,15.599,15.599,,113.407058,0.137457,0.137457,,113.407058,0.137457,0.137457,0.137457,
09/30/1991,112.541005,66.506004,144.745003,109.748001,34.997002,-78.238998,46.035001,-0.412,,,,41.742001,4.705,-12.548,99.993005,-77.702003,,77.702003,22.291,-0.645,0.645,21.646,-5.15,,16.496,0.0,,,16.496,0.0,16.496,0.0,,16.496,16.496,,114.062463,0.145787,0.145787,,114.062463,0.145787,0.145787,0.145787,
12/31/1991,152.506999,84.742,208.787998,147.240997,61.547001,-124.045998,67.764999,0.196,,,,62.592999,4.976,-12.898,139.608999,-94.971002,16.1,78.871002,44.638,-6.455,6.455,38.183,-11.311,,26.872,0.0,,,26.872,0.0,26.872,0.0,,26.872,26.872,,114.105677,0.236036,0.236036,0.236036,114.105677,0.236036,0.236036,0.236036,
03/31/1992,130.341999,77.416,154.615997,105.601997,49.014,-77.199997,52.925999,-0.485,,,,47.272999,6.138,-11.41,118.931999,-82.228996,,82.228996,36.702999,0.0,0.0,36.702999,-11.951,,24.752001,0.0,,,24.751999,0.0,24.752001,0.0,,24.752001,24.752001,,133.71028,0.185358,0.185358,,133.71028,0.185358,0.185358,0.185358,
06/30/1992,138.283005,80.236004,152.003002,102.175003,49.827999,-71.766998,58.047001,0.195,,,,51.908001,5.944,-10.557,127.726004,-88.797997,,88.797997,38.928001,0.0,0.0,38.928001,-12.849,,26.079,0.0,,,26.079001,0.0,26.079,0.0,,26.079,26.079,,134.140013,0.193689,0.193689,,134.140013,0.193689,0.193689,0.193689,
09/30/1992,140.342002,81.732002,146.821999,98.531998,48.290001,-65.089996,58.609999,-0.603,,,,53.667999,5.545,-10.744,129.598001,-90.004997,,90.004997,39.592999,0.0,0.0,39.592999,-13.056,,26.537001,0.0,,,26.536999,0.0,26.537001,0.0,,26.537001,26.537001,,134.548138,0.197854,0.197854,,134.548138,0.197854,0.197854,0.197854,
