Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1989,14.897,2.313,1.128,1.185,4.606,,,0.0,,,,,0.783,,,,,,,7.702,2.605,,,0.0,4.59,,,,,4.59,7.195,,1.211,1.211,,,,0.148,,,,,,3.513,,,,3.513,4.872,0.296,,,,,0.312,,,,,0.312,0.608,5.48,0.0,6.367,,,-0.516,,3.566,9.417,0.0,9.417,14.897,
12/31/1989,15.208,3.631,2.467,1.164,3.817,,,0.0,,,,,0.772,,,,,,,8.22,2.635,,,0.0,4.353,,,,,4.353,6.988,,1.43,1.43,,,,0.148,,,,,,3.754,,,,3.754,5.332,0.148,,,,,0.312,,,,,0.312,0.46,5.792,0.0,6.367,,,-0.691,,3.74,9.416,0.0,9.416,15.208,
03/31/1990,14.584,3.43,2.249,1.181,3.888,,,0.0,,,,,0.753,,,,,,,8.071,2.556,,,0.0,3.957,,,,,3.957,6.513,,1.319,1.319,,,,0.148,,,,,,3.041,,,,3.041,4.508,0.148,,,,,0.312,,,,,0.312,0.46,4.968,0.0,6.367,,,-0.734,,3.983,9.616,0.0,9.616,14.584,
06/30/1990,14.383,2.738,1.59,1.148,3.286,,,0.0,,,,,1.12,,,,,,,7.144,2.548,4.64,-2.092,2.075,2.616,,,,,2.616,7.239,,0.402,0.402,,,,0.148,,,,,,4.565,,,,4.565,5.115,0.148,,,,,0.585,,,,,0.585,0.733,5.848,0.0,6.37,,,-0.734,,2.899,8.535,0.0,8.535,14.383,
09/30/1990,15.257,5.956,3.505,2.451,1.847,,,0.0,,,,,0.536,,,,,,,8.339,2.427,,,2.052,2.439,,,,,2.439,6.918,,1.492,1.492,,,,0.148,,,,,,4.435,,,,4.435,6.075,0.148,,,,,0.585,,,,,0.585,0.733,6.808,0.0,6.37,,,-0.734,,2.813,8.449,0.0,8.449,15.257,
12/31/1990,14.745,5.669,1.113,4.556,2.257,,,0.0,,,,,0.257,,,,,,,8.183,2.333,,,2.036,2.193,,,,,2.193,6.562,,1.38,1.38,,,,0.148,,,,,,3.88,,,,3.88,5.408,0.0,,,,,0.585,,,,,0.585,0.585,5.993,0.0,6.37,,,-0.734,,3.116,8.752,0.0,8.752,14.745,
03/31/1991,13.422,5.435,0.83,4.605,1.309,,,0.0,,,,,0.39,,,,,,,7.134,2.209,,,2.031,2.048,,,,,2.048,6.288,,0.245,0.245,,,,0.148,,,,,,3.426,,,,3.426,3.819,0.0,,,,,0.585,,,,,0.585,0.585,4.404,0.0,6.37,,,-0.734,,3.382,9.018,0.0,9.018,13.422,
06/30/1991,17.615,5.731,1.135,4.596,5.23,,,0.0,,,,,0.612,,,,,,,11.573,2.134,4.81,-2.676,1.999,1.909,,,,,1.909,6.042,,1.65,1.65,,,,0.0,,,,,,6.51,,,,6.51,8.16,0.0,,,,,0.291,,,,,0.291,0.291,8.451,0.0,6.37,,,-0.734,,3.528,9.164,0.0,9.164,17.615,
09/30/1991,16.718,7.162,2.511,4.651,1.551,,,0.0,,,,,0.625,,,,,,,9.338,2.082,,,1.974,3.324,,,,,3.324,7.38,,0.691,0.691,,,,0.0,,,,,,6.05,,,,6.05,6.741,0.0,,,,,0.291,,,,,0.291,0.291,7.032,0.0,6.371,,,-0.729,,4.044,9.686,0.0,9.686,16.718,
12/31/1991,17.688999,7.81,3.7,4.11,1.841,,,0.0,,,,,0.685,,,,,,,10.336,2.059,,,1.96,3.334,,,,,3.334,7.353,,1.287,1.287,,,,0.0,,,,,,5.804,,,,5.804,7.091,0.0,,,,,0.291,,,,,0.291,0.291,7.382,0.0,6.373,,,-0.727,,4.661,10.307,0.0,10.307,17.689,
03/31/1992,17.582001,6.764,0.562,6.202,1.879,,,0.0,,,,,0.816,,,,,,,9.459,2.245,,,1.917,3.961,,,,,3.961,8.123,,1.155,1.155,,,,0.0,,,,,,4.849,,,,4.849,6.004,0.0,,,,,0.291,,,,,0.291,0.291,6.295,0.0,6.529,,,-0.532,,5.29,11.287,0.0,11.287,17.582,
06/30/1992,22.077999,8.751,1.546,7.205,5.873,,,0.0,,,,,0.997,,,,,,,15.621,2.133,5.276,-3.143,1.901,2.423,,,,,2.423,6.457,,2.041,2.041,,,,0.0,,,,,,7.344,,,,7.344,9.385,0.0,,,,,0.3,,,,,0.3,0.3,9.685,0.0,6.792,,,-0.415,,6.016,12.393,0.0,12.393,22.078,
09/30/1992,21.378,9.247,4.122,5.125,2.05,,,0.0,,,,,1.099,,,,,,,12.396,4.518,,,1.885,2.579,,,,,2.579,8.982,,1.438,1.438,,,,0.0,,,,,,6.467,,,,6.467,7.905,0.0,,,,,0.3,,,,,0.3,0.3,8.205,0.0,6.798,,,-0.372,,6.747,13.173,0.0,13.173,21.378,
12/31/1992,26.129999,10.504,5.911,4.593,5.078,,,0.0,,,,,1.34,,,,,,,16.922001,4.685,,,,4.523,,,,,4.523,9.208,,4.108,4.108,,,,0.0,,,,,,6.748,,,,6.748,10.856,0.0,,,,,0.3,,,,,0.3,0.3,11.156,0.0,6.492,,,-0.004,,8.486,14.974,0.0,14.974,26.13,
03/31/1993,23.361,8.525,3.927,4.598,2.734,,,0.0,,,,,1.5,,,,,,,12.759,5.04,,,0.0,5.562,,,,,5.562,10.602,,1.57,1.57,,,,0.0,,,,,,5.358,,,,5.358,6.928,0.0,,,,,0.3,,,,,0.3,0.3,7.228,0.0,6.816,,,0.0,,9.317,16.133,0.0,16.133,23.361,
06/30/1993,29.908001,9.412,4.843,4.569,8.158,,,0.0,,,,,1.827,,,,,,,19.396999,5.014,8.162,-3.148,2.682,2.815,,,,,2.815,10.511,,2.358,2.358,,,,0.0,,,,,,9.645,,,,9.645,12.003,0.0,,,,,0.266,,,,,0.266,0.266,12.269,0.0,7.243,,,0.0,,10.396,17.639,0.0,17.639,29.908,
09/30/1993,31.202,12.308,2.458,9.85,4.132,,,0.0,,,,,1.397,,,,,,,17.837,5.378,,,1.914,6.073,,,,,6.073,13.365,,2.294,2.294,,,,0.0,,,,,,7.918,,,,7.918,10.212,0.0,,,,,0.266,,,,,0.266,0.266,10.478,0.0,9.411,,,0.0,,11.313,20.724,0.0,20.724,31.202,
12/31/1993,33.362999,12.86,3.03,9.83,5.886,,,0.0,,,,,1.679,,,,,,,20.424999,5.21,,,1.939,5.789,,,,,5.789,12.938,,3.191,3.191,,,,0.0,,,,,,7.96,,,,7.96,11.151,0.0,,,,,0.266,,,,,0.266,0.266,11.417,0.0,9.482,,,0.0,,12.464,21.946,0.0,21.946,33.363,
03/31/1994,32.193001,12.437,2.635,9.802,4.808,,,0.0,,,,,2.008,,,,,,,19.253,5.495,,,1.957,5.488,,,,,5.488,12.94,,2.053,2.053,,,,0.0,,,,,,6.896,,,,6.896,8.949,0.0,,,,,0.266,,,,,0.266,0.266,9.215,0.0,9.775,,,0.0,,13.203,22.978,0.0,22.978,32.193,
06/30/1994,38.347,11.671,1.942,9.729,11.384,,,0.0,,,,,2.126,,,,,,,25.181,7.022,10.913,-3.891,1.71,4.434,,,,,4.434,13.166,,2.086,2.086,,,,0.0,,,,,,11.914,,,,11.914,14.0,0.0,,,,,0.697,,,,,0.697,0.697,14.697,0.0,9.216,,,0.0,,14.434,23.65,0.0,23.65,38.347,
09/30/1994,37.715,15.213,3.489,11.724,5.068,,,0.0,,,,,2.383,,,,,,,22.664,7.45,,,1.464,6.137,,,,,6.137,15.051,,1.286,1.286,,,,0.0,,,,,,10.746,,,,10.746,12.032,0.0,,,,,0.717,,,,,0.717,0.717,12.749,0.0,9.241,,,0.0,,15.725,24.966001,0.0,24.966001,37.715,
12/31/1994,38.923,13.993,2.772,11.221,7.106,,,0.0,,,,,2.297,,,,,,,23.396,8.184,,,1.447,5.896,,,,,5.896,15.527,,2.245,2.245,,,,0.0,,,,,,9.541,,,,9.541,11.786,0.0,,,,,0.717,,,,,0.717,0.717,12.503,0.0,9.273,,,0.0,,17.146999,26.419999,0.0,26.419999,38.922999,
03/31/1995,37.747002,14.325,3.151,11.174,5.682,,,0.0,,,,,2.302,,,,,,,22.309,8.275,,,1.472,5.691,,,,,5.691,15.438,,2.041,2.041,,,,0.0,,,,,,7.426,,,,7.426,9.467,0.0,,,,,0.717,,,,,0.717,0.717,10.184,0.0,9.316,,,0.0,,18.247,27.563,0.0,27.563,37.747,
06/30/1995,58.721001,8.073,3.423,4.65,16.74,,,0.0,,,,,2.661,,,,,,,27.474001,10.302,15.13,-4.828,1.415,19.530001,,,,,19.530001,31.247001,,5.124,5.124,,,,0.0,,,,,,23.015999,,,,23.015999,28.139999,0.0,,,,,1.097,,,,,1.097,1.097,29.236999,0.0,9.542,,,0.0,,19.941999,29.483999,0.0,29.483999,58.720999,
09/30/1995,51.422001,8.621,5.012,3.609,6.778,,,0.0,,,,,2.893,,,,,,,18.292,11.917,,,1.646,19.566999,,,,,19.566999,33.129999,,1.918,1.918,,,,0.0,,,,,,16.829999,,,,16.829999,18.747999,0.0,,,,,1.097,,,,,1.097,1.097,19.844999,0.0,9.213,,,0.0,,22.364,31.577001,0.0,31.577001,51.422,
12/31/1995,50.613998,7.951,5.361,2.59,6.16,,,0.0,,,,,3.069,,,,,,,17.18,12.825,,,1.003,19.606001,,,,,19.606001,33.434001,,1.21,1.21,,,,0.0,,,,,,14.741,,,,14.741,15.951,0.0,,,,,0.986,,,,,0.986,0.986,16.937,0.0,9.231,,,0.0,,24.445999,33.676999,0.0,33.676999,50.613999,
03/31/1996,52.636002,7.206,4.573,2.633,8.362,,,0.0,,,,,3.18,,,,,,,18.747999,13.705,,,1.003,19.18,,,,,19.18,33.888,,2.439,2.439,,,,0.0,,,,,,13.508,,,,13.508,15.947,0.0,,,,,0.986,,,,,0.986,0.986,16.933,0.0,9.318,,,0.0,,26.385,35.703,0.0,35.703,52.636,
06/30/1996,60.401001,8.08,4.952,3.128,15.99,,,0.0,,,,,4.076,,,,,,,28.146,13.612,19.493,-5.881,0.0,18.643,,,,,18.643,32.255,,2.238,2.238,,,,0.0,,,,,,19.013,,,,19.013,21.250999,0.0,,,,,1.732,,,,,1.732,1.732,22.982999,0.0,10.83,,,0.0,,26.587999,37.417999,0.0,37.417999,60.400999,
09/30/1996,60.785999,13.744,10.662,3.082,8.429,,,0.0,,,,,3.248,,,,,,,25.421,16.705,,,0.618,18.042,,,,,18.042,35.365,,1.586,1.586,,,,0.0,,,,,,17.217,,,,17.217,18.802999,0.0,,,,,1.732,,,,,1.732,1.732,20.534999,0.0,12.695,,,0.0,,27.556,40.250999,0.0,40.250999,60.785999,
12/31/1996,61.386002,12.717,5.557,7.16,9.279,,,0.0,,,,,3.474,,,,,,,25.469999,17.628,,,,18.288,,,,,18.288,35.916,,2.103,2.103,,,,0.0,,,,,,14.944001,,,,14.944001,17.047001,0.0,,,,,1.732,,,,,1.732,1.732,18.779001,0.0,12.649,,,-0.388,,30.346,42.607,0.0,42.607,61.386001,
03/31/1997,61.321999,12.469,6.502,5.967,8.293,,,0.0,,,,,3.727,,,,,,,24.489,18.938,,,0.0,17.895,,,,,17.895,36.833,,2.123,2.123,,,,0.0,,,,,,12.247,,,,12.247,14.37,0.0,,,,,1.732,,,,,1.732,1.732,16.102,0.0,12.922,,,-0.738,,33.036,45.22,0.0,45.22,61.322,
06/30/1997,82.069,13.867,7.948,5.919,22.702999,,,0.0,,,,,6.159,,,,,,,42.729,21.868999,29.74,-7.871,0.0,17.471001,,,,,17.471001,39.34,,2.911,2.911,,,,0.0,,,,,,24.328,,,,24.328,27.239,0.0,,,,,2.048,,,,,2.048,2.048,29.287,0.0,14.929,,,-0.293,,38.146001,52.782001,0.0,52.782001,82.069001,
09/30/1997,81.872002,25.654001,21.804001,3.85,11.816,,,0.0,,,,,4.31,,,,,,,41.779999,22.93,32.223,-9.293,0.0,17.162001,,,,,17.162001,40.092001,,2.302,2.302,,,,0.0,,,,,,21.806999,,,,21.806999,24.108999,0.0,,,,,2.048,,,,,2.048,2.048,26.156999,0.0,14.911,,,0.0,,40.804001,55.715001,0.0,55.715001,81.872,
12/31/1997,89.014,24.215999,20.747999,3.468,16.896999,,,0.0,,,,,4.53,,,,,,,45.643002,23.445,36.641998,-13.197,0.0,19.926001,,,,,19.926001,43.371,,4.641,4.641,,,,0.0,,,,,,20.511001,,,,20.511001,25.152,0.0,,,,,2.048,,,,,2.048,2.048,27.200001,0.0,16.916,,,0.0,,44.897999,61.813999,0.0,61.813999,89.014,
03/31/1998,86.739998,23.278,20.26,3.018,14.103,,,0.0,,,,,5.131,,,,,,,42.512001,24.605,35.32,-10.715,0.0,19.622999,,,,,19.622999,44.227999,,1.876,1.876,,,,0.0,,,,,,16.277,,,,16.277,18.153,0.0,,,,,2.048,,,,,2.048,2.048,20.201,0.0,17.666,,,0.0,,48.873001,66.539001,0.0,66.539001,86.740001,
06/30/1998,131.962,27.9,24.671,3.229,42.56,42.56,,0.0,,,,,11.648,,,,,,,82.108,30.917,43.853,-12.936,0.0,18.937,18.11,,,,0.827,49.854,,8.097,8.097,,,,0.0,,,,,,38.888,,,,38.888,46.985,0.0,,,,,2.365,,,,,2.365,2.365,49.35,0.0,26.404,,,0.0,56.208,0.0,82.612,0.0,82.612,131.962,
