Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2011,-1500,676,219,-304,59,-363,-2091,-453,-2903,1572,-307,0.0,-133,-134,31,31.0,0.0,-165,-165,0,0,0,0,0,0,0,0,1,1633,0,-6,0.0,0.0,-6.0,0,0.0,0,1639,0,0,,,
06/30/2011,3038,1039,226,-72,326,-398,1845,280,1072,268,225,0.0,276,-172,56,56.0,0.0,-228,-228,0,0,0,0,0,0,0,0,448,-3314,0,-7,0.0,0.0,-7.0,0,0.0,0,-3307,0,0,,,
09/30/2011,737,1049,222,549,188,361,-1083,-724,-211,23,-171,0.0,14,-143,117,117.0,0.0,-260,-260,0,0,0,0,0,0,0,0,157,-751,0,-7,0.0,0.0,-7.0,0,0.0,0,-744,0,0,,,
12/31/2011,2731,2011,241,-1166,358,-1524,1645,711,2658,-1805,81,0.0,2335,2054,2423,2423.0,0.0,-369,-369,0,0,0,0,0,0,0,0,281,-5066,0,-6,0.0,0.0,-6.0,0,0.0,0,-5060,0,0,,,
03/31/2012,-361,636,216,-310,169,-479,-903,-1291,-1518,1996,-90,0.0,-212,-212,6,6.0,0.0,-218,-218,0,0,0,0,0,0,0,0,0,573,0,-263,-6050.0,5794.0,-7.0,0,0.0,0,836,0,0,30.0,3.0,
06/30/2012,1434,1181,224,55,9,46,-26,1955,-528,-2029,576,0.0,-36,-36,234,234.0,0.0,-270,-270,0,0,0,0,0,0,0,0,0,1703,0,1809,,2000.0,-191.0,2,2.0,0,-6158,3,3104,77.0,3.0,
09/30/2012,1918,1599,229,-81,-67,-14,171,-1341,-207,1945,-226,0.0,-420,-320,19,19.0,0.0,-339,-339,0,0,0,0,0,0,0,0,-100,-196,-125,-8,0.0,0.0,-8.0,-90,21.0,-111,-1973,24,1326,,,
12/31/2012,1305,708,237,753,110,643,-382,545,2313,-2897,-343,0.0,-867,-847,27,27.0,0.0,-874,-874,0,0,0,0,0,0,0,0,0,-1381,-157,-8798,,,,-221,24.0,-245,7795,-13,-956,,,
03/31/2013,2213,1407,242,157,82,75,400,283,-2443,2465,95,0.0,-323,-373,9,9.0,0.0,-382,-382,0,0,0,0,0,0,0,0,55,-585,-194,-3,0.0,0.0,-3.0,-388,0.0,-388,0,-26,1279,83.0,15.0,
06/30/2013,968,958,234,-16,79,-95,-201,128,778,-832,-275,0.0,-266,-316,60,60.0,0.0,-376,-376,0,0,0,0,0,0,0,0,45,-1241,-192,-502,0.0,0.0,-502.0,-543,0.0,-543,-4,6,-533,813.0,117.0,
