Date,Level 2 Assets,Total FV Assets,Level 2 Liabilities,Total FV Liabilities,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
06/30/2008,0.469,0.469,7.459,7.459,-0.11917,-0.11917,0.0331,0.0331,
09/30/2008,,,10.434,10.434,,,,,
