Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2015,2991.0,2991.0,-2437.0,2437.0,554.0,0.0,-468.0,210.0,46.0,137.0,75.0,86,-104.0,,122.0,,,-18.0,-18.0,-175.0,-193,572.0,572.0,0.0,-765.0,64.0,-701,-17.0,0.0,-718,99.849023,245.849023,436.703833,-1.644135,-0.334323,0.228642,436.703833,-1.644135,-0.334323,0.228642,
03/31/2016,3055.0,3055.0,-2400.0,2400.0,655.0,0.0,-385.0,205.0,31.0,133.0,16.0,270,-109.0,,121.0,,,-12.0,161.0,-51.0,110,99.0,99.0,0.0,11.0,5.0,16,-18.0,0.0,-2,119.689655,22.689655,437.893859,0.0,0.21,0.27333,437.893859,0.0,0.21,0.261815,
06/30/2016,3234.0,3234.0,-2533.0,2533.0,701.0,0.0,-418.0,239.0,32.0,133.0,14.0,283,-107.0,,124.0,,,-17.0,176.0,-123.0,53,-125.0,-125.0,0.0,178.0,-43.0,135,-17.0,2.0,120,108.66102,113.66102,438.0,0.269189,-0.015969,0.248085,452.0,0.269189,-0.015969,0.235493,
09/30/2016,3138.0,3138.0,-2503.0,2503.0,635.0,0.0,-398.0,229.0,30.0,136.0,3.0,237,-115.0,,126.0,,,-11.0,122.0,-56.0,66,-120.0,-120.0,0.0,186.0,-20.0,166,-18.0,2.0,150,39.8,9.8,438.0,0.342466,0.11,0.090868,453.0,0.331126,0.066225,0.087859,
12/31/2016,2967.0,2967.0,-2375.0,2375.0,592.0,0.0,-563.0,269.0,39.0,133.0,122.0,29,-74.0,,128.0,,,-54.0,-45.0,-1246.0,-1291,-38.0,-38.0,0.0,-1253.0,-5.0,-1258,-17.0,0.0,-1275,108.132258,1421.132258,438.486935,-2.91,-2.98,0.246603,438.486935,-2.91,-2.98,0.246603,
03/31/2017,3192.0,3192.0,-2458.0,2458.0,734.0,0.0,-451.0,217.0,28.0,133.0,73.0,283,201.0,111.0,115.0,-4.0,-5.0,-307.0,484.0,-162.0,322,0.0,0.0,0.0,322.0,,322,-17.0,0.0,305,120.0,-185.0,439.93309,0.69,0.69,0.272769,499.453809,0.65,0.65,0.272769,
06/30/2017,3261.0,3261.0,-2549.0,2549.0,712.0,0.0,-392.0,200.0,29.0,137.0,26.0,320,-51.0,175.0,183.0,-8.0,-2.0,-122.0,269.0,-57.0,212,0.0,0.0,0.0,212.0,,212,-18.0,0.0,194,147.000001,-46.999999,441.0,0.44,0.44,0.333333,462.0,0.43,0.43,0.328268,
09/30/2017,3236.0,3236.0,-2591.0,2591.0,645.0,0.0,-335.0,152.0,24.0,140.0,19.0,310,-138.0,95.0,100.0,-5.0,-1.0,44.0,172.0,-53.0,119,0.0,0.0,0.0,119.0,,119,-18.0,2.0,103,122.65,19.65,442.0,0.23,0.23,0.277489,462.0,0.22,0.22,0.262532,
12/31/2017,3271.0,3271.0,-2623.0,2623.0,648.0,0.0,-1081.0,146.0,28.0,141.0,766.0,-433,-22.0,92.0,98.0,-6.0,-1.0,-69.0,-455.0,-272.0,-727,0.0,0.0,0.0,-727.0,,-727,0.0,0.0,-727,152.0,879.0,481.33909,-1.51,-1.51,0.315786,481.33909,-1.51,-1.51,0.315786,
03/31/2018,3445.0,3445.0,-2768.0,2768.0,677.0,0.0,-344.0,172.0,23.0,142.0,7.0,333,-134.0,108.0,114.0,-6.0,-3.0,29.0,199.0,-56.0,143,0.0,0.0,0.0,143.0,,143,-1.0,0.0,142,170.37,28.37,482.0,0.3,0.3,0.353465,503.0,0.29,0.29,0.346402,
06/30/2018,3573.0,3573.0,-2903.0,2903.0,670.0,0.0,-346.0,158.0,29.0,144.0,15.0,324,-130.0,85.0,89.0,-4.0,17.0,28.0,194.0,-74.0,120,0.0,0.0,0.0,120.0,,120,0.0,0.0,120,186.58,66.58,483.0,0.25,0.25,0.386294,502.0,0.24,0.24,0.372629,
09/30/2018,3524.0,3524.0,-2881.0,2881.0,643.0,0.0,-298.0,134.0,25.0,141.0,-2.0,345,-96.0,82.0,88.0,-6.0,6.0,8.0,249.0,-88.0,161,0.0,0.0,0.0,161.0,,161,-1.0,3.0,163,163.95,0.95,483.0,0.33,0.33,0.339441,502.0,0.32,0.32,0.321892,
12/31/2018,3472.0,3472.0,-2845.0,2845.0,627.0,0.0,-304.0,140.0,26.0,149.0,-11.0,323,-97.0,80.0,87.0,-7.0,40.0,-23.0,226.0,-8.0,218,0.0,0.0,0.0,218.0,,218,0.0,0.0,218,134.0,-84.0,483.239287,0.45,0.45,0.277295,503.018904,0.44,0.44,0.273008,
03/31/2019,3541.0,3541.0,-2818.0,2818.0,723.0,0.0,-349.0,178.0,22.0,137.0,12.0,374,-117.0,75.0,85.0,-10.0,0.0,42.0,257.0,-70.0,187,0.0,0.0,0.0,187.0,,187,-1.0,0.0,186,208.579992,22.579992,471.0,0.4,0.4,0.442845,489.0,0.39,0.39,0.436176,
06/30/2019,1818.0,1818.0,-1335.0,1335.0,483.0,0.0,-659.0,102.0,7.0,78.0,472.0,-176,-92.0,86.0,86.0,0.0,,6.0,-268.0,132.0,-136,-15.0,-15.0,0.0,-121.0,,-121,0.0,0.0,-121,197.405728,333.405728,445.0,-0.27191,-0.31,0.443608,445.0,-0.27191,-0.31,0.439226,
09/30/2019,3559.0,3559.0,-2800.0,2800.0,759.0,0.0,-433.0,167.0,16.0,131.0,119.0,326,-117.0,81.0,86.0,-5.0,7.0,29.0,209.0,-114.0,95,0.0,0.0,0.0,95.0,,95,-1.0,3.0,97,262.0,165.0,436.0,0.22,0.22,0.600917,457.0,0.21,0.21,0.57105,
12/31/2019,3401.0,3401.0,-2670.0,2670.0,731.0,0.0,-315.0,181.0,15.0,129.0,-10.0,416,-112.0,78.0,82.0,-4.0,0.0,34.0,304.0,5.0,309,0.0,0.0,0.0,309.0,,309,0.0,0.0,309,198.121622,-110.878378,432.802445,0.71,0.71,0.457765,441.941647,0.7,0.7,0.449111,
