Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2007,1924,,,-1766,,158,,-54,,,,104,-925,80.0,,80,0.0,845,-821,679,-142,0.0,,,-142,0.0,-142,0,0,-142,-142.0,52.0,473.333,-0.3,-0.3,-0.19,473.333,-0.3,-0.3,-0.19,
03/31/2008,1951,,,-1637,,314,,-396,48.0,,348.0,-82,-137,406.0,419.0,-13,,-269,-219,5,-214,0.0,,,-214,,-214,0,0,-214,-214.0,,485.0,-0.44,-0.44,-0.44,485.0,-0.44,-0.44,-0.44,
06/30/2008,2828,,,-2038,,790,,-357,48.0,,309.0,433,-211,192.0,206.0,-14,,19,222,-25,197,,,,197,,197,0,0,197,197.0,,485.004,0.41,0.41,0.41,485.732,0.41,0.41,0.41,
09/30/2008,3190,,,-2348,,842,,-391,,,,451,-396,201.0,212.0,-11,0.0,195,55,80,135,0.0,,,135,1.0,136,0,0,136,136.0,,485.073,0.28,0.28,0.64,485.741,0.28,0.28,0.64,
12/31/2008,1968,,,-1372,,596,,-531,,,,65,-234,,234.0,-9,0.0,9,-169,-13,-132,-23.0,,,-159,0.0,-109,0,0,-109,-109.0,,495.455,-0.22,-0.27,-0.27,495.455,-0.22,-0.27,-0.27,
03/31/2009,1677,1677.0,,-1038,1038.0,639,0.0,-388,45.0,109.0,234.0,251,-211,204.0,210.0,-6,,7,40,-9,31,0.0,0.0,0.0,31,1.0,32,0,0,32,-52.1,-84.1,485.362,0.07,0.07,-0.107343,485.595,0.07,0.07,-0.107343,
06/30/2009,1445,1445.0,,-942,942.0,503,0.0,-344,48.0,108.0,188.0,159,-234,199.0,203.0,-4,,35,-75,-15,-90,-11.0,-11.0,0.0,-79,1.0,-78,0,0,-78,-3.45,85.55,485.675,-0.16,-0.18,-0.007104,485.675,-0.16,-0.18,-0.007104,
09/30/2009,1822,1822.0,,-1049,1049.0,773,0.0,-350,38.0,104.0,208.0,423,-204,192.0,195.0,-3,,12,219,7,226,-11.0,-11.0,0.0,237,1.0,238,0,0,238,220.5,-6.5,485.736,0.49,0.47,0.45395,486.585,0.49,0.47,0.45395,
12/31/2009,1544,1544.0,,-930,930.0,614,0.0,-417,50.0,132.0,235.0,197,-244,208.0,211.0,-3,,36,-47,2,-45,-1.0,-1.0,0.0,-44,1.0,-43,0,0,-43,-55.2,-11.2,485.776,-0.09,-0.09,-0.113633,485.776,-0.09,-0.09,-0.113633,
03/31/2010,1514,1514.0,,-969,969.0,545,0.0,-395,22.0,136.0,237.0,150,-195,179.0,181.0,-2,,16,-45,-11,-56,-8.0,-8.0,0.0,-48,1.0,-47,0,0,-47,-128.45,-73.45,485.921,-0.1,-0.11,-0.264343,485.921,-0.1,-0.11,-0.264343,
06/30/2010,1430,1430.0,,-928,928.0,502,0.0,-394,53.0,132.0,209.0,108,-220,212.0,216.0,-4,,8,-112,-6,-118,-4.0,-4.0,0.0,-114,-1.0,-115,0,0,-115,-86.5,32.5,486.057,-0.24,-0.25,-0.177963,486.057,-0.24,-0.25,-0.183135,
09/30/2010,2130,2130.0,,-1163,1163.0,967,0.0,-413,44.0,149.0,220.0,554,-335,312.0,314.0,-2,,23,219,-21,198,-19.0,-19.0,0.0,217,0.0,217,0,0,217,149.1,-48.9,486.088,0.45,0.41,0.306735,487.443,0.45,0.41,0.306735,
12/31/2010,1471,1471.0,,-958,958.0,513,0.0,-424,38.0,147.0,239.0,89,-381,162.0,165.0,-3,,219,-292,106,-186,-162.0,-162.0,0.0,-24,,-24,0,0,-24,-106.05,79.95,486.106,-0.05,-0.38,-0.218162,487.589,-0.05,-0.38,-0.218162,
03/31/2011,1499,1499.0,,-1069,1069.0,430,0.0,-412,32.0,131.0,249.0,18,-397,188.0,191.0,-3,,209,-379,83,-296,0.0,0.0,0.0,-296,-1.0,-297,0,0,-297,-164.35,132.65,486.191,-0.61,-0.61,-0.338036,486.191,-0.61,-0.61,-0.338036,
06/30/2011,1633,1633.0,,-1000,1000.0,633,0.0,-450,34.0,131.0,285.0,183,-235,190.0,192.0,-2,,45,-52,-18,-70,0.0,0.0,0.0,-70,,-70,0,0,-70,-79.75,-9.75,486.411,-0.14,-0.14,-0.163956,486.411,-0.14,-0.14,-0.163956,
09/30/2011,2209,2209.0,,-1401,1401.0,808,0.0,-405,33.0,143.0,229.0,403,-193,190.0,192.0,-2,,3,210,-20,190,0.0,0.0,0.0,190,,190,0,0,190,193.15,3.15,486.42,0.39,0.39,0.397085,489.062,0.39,0.39,0.396441,
12/31/2011,1459,1477.0,-18.0,-924,924.0,535,0.0,-339,32.0,145.0,162.0,196,-186,183.0,185.0,-2,,3,10,-23,-13,0.0,0.0,0.0,-13,,-13,0,0,-13,-94.25,-81.25,482.468,-0.03,-0.03,-0.19535,482.468,-0.03,-0.03,-0.198405,
03/31/2012,1236,1212.0,24.0,-635,635.0,601,0.0,-406,33.0,140.0,233.0,195,-210,182.0,185.0,-3,,28,-15,6,-9,0.0,0.0,0.0,-9,,-9,0,0,-9,-56.45,-47.45,478.106,-0.02,-0.02,-0.11807,478.106,-0.02,-0.02,-0.119246,
06/30/2012,879,1177.0,-298.0,-614,614.0,265,0.0,-458,35.0,138.0,285.0,-193,-188,182.0,184.0,-2,,6,-381,52,-329,0.0,0.0,0.0,-329,,-329,0,0,-329,-106.05,222.95,471.444,-0.69,-0.69,-0.224947,471.444,-0.69,-0.69,-0.224947,
09/30/2012,1996,1689.0,307.0,-897,897.0,1099,0.0,-394,36.0,140.0,218.0,705,-187,181.0,183.0,-2,,6,518,-81,437,0.0,0.0,0.0,437,,437,0,0,437,293.35,-143.65,462.307,0.95,0.95,0.634535,465.953,0.94,0.94,0.631707,
12/31/2012,1367,1339.0,28.0,-821,821.0,546,0.0,-251,36.0,144.0,71.0,295,-199,180.0,184.0,-4,,19,96,4,100,0.0,0.0,0.0,100,,100,0,0,100,-13.75,-113.75,459.304,0.22,0.22,-0.029937,463.291,0.22,0.22,-0.029937,
03/31/2013,1241,1308.0,-67.0,-821,821.0,420,0.0,-416,33.0,146.0,237.0,4,-179,174.0,176.0,-2,,5,-175,50,-125,0.0,0.0,0.0,-125,,-125,0,0,-125,-91.85,33.15,451.706,-0.28,-0.28,-0.20334,451.706,-0.28,-0.28,-0.206612,
06/30/2013,1572,1539.0,33.0,-1000,1000.0,572,0.0,-450,36.0,145.0,269.0,122,-240,169.0,170.0,-1,,71,-118,48,-70,0.0,0.0,0.0,-70,,-70,0,0,-70,-49.85,20.15,447.558,-0.16,-0.16,-0.111382,447.558,-0.16,-0.16,-0.114978,
09/30/2013,2050,2020.0,30.0,-1059,1059.0,991,0.0,-394,33.0,150.0,211.0,597,-181,174.0,176.0,-2,,7,416,-110,306,0.0,0.0,0.0,306,,306,0,0,306,281.3,-24.7,434.384,0.7,0.7,0.647584,438.493,0.7,0.7,0.643671,
12/31/2013,1438,1507.0,-69.0,-856,856.0,582,0.0,-431,34.0,168.0,229.0,151,-254,173.0,174.0,-1,,81,-103,10,-93,0.0,0.0,0.0,-93,-4.0,-97,0,0,-97,-32.65,64.35,429.331,-0.23,-0.23,-0.076049,429.331,-0.23,-0.23,-0.080116,
03/31/2014,1965,2048.0,-83.0,-1357,1357.0,608,0.0,-464,33.0,153.0,278.0,144,-176,165.0,166.0,-1,,11,-32,19,-13,0.0,0.0,0.0,-13,-4.0,-17,0,0,-17,24.6,41.6,420.105,-0.04,-0.04,0.058557,420.105,-0.04,-0.04,0.058557,
06/30/2014,1939,1766.0,173.0,-1134,1134.0,805,0.0,-476,38.0,147.0,291.0,329,-173,167.0,169.0,-2,,6,156,-15,141,0.0,0.0,0.0,141,-2.0,139,0,0,139,-4.95,-143.95,416.507,0.33,0.33,-0.011885,421.348,0.33,0.33,-0.011885,
09/30/2014,2187,2186.0,1.0,-1268,1268.0,919,0.0,207,37.0,153.0,-397.0,1126,-498,154.0,156.0,-2,,344,628,-9,619,0.0,0.0,0.0,619,-5.0,614,0,0,614,306.0,-308.0,398.232,1.54,1.54,0.768396,402.962,1.52,1.52,0.75566,
12/31/2014,1939,1595.0,344.0,-1133,1133.0,806,0.0,-416,36.0,150.0,230.0,390,-159,153.0,154.0,-1,,6,231,-17,214,0.0,0.0,0.0,214,-4.0,210,0,0,210,-50.0,-260.0,384.964,0.55,0.55,-0.129882,389.425,0.54,0.54,-0.129882,
03/31/2015,1646,1638.0,8.0,-1010,1010.0,636,0.0,-470,37.0,158.0,275.0,166,-174,153.0,154.0,-1,,21,-8,1,-7,0.0,0.0,0.0,-7,-3.0,-10,0,0,-10,-39.5,-32.5,372.935,-0.03,-0.03,-0.113961,372.935,-0.03,-0.03,-0.117147,
06/30/2015,1442,1407.0,35.0,-766,766.0,676,0.0,-475,30.0,160.0,285.0,201,-175,157.0,158.0,-1,,18,26,-5,21,0.0,0.0,0.0,21,-2.0,19,0,0,19,34.3,15.3,366.975,0.05,0.05,0.093467,369.946,0.05,0.05,0.091357,
09/30/2015,1948,1888.0,60.0,-1073,1073.0,875,0.0,-409,33.0,166.0,210.0,466,-159,158.0,159.0,-1,,1,307,-28,279,0.0,0.0,0.0,279,-6.0,273,0,0,273,350.25,77.25,355.443,0.77,0.77,0.98539,357.676,0.76,0.76,0.975978,
12/31/2015,1436,1456.0,-20.0,-918,918.0,518,0.0,-496,38.0,154.0,304.0,22,-174,156.0,157.0,-1,,18,-152,108,-44,0.0,0.0,0.0,-44,-3.0,-47,0,0,-47,72.2,119.2,353.072,-0.13,-0.13,0.204491,353.072,-0.13,-0.13,0.204491,
03/31/2016,1615,1585.0,30.0,-1126,1126.0,489,0.0,-486,38.0,180.0,268.0,3,-162,156.0,157.0,-1,,6,-159,-35,-194,0.0,0.0,0.0,-194,-4.0,-198,0,0,-198,-98.8,99.2,353.501,-0.56,-0.56,-0.27949,353.501,-0.56,-0.56,-0.27949,
06/30/2016,1164,1551.0,-387.0,-542,542.0,622,0.0,-482,35.0,162.0,285.0,140,-178,156.0,157.0,-1,,22,-38,14,-24,0.0,0.0,0.0,-24,-5.0,-29,0,0,-29,29.15,58.15,354.066,-0.08,-0.08,0.082329,354.066,-0.08,-0.08,0.082329,
09/30/2016,2355,2063.0,292.0,-1472,1472.0,883,0.0,-421,33.0,161.0,227.0,462,-165,157.0,158.0,-1,,8,297,4,301,0.0,0.0,0.0,301,-6.0,295,0,0,295,186.65,-108.35,354.215,0.83,0.83,0.52694,356.352,0.83,0.83,0.525947,
12/31/2016,1582,1744.0,-162.0,-1047,1047.0,535,0.0,-301,34.0,172.0,95.0,234,-175,159.0,159.0,0,,16,59,-31,28,0.0,0.0,0.0,28,-4.0,24,0,0,24,-146.95,-170.95,354.236,0.07,0.07,-0.414836,356.473,0.07,0.07,-0.414836,
03/31/2017,2281,2063.0,218.0,-1692,1692.0,589,0.0,-517,40.0,206.0,271.0,72,-185,159.0,159.0,0,,26,-113,61,-52,0.0,0.0,0.0,-52,-4.0,-56,0,0,-56,-113.35,-57.35,354.682,-0.16,-0.16,-0.319582,354.682,-0.16,-0.16,-0.321694,
06/30/2017,2084,2145.0,-61.0,-1529,1529.0,555,0.0,-542,40.0,186.0,316.0,13,-162,154.0,154.0,0,,8,-149,-63,-212,0.0,0.0,0.0,-212,-4.0,-216,0,0,-216,-204.95,11.05,355.358,-0.61,-0.61,-0.576742,355.358,-0.61,-0.61,-0.578905,
09/30/2017,2586,2506.0,80.0,-1721,1721.0,865,0.0,-472,37.0,179.0,256.0,393,-164,156.0,156.0,0,,8,229,2,231,0.0,0.0,0.0,231,-6.0,225,0,0,225,232.8,7.8,355.442,0.63,0.63,0.654959,358.844,0.63,0.63,0.651736,
12/31/2017,1801,2122.0,-321.0,-1396,1396.0,405,0.0,-505,38.0,153.0,314.0,-100,-180,152.0,152.0,0,,28,-280,-8,-288,0.0,0.0,0.0,-288,-4.0,-292,0,0,-292,-174.2,117.8,352.096,-0.821383,-0.821383,-0.490017,352.096,-0.821383,-0.821383,-0.490017,
03/31/2018,2009,2396.0,-387.0,-1770,1770.0,239,0.0,-567,60.0,201.0,306.0,-328,-158,151.0,151.0,0,,7,-486,-108,-594,0.0,0.0,0.0,-594,-4.0,-598,0,0,-598,-204.51,393.49,360.543,-1.658609,-1.658609,-0.567228,360.543,-1.658609,-1.658609,-0.567228,
06/30/2018,2259,2121.0,138.0,-1369,1369.0,890,0.0,-473,31.0,186.0,256.0,417,-219,157.0,157.0,0,,62,198,158,356,0.0,0.0,0.0,356,-4.0,352,0,0,352,502.1,150.1,,,,,,,,,
09/30/2018,2890,2845.0,45.0,-1846,1846.0,1044,0.0,-476,31.0,179.0,266.0,568,-162,158.0,158.0,0,,4,406,-128,278,0.0,0.0,0.0,278,-6.0,272,0,0,272,357.32,85.32,,,,,,,,,
12/31/2018,2354,2503.0,-149.0,-1764,1764.0,590,0.0,-485,36.0,173.0,276.0,105,-131,151.0,151.0,0,,-20,-26,14,-12,0.0,0.0,0.0,-12,-4.0,-16,0,0,-16,-789.48,-773.48,,,,,,,,,
03/31/2019,2599,2538.0,61.0,-1768,1768.0,831,0.0,-473,32.0,174.0,267.0,358,-168,149.0,149.0,0,,19,190,-10,180,0.0,0.0,0.0,180,-5.0,175,0,0,175,126.84,-48.16,,,,,,,,,
06/30/2019,2599,2128.0,471.0,-1647,1647.0,952,0.0,-508,34.0,175.0,299.0,444,-165,157.0,157.0,0,,8,279,-9,270,0.0,0.0,0.0,270,-4.0,266,0,0,266,113.97,-152.03,,,,,,,,,
09/30/2019,2792,2710.0,82.0,-1631,1631.0,1161,0.0,-479,39.0,173.0,267.0,682,-170,153.0,153.0,0,,17,512,-21,491,0.0,0.0,0.0,491,-6.0,485,0,0,485,503.17,18.17,,,,,,,,,
12/31/2019,2082,2061.0,21.0,-1458,1458.0,624,0.0,-516,45.0,172.0,299.0,108,-201,150.0,150.0,0,,51,-93,-58,-151,0.0,0.0,0.0,-151,-5.0,-156,0,0,-156,398.9,138.25,,,,,,,,,
03/31/2020,2292,1943.0,349.0,-1491,1491.0,801,0.0,-452,31.0,164.0,257.0,349,-173,169.0,169.0,0,,4,176,-46,130,0.0,0.0,0.0,130,-2.0,128,0,0,128,241.76,113.76,,,,,,,,,
06/30/2020,1744,1852.0,-108.0,-962,962.0,782,0.0,-470,31.0,163.0,276.0,312,-180,167.0,167.0,0,,13,132,31,163,0.0,0.0,0.0,163,0.0,163,0,0,163,52.4,-110.6,,,,,,,,,
