Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,1139.550049,11.011,11.011,0.0,215.748001,,,0.0,,,,,55.335999,,,,,282.095001,845.315979,1432.720947,-587.405029,0.0,12.139,,,,,12.139,857.454979,,59.535999,59.535999,,,,5.123,,,,,,216.779996,,,,216.779996,281.438995,231.037003,,,,,188.141998,,,188.141998,419.179001,700.617996,0.0,34.111,,,-7.556,,412.377015,438.932014,0.0,438.932014,1139.550011,
06/30/1990,1128.062012,8.793,8.793,0.0,213.856995,,,0.0,,,,,51.244999,,,,,273.894989,842.312988,1450.248047,-607.934998,0.0,11.854,,,,,11.854,854.166988,,56.133999,56.133999,,,,5.117,,,,,,215.470009,,,,215.470009,276.721008,210.302994,,,,,190.817993,,,190.817993,401.120987,677.841995,0.0,34.216,,,-7.557,,423.560998,450.219997,0.0,450.219997,1128.061993,
09/30/1990,1142.592041,6.484,6.484,0.0,234.315994,,,0.0,,,,,54.242001,,,,,295.041992,836.705994,1468.96106,-632.255005,0.0,10.844,,,,,10.844,847.549994,,58.933998,58.933998,,,,5.79,,,,,,224.132997,,,,224.132997,288.856995,198.240997,,,,,195.945999,,,195.945999,394.186996,683.043991,0.0,33.854,,,-16.778999,,442.473,459.548,0.0,459.548,1142.591991,
12/31/1990,1116.005005,8.278,8.278,0.0,201.552002,,,44.201,,,,,15.666,,,,,269.696991,836.598999,1484.421021,-647.822021,0.0,9.709,,,,,9.709,846.307999,,57.091999,57.091999,,,,10.466,,,,,,222.672989,,,,222.672989,290.230988,163.703003,,,,,193.126999,,,193.126999,356.830002,647.060989,0.0,34.580002,,,-16.853001,,451.217014,468.944016,0.0,468.944016,1116.005005,
03/31/1991,1134.322021,8.359,8.359,0.0,217.951004,,,0.0,,,,,56.069,,,,,282.378998,842.607971,1503.969971,-661.362,0.0,9.335,,,,,9.335,851.942971,,56.66,56.66,,,,10.474,,,,,,226.231997,,,,226.231997,293.365997,183.102997,,,,,189.516998,,,189.516998,372.619995,665.985992,0.0,34.826,,,-16.853001,,450.36301,468.33601,0.0,468.33601,1134.322002,
06/30/1991,1141.266968,9.729,9.729,0.0,229.320007,,,0.0,,,,,52.639999,,,,,291.688995,841.151978,1525.071045,-683.919006,0.0,8.426,,,,,8.426,849.577977,,59.358002,59.358002,,,,16.844999,,,,,,226.599001,,,,226.599001,302.802002,174.595001,,,,,190.572998,,,190.572998,365.167999,667.970001,0.0,34.796001,,,-16.853001,,455.354008,473.297009,0.0,473.297009,1141.26701,
09/30/1991,1147.875,12.766,12.766,0.0,233.028,,,0.0,,,,,54.054001,,,,,299.847992,834.802002,1544.256958,-709.455017,0.0,13.225,,,,,13.225,848.027002,,60.562,60.562,,,,14.154,,,,,,225.399997,,,,225.399997,300.115997,174.544998,,,,,195.087997,,,195.087997,369.632996,669.748993,0.0,34.811001,,,-16.854,,460.169003,478.126003,0.0,478.126003,1147.874996,
12/31/1991,1097.770996,12.72,4.835,7.885,200.453003,,,40.903,,,,,15.954,,,,,270.029999,816.174011,1550.706055,-734.531982,0.0,11.567,,,,,11.567,827.741011,,49.153,49.153,,,,11.123,,,,,,227.39499,,,,227.39499,287.67099,145.584,,,,,188.647003,,,188.647003,334.231003,621.901993,0.0,34.778999,,,-17.024,,458.113996,475.868995,0.0,475.868995,1097.770988,
03/31/1992,1109.484985,17.227,9.189,8.038,192.240997,,,0.0,,,,,56.419998,,,,,265.888,831.440002,1577.922974,-746.482971,0.0,12.157,,,,,12.157,843.597002,,50.550999,50.550999,,,,11.124,,,,,,238.111988,,,,238.111988,299.786987,146.580002,,,,,192.610001,,,192.610001,339.190003,638.97699,0.0,34.813,,,-17.024,,452.719007,470.508007,0.0,470.508007,1109.484997,
06/30/1992,1097.378052,18.82,11.085,7.735,190.934006,,,0.0,,,,,55.808998,,,,,265.562988,819.471008,1574.270996,-754.799988,0.0,12.344,,,,,12.344,831.815008,,50.478001,50.478001,,,,9.102,,,,,,225.49199,,,,225.49199,285.071991,141.483002,,,,,193.641998,,,193.641998,335.125,620.196991,0.0,35.018002,,,-17.24,,459.402994,477.180996,0.0,477.180996,1097.377987,
