Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
01/31/2007,375.0,,-250.0,,,125.0,,-114.0,,,,11.0,-50.0,29.0,29.0,0.0,21.0,-39.0,-3.0,-42.0,-48.0,,,6.0,0.0,6.0,0.0,0.0,6.0,6.0,,,,,,,,,,
04/30/2007,380.0,,-244.0,,,136.0,,-105.0,,,,31.0,-37.0,28.0,28.0,0.0,9.0,-6.0,0.0,-6.0,-10.0,,,4.0,0.0,4.0,,,4.0,4.0,,,0.02,-0.03,-0.03,,0.02,-0.03,-0.03,
07/31/2007,381.0,,-386.0,,,-5.0,,-104.0,,,,-109.0,-55.0,26.0,26.0,0.0,29.0,-164.0,-3.0,-167.0,0.0,,,-167.0,0.0,-167.0,,,-167.0,-167.0,,,-0.78,-0.78,-0.78,,-0.78,-0.78,-0.78,
10/31/2007,382.0,,-293.0,,,89.0,,-108.0,,,,-19.0,-26.0,,26.0,0.0,-43.0,-2.0,-2.0,-4.0,-2.0,,,-2.0,0.0,-2.0,0.0,0.0,-2.0,-2.0,9.75,214.0,-0.00934,-0.018692,0.026869,214.0,-0.00934,-0.018692,0.026869,
02/03/2008,402.0,,-244.0,,,158.0,,-123.0,,,,35.0,-37.0,25.0,25.0,0.0,12.0,-2.0,-3.0,-5.0,-9.0,,,4.0,0.0,4.0,0.0,0.0,4.0,4.0,,,,,,,,,,
05/04/2008,411.0,,-251.0,,,160.0,0.0,-119.0,48.0,,71.0,41.0,-19.0,,20.0,,-1.0,22.0,-4.0,18.0,1.0,,,17.0,0.0,17.0,0.0,0.0,17.0,17.0,,214.0,0.08,0.08,0.08,219.0,0.08,0.08,0.08,
08/03/2008,439.0,,-270.0,,,169.0,0.0,-125.0,50.0,,75.0,44.0,-20.0,,20.0,,0.0,24.0,-5.0,19.0,25.0,25.0,,44.0,0.0,44.0,0.0,0.0,44.0,44.0,,214.0,0.21,0.09,0.09,219.0,0.2,0.09,0.09,
11/02/2008,447.0,,-270.0,,,177.0,0.0,-134.0,48.0,,86.0,43.0,-27.0,,21.0,,6.0,16.0,9.0,25.0,7.0,,,18.0,,18.0,,0.0,18.0,18.0,,214.0,0.08,0.116822,0.08,220.0,0.08,0.111818,0.08,
02/01/2009,368.0,368.0,-219.0,204.0,15.0,149.0,0.0,-119.0,40.0,62.0,17.0,30.0,-19.0,,18.0,,1.0,11.0,-5.0,6.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,6.0,16.0,10.0,214.0,0.03,0.03,0.074766,219.0,0.03,0.03,0.074766,
05/03/2009,325.0,325.0,-224.0,210.0,14.0,101.0,0.0,-112.0,42.0,59.0,11.0,-11.0,-22.0,,20.0,,2.0,-33.0,2.0,-31.0,0.0,0.0,0.0,-31.0,0.0,-31.0,0.0,0.0,-31.0,-23.7,7.3,210.460262,-0.147296,-0.147296,-0.11261,210.460262,-0.147296,-0.147296,-0.11261,
