Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2009,777.2,777.2,-625.4,625.4,151.8,0.0,-120.3,120.3,0.0,31.5,-24.8,18.0,,6.8,6.7,-14.0,,-7.3,0.0,0.0,0.0,-7.3,-0.1,-7.4,0.0,0.0,-7.4,-7.4,0.0,,,,,,,,,
12/31/2009,741.1,741.1,-648.5,648.5,92.6,0.0,-139.9,121.3,18.6,-47.3,-20.0,18.5,,1.5,-67.3,19.1,,-48.2,0.0,0.0,0.0,-48.2,0.4,-47.8,0.0,0.0,-47.8,-35.255,12.545,21.25,-2.249412,-2.249412,-1.659059,21.25,-2.249412,-2.249412,-1.659059,
09/30/2010,1031.7,1031.7,-892.6,892.6,139.1,0.0,-128.8,128.6,0.2,10.3,-29.5,27.6,,1.9,-19.2,-5.6,,-24.8,0.0,0.0,0.0,-24.8,-0.2,-25.0,0.0,0.0,-25.0,-24.87,0.13,,,,,,,,,
12/31/2010,972.1,972.1,-837.8,837.8,134.3,0.0,-146.4,132.2,14.2,-12.1,-29.1,27.9,,1.2,-41.2,-9.9,,-51.1,0.0,0.0,0.0,-51.1,-0.2,-51.3,0.0,0.0,-51.3,-43.37,7.93,,,,,,,,,
03/31/2011,1187.0,1187.0,-1030.3,1030.3,156.7,0.0,-135.5,135.2,0.3,21.2,-24.0,29.7,,-5.7,-2.8,1.2,,-1.6,0.0,0.0,0.0,-1.6,-0.1,-1.7,0.0,0.0,-1.7,-5.6,-3.9,21.25,-0.08,-0.08,-0.263529,21.25,-0.08,-0.08,-0.263529,
06/30/2011,1289.0,1289.0,-1125.1,1125.1,163.9,0.0,-142.9,139.8,3.1,21.0,-31.2,30.6,,0.6,-10.2,-7.8,7.8,-18.0,0.0,0.0,0.0,-18.0,,-18.0,0.0,0.0,-18.0,-15.4,2.6,21.25,-0.847059,-0.847059,-0.724706,21.25,-0.847059,-0.847059,-0.724706,
09/30/2011,1218.8,1218.8,-1045.1,1045.1,173.7,0.0,-140.8,138.2,2.6,32.9,-30.3,31.4,,-1.1,2.6,-3.5,,-0.9,0.0,0.0,0.0,-0.9,,-0.9,0.0,0.0,-0.9,0.79,1.69,21.25,-0.042353,-0.042353,0.037176,21.25,-0.042353,-0.042353,0.037176,
12/31/2011,1035.0,1035.0,-870.5,870.5,164.5,0.0,-140.9,126.5,14.4,23.6,-33.0,31.4,,1.6,-9.4,21.1,,11.7,0.0,0.0,0.0,11.7,0.8,12.5,0.0,0.0,12.5,21.86,9.36,21.25,0.588235,0.588235,1.028706,21.25,0.588235,0.588235,1.028706,
03/31/2012,1121.6,1121.6,-930.8,930.8,190.8,0.0,-131.5,131.5,0.0,59.3,-31.8,31.5,,0.3,27.5,-2.6,,24.9,0.0,0.0,0.0,24.9,0.1,25.0,0.0,0.0,25.0,25.0,0.0,21.25,1.176471,1.176471,1.176471,21.25,1.176471,1.176471,1.176471,
06/30/2012,1090.6,1090.6,-906.6,906.6,184.0,0.0,-132.4,131.5,0.9,51.6,-31.8,32.6,,-0.8,19.8,-4.4,,15.4,0.0,0.0,0.0,15.4,0.2,15.6,0.0,0.0,15.6,16.185,0.585,21.25,0.734118,0.734118,0.761647,21.25,0.734118,0.734118,0.761647,
03/31/2013,891.1,891.1,-735.3,735.3,155.8,0.0,-122.5,121.6,0.9,33.3,-27.2,28.4,-1.1,-0.1,6.1,-0.9,,5.2,0.0,0.0,0.0,5.2,0.4,5.6,,0.0,5.6,6.185,0.585,21.3,0.26,0.26,0.290376,21.3,0.26,0.26,0.287465,
06/30/2013,906.9,906.9,-748.4,748.4,158.5,0.0,-130.3,121.4,8.9,28.2,-25.8,27.8,,-2.0,2.4,-2.2,,0.2,0.0,0.0,0.0,0.2,0.3,0.5,0.0,0.0,0.5,6.285,5.785,21.3,0.02,0.02,0.29507,21.3,0.02,0.02,0.291596,
09/30/2013,859.8,859.8,-704.7,704.7,155.1,0.0,-121.3,120.2,1.1,33.8,-28.2,27.1,,1.1,5.6,-2.8,,2.8,0.0,0.0,0.0,2.8,0.2,3.0,0.0,0.0,3.0,3.715,0.715,21.3,0.14,0.14,0.174413,21.3,0.14,0.14,0.173568,
12/31/2013,802.5,802.5,-655.3,655.3,147.2,0.0,-117.9,116.9,1.0,29.3,-29.5,27.2,-2.1,4.4,-0.2,118.2,,118.0,0.0,0.0,0.0,118.0,0.2,118.2,0.0,0.0,118.2,-2.75,-120.95,21.2,5.56,5.56,-0.129717,21.2,5.56,5.56,-0.145189,
03/31/2014,874.4,874.4,-726.7,726.7,147.7,0.0,-117.8,117.8,0.0,29.9,-25.4,27.4,-2.2,0.2,4.5,-3.1,,1.4,0.0,0.0,0.0,1.4,0.2,1.6,0.0,0.0,1.6,7.38,5.98,21.0,0.08,0.08,0.360952,21.0,0.08,0.08,0.360952,
06/30/2014,931.5,931.5,-777.1,777.1,154.4,0.0,-120.2,120.2,0.0,34.2,-29.2,,,29.2,5.0,-2.5,,2.5,0.0,0.0,0.0,2.5,0.1,2.6,0.0,0.0,2.6,2.6,0.0,21.0,0.13,0.13,0.13,21.0,0.13,0.13,0.13,
