Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,11.33,-6.046,5.284,-2.953,2.331,,,0.027,2.358,-0.912,1.446,0.0,,1.446,0,,1.446,,,1.446,,0.008333,0.008333,172.271999,0.008333,0.008333,0.008333,172.271999,
06/30/1990,14.471,-7.691,6.78,-3.641,3.139,,,-0.007,3.132,-1.21,1.922,0.0,,1.922,0,,1.922,,,1.922,,0.011042,0.011042,174.144001,0.011042,0.011042,0.011042,174.144001,
09/30/1990,16.768999,-8.583,8.185999,-3.691,4.495,,,-0.006,4.489,-1.719,2.77,0.0,,2.77,0,,2.77,,,2.77,,0.015833,0.015833,174.847996,0.015833,0.015833,0.015833,174.847996,
12/31/1990,16.677,-9.255,7.422,-2.698,4.724,,,0.038,4.762,-1.554,3.208,0.0,0.0,3.208,0,0.0,3.208,,,3.208,0.01875,0.01875,0.01875,172.821552,0.01875,0.01875,0.01875,172.821552,
03/31/1991,17.384001,-9.429,7.955001,-4.644,3.311,,,0.021,3.332,-1.166,2.166,0.0,,2.166,0,,2.166,,,2.166,,0.011875,0.011875,178.0,0.011875,0.011875,0.011875,178.0,
06/30/1991,21.261,-10.975,10.285999,-5.258,5.028,,,0.09,5.118,-1.79,3.328,0.0,,3.328,0,,3.328,,,3.328,,0.01875,0.01875,179.231995,0.01875,0.01875,0.01875,179.231995,
09/30/1991,26.870001,-13.777,13.093,-5.871,7.222,,,-0.133,7.089,-2.485,4.604,0.0,,4.604,0,,4.604,,,4.604,,0.025625,0.025625,180.703995,0.025625,0.025625,0.025625,180.703995,
12/31/1991,28.108999,-13.866,14.242999,-5.648,8.595,0.0,,0.052,8.647,-3.178,5.469,0.0,0.0,5.469,0,0.0,5.469,,,5.469,0.03,0.03,0.03,182.3,0.03,0.03,0.03,182.3,
03/31/1992,30.841,-15.927,14.914,-7.818,7.096,-0.064,,0.097,7.129,-2.528,4.601,0.0,,4.601,0,,4.601,,,4.601,,0.025,0.025,183.447998,0.025,0.025,0.025,183.447998,
06/30/1992,33.298,-17.146999,16.151001,-7.428,8.723,-0.003,,0.075,8.795,-3.12,5.675,0.0,,5.675,0,,5.675,,,5.675,,0.03125,0.03125,182.720001,0.03125,0.03125,0.03125,182.720001,
09/30/1992,44.471001,-22.594,21.877001,-10.274,11.603,0.0,,0.051,11.654,-4.144,7.51,0.0,,7.51,0,,7.51,,,7.51,,0.04125,0.04125,183.960007,0.04125,0.04125,0.04125,183.960007,
12/31/1992,48.852001,-22.591999,26.260002,-10.852,15.408,0.0,,0.087,15.495,-5.499,9.996,0.0,0.0,9.996,0,0.0,9.996,,,9.996,0.055,0.055,0.055,181.745452,0.055,0.055,0.055,181.745452,
03/31/1993,48.132999,-24.575001,23.557999,-11.028,12.53,0.0,,0.179,12.709,-4.513,8.196,0.0,,8.196,0,,8.196,,,8.196,,0.045,0.045,185.171997,0.045,0.045,0.045,185.171997,
06/30/1993,56.987999,-27.684999,29.302999,-13.174,16.129,0.0,,0.183,16.312,-5.791,10.521,0.0,,10.521,0,,10.521,,,10.521,,0.055,0.055,185.464005,0.055,0.055,0.055,185.464005,
09/30/1993,70.114204,-34.341999,35.772205,-14.395,21.377201,0.0,,0.26,21.637201,-8.126,13.511201,0.0,,13.511201,0,,13.511201,,,13.511201,,0.075,0.075,185.977264,0.075,0.075,0.075,185.977264,
12/31/1993,75.063255,-35.407001,39.656254,-14.794,24.861799,0.0,,0.355,25.216799,-8.886,16.330799,0.0,,16.330435,0,0.0,16.330435,,,16.330799,0.09,0.09,0.09,185.454696,0.09,0.09,0.09,185.454696,
03/31/1994,74.620262,-36.353001,38.267262,-17.511,20.756001,0.0,,0.438,21.194001,-7.63,13.564,0.0,,13.563956,0,,13.563956,,,13.564,,0.075,0.075,186.487167,0.075,0.075,0.075,186.487167,
06/30/1994,86.359268,-41.77,44.589268,-20.841999,23.747,0.0,,0.583,24.33,-8.735,15.595,0.0,,15.594854,0,,15.594854,,,15.595,,0.085,0.085,186.420624,0.085,0.085,0.085,186.420624,
09/30/1994,103.804001,-50.703999,53.100002,-23.542999,29.556999,0.0,,0.515,30.071999,-10.882,19.190001,0.0,,19.190001,0,,19.190001,,,19.189999,,0.105,0.105,186.466003,0.105,0.105,0.105,186.466003,
12/31/1994,113.511475,-61.126999,52.384476,-20.796,31.589001,0.0,,2.165,33.754001,-10.828,22.926001,0.0,0.0,22.926189,0,0.0,22.926189,,,22.926001,0.125,0.125,0.125,186.619996,0.125,0.125,0.125,186.619996,
03/31/1995,109.204002,-56.612999,52.591003,-25.773001,26.818001,0.0,,0.655,27.473001,-9.203,18.27,0.0,,18.27,0,,18.27,,,18.270001,,0.1,0.1,186.673996,0.1,0.1,0.1,186.673996,
06/30/1995,122.551003,-65.084,57.467003,-31.471001,25.996,0.0,,0.141,26.137,-8.756,17.381001,0.0,,17.381001,0,,17.381001,,,17.381001,,0.095,0.095,187.285995,0.095,0.095,0.095,187.285995,
