Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
02/28/1990,283.497986,71.534002,41.108002,30.426001,67.589996,,,57.339001,,,,,1.324,,,,,197.787003,56.806999,186.733002,-129.925995,0.0,,,28.903999,,,,,28.903999,85.710999,,21.243,21.243,,,,0.0,,,,,,3.523001,,,3.523001,24.766001,0.0,,,,,6.799,,,6.799,6.799,31.565001,0.0,54.771999,,,-37.412998,,234.573994,251.932995,0.0,251.932995,283.497995,
05/31/1990,282.264008,72.977001,40.785,32.192001,66.594002,,,56.060001,,,,,0.696,,,,,196.326996,56.780998,187.240005,-130.459,0.0,,,29.156,,,,,29.156,85.936998,,21.392,21.392,,,,0.0,,,,,,5.346001,,,5.346001,26.738001,0.0,,,,,5.889,,,5.889,5.889,32.627001,0.0,55.208,,,-43.919998,,238.348999,249.637001,0.0,249.637001,282.264002,
08/31/1990,279.574005,62.803001,28.396,34.407001,66.586998,,,59.103001,,,,,3.371,,,,,191.863998,57.632999,189.600006,-131.966995,0.0,,,30.077,,,,,30.077,87.709999,,19.989,19.989,,,,0.0,,,,,,5.256001,,,5.256001,25.245001,0.0,,,,,6.043,,,6.043,6.043,31.288001,0.0,55.276001,,,-48.377998,,241.387993,248.285995,0.0,248.285995,279.573997,
11/30/1990,271.115997,57.580999,31.188999,26.392,60.859001,,,58.856998,,,,,5.733,,,,,183.029999,56.893002,187.408997,-130.516006,0.0,,,31.193001,,,,,31.193001,88.086003,,15.27,15.27,,,,0.0,,,,,,4.793,,,4.793,20.063,0.0,,,,,6.79,,,6.79,6.79,26.853,0.0,55.276001,,,-49.674,,238.661,244.263001,0.0,244.263001,271.116001,
02/28/1991,270.834015,60.57,34.112999,26.457001,59.583,,,57.191002,,,,,4.896,,,,,182.240005,56.296001,188.477997,-132.182007,0.0,,,32.298,,,,,32.298,88.594002,,17.214001,17.214001,,,,0.0,,,,,,2.519999,,,2.519999,19.733999,0.0,,,,,6.93,,,6.93,6.93,26.663999,0.0,55.502998,,,-50.074001,,238.741009,244.170006,0.0,244.170006,270.834005,
05/31/1991,275.838989,69.117001,40.234001,28.882999,60.602001,,,53.779999,,,,,3.003,,,,,186.501999,56.138,190.207993,-134.070007,0.0,,,33.199001,,,,,33.199001,89.337002,,15.064,15.064,,,,0.0,,,,,,4.987,,,4.987,20.051001,0.0,,,,,7.129,,,7.129,7.129,27.180001,0.0,55.764,,,-50.210999,,243.106003,248.659004,0.0,248.659004,275.839005,
08/31/1991,287.946014,78.055,47.262001,30.792999,61.794998,,,54.063,,,,,6.054,,,,,199.966995,56.423,192.556,-136.132996,0.0,,,31.556,,,,,31.556,87.979,,24.594999,24.594999,,,,0.0,,,,,,5.636002,,,5.636002,30.231001,0.0,,,,,6.62,,,6.62,6.62,36.851001,0.0,55.824001,,,-50.685001,,245.955997,251.094997,0.0,251.094997,287.945998,
11/30/1991,291.259003,74.001002,44.622002,29.379,67.678001,,,54.924999,,,,,4.966,,,,,201.570007,56.317001,194.121002,-137.804001,0.0,,,33.372002,,,,,33.372002,89.689003,,22.355,22.355,,,,0.0,,,,,,6.633001,,,6.633001,28.988001,0.0,,,,,7.165,,,7.165,7.165,36.153001,0.0,55.859001,,,-51.551998,,250.798992,255.105995,0.0,255.105995,291.258996,
02/28/1992,298.380005,53.419998,53.419998,0.0,63.326,,,58.537998,,,,,3.387,,,,,178.671005,56.515999,196.403,-139.886993,29.101999,,,34.091,,,,,34.091,119.708998,,24.702999,24.702999,,,,0.0,,,,,,6.452002,,,6.452002,31.155001,0.0,,,,,7.365,,,7.365,7.365,38.52,0.0,38.452999,,,0.0,,221.406998,259.859997,0.0,259.859997,298.379997,
05/31/1992,298.532013,41.673,41.673,0.0,67.544998,,,63.338001,,,,,2.561,,,,,175.117004,57.359001,197.845993,-140.487,31.59,,,34.466,,,,,34.466,123.415001,,21.07,21.07,,,,0.0,,,,,,5.724001,,,5.724001,26.794001,0.0,,,,,7.665,,,7.665,7.665,34.459001,0.0,57.676998,,,0.0,,206.395996,264.072994,0.0,264.072994,298.531995,
08/31/1992,305.200012,41.241001,41.241001,0.0,71.745003,,,64.919998,,,,,4.659,,,,,182.565002,57.834,200.496994,-142.662994,30.823,,,33.978001,,,,,33.978001,122.635,,23.211,23.211,,,,0.0,,,,,,6.67,,,6.67,29.881001,0.0,,,,,7.858,,,7.858,7.858,37.739,0.0,57.676998,,,0.0,,209.783997,267.460995,0.0,267.460995,305.199995,
11/30/1992,318.58313,50.185066,50.185066,0.0,74.358521,,,64.638443,,,,,3.480869,,,,,192.662903,56.263309,198.248871,-141.985565,33.252083,,,36.404854,,,,,36.404854,125.920246,,27.641109,27.641109,,,,0.0,,,,,,9.252228,,,9.252228,36.893337,0.0,,,,,7.868362,,,7.868362,7.868362,44.761699,0.0,57.676708,,,0.0,,216.14473,273.821438,0.0,273.821438,318.583137,
02/28/1993,317.179443,45.595131,45.595131,0.0,72.267418,,,66.541695,,,,,2.789614,,,,,187.193863,56.066277,200.231125,-144.164841,35.978363,,,37.940945,,,,,37.940945,129.985584,,24.142223,24.142223,,,,0.0,,,,,,7.681566,,,7.681566,31.82379,0.0,,,,,8.005425,,,8.005425,8.005425,39.829215,0.0,57.676708,,,0.0,,219.673523,277.350231,0.0,277.350231,317.179446,
