Date,Assets,Net Plant in Service,Gross Utility Plant in Service,Accum Depreciation for Plant Asset,Plant Construction in Progress,Net Nuclear Fuel,Total Utility Plant,Cash & Near Cash Items,Marketable Securities,Restricted Bond Proceeds,Net Accounts Receivable,Supplies And Fuel,Prepaid Expenses,Other Current Assets,Total Current Assets,Decommissioning Funds,Long-Term Investments,Other Property & Equipment,Deferred Charges & Others,Total Long Term Assets,Total Assets,Liabilities & Shareholders' Equity,ST Portion of LT Debts,Short Term Debt,Accounts Payable,Other Accounts Payable and Accruals,Other Current Liabilities,Total Current Liabilities,Accum Deferred Income Taxes,Accumulated Deferred ITC,Long-Term Borrowings,Other Liabilities,Total Long-Term Liabilities,Common Stock,Additional Paid in Capital,Retained Earnings & Other Equity,Total Preferred Equity,Minority Interest,Total Equity,Total Capitalization & Liabilities,Source: Bloomberg
03/31/1990,,1588.166992,2753.792969,-1165.625977,87.299004,0,1675.465942,57.516998,0,24.447001,58.314999,114.304001,0,4.974,259.557007,0,0,0,117.445,117.445,2052.468018,,29.4,0.0,85.184998,65.617996,98.245003,278.447998,185.406998,82.072998,650.27301,151.145996,1068.899017,0.543,226.184006,362.781006,115.612999,0,705.12101,2052.468018,
06/30/1990,,1595.93103,2776.414062,-1180.483032,99.481003,0,1695.411987,34.73,0,22.360001,47.973,122.884003,0,1.153,229.100006,0,0,0,116.161003,116.161003,2040.672974,,29.4,0.0,78.499001,49.327,97.829002,255.054993,184.320007,80.996002,650.288025,151.143005,1066.74704,0.543,227.125,375.613007,115.589996,0,718.871002,2040.672974,
09/30/1990,,1607.223022,2807.795898,-1200.572998,108.382004,0,1715.60498,10.742,0,21.681,53.337002,129.087997,0,2.545,217.393005,0,0,0,116.032997,116.032997,2049.031006,,0.0,0.0,93.005997,53.727001,96.332001,243.065002,182.218994,79.918999,649.901001,152.084,1064.122986,0.544,228.007996,397.700989,115.589996,0,741.842987,2049.031006,
01/01/1991,,1633.026001,2851.666016,-1218.640015,113.271004,0,1746.296997,2.905,0,21.712999,50.604,133.710999,0,2.661,211.593994,0,0,0,83.334999,83.334999,2041.225952,,0.0,17.0,86.535004,53.146999,174.399994,331.082001,201.113998,78.962997,649.607971,25.638,955.322967,0.544,228.975998,409.721008,115.580002,0,754.821014,2041.225952,
03/31/1991,,1637.355957,2875.958984,-1238.603027,110.501999,0,1747.858032,26.211,0,21.438999,39.433998,125.235001,0,2.526,214.845001,0,0,0,80.543999,80.543999,2043.246948,,0.0,0.0,69.211998,69.558998,174.399994,313.17099,202.326996,77.903999,649.622009,25.747,955.600006,0.545,230.610001,430.740997,112.580002,0,774.475998,2043.246948,
06/30/1991,,1649.848999,2908.852051,-1259.003052,116.370003,0,1766.218994,25.212,0,21.587,54.868999,114.339996,0,1.323,217.330994,0,0,0,79.119003,79.119003,2062.668945,,90.0,0.0,79.630997,65.070999,174.399994,409.10199,202.102005,76.845001,559.63501,25.493,864.075012,0.546,231.666,444.704987,112.574997,0,789.491989,2062.668945,
09/30/1991,,1655.449951,2935.990967,-1280.541016,130.445007,0,1785.89502,13.133,0,21.451,49.738998,100.239998,0,2.567,187.130005,0,0,0,80.543999,80.543999,2053.569092,,90.0,34.5,92.824997,60.951,80.0,358.276001,227.975998,75.310997,559.202026,25.718,888.207031,0.547,232.794006,461.170013,112.574997,0,807.086014,2053.569092,
12/31/1991,,1674.317993,2969.108887,-1294.791016,135.468002,0,1809.786011,21.669001,0,20.709,45.423,118.198997,0,2.933,208.932999,0,0,0,82.828003,82.828003,2101.547119,,90.0,0.0,96.469002,192.542999,80.0,459.011993,174.436005,73.400002,642.065979,26.294001,916.195984,0.547,233.990997,379.226013,112.574997,0,726.339005,2101.547119,
03/31/1992,,1683.738037,3000.941895,-1317.203979,148.231995,0,1831.969971,5.488,0,29.09,29.193001,135.725006,0,2.622,202.117996,0,0,0,87.346001,87.346001,2121.434082,,90.0,84.300003,99.766998,211.807999,80.0,565.875,173.966003,72.332001,570.062012,26.358,842.718018,0.548,234.796997,390.42099,87.074997,0,712.840988,2121.434082,
06/30/1992,,1694.516968,3035.340088,-1340.822998,180.460999,0,1874.978027,5.497,0,26.707001,25.608999,161.873993,0,1.547,221.233994,0,0,0,96.421997,96.421997,2192.634033,,0.0,117.146004,93.352997,199.117004,80.0,489.615997,175.145004,71.264999,711.06897,26.297001,983.77597,0.55,236.574005,395.042999,87.074997,0,719.241989,2192.634033,
