Date,P/E,Average,High,Low,P/Book,P/Tangible Book,P/Sales,EV/Total Revenues,Price/Share,Enterprise Value,Source: Bloomberg
03/31/2000,,,,,1.094497,,,,18.0625,4897.393854,
06/30/2000,,6190.190371,6808.150734,5488.589077,1.386269,,,,23.585938,5748.829105,
09/30/2000,,5979.690671,7527.328575,5249.522491,1.513685,,,,26.875,7526.812695,
12/31/2000,16.07906,8789.497801,10892.964115,7409.158875,2.039614,,1.344786,1.060613,37.625,9331.800003,
03/31/2001,16.645022,8682.902753,10783.395708,7635.35688,1.953733,,1.322356,1.156003,38.45,10538.815549,
06/30/2001,16.987342,10408.758482,12336.697702,9199.399323,2.028667,,1.402641,1.362459,40.26,12185.017464,
09/30/2001,16.108871,11987.728876,12660.168582,10396.530851,1.956663,,1.375683,1.346272,39.95,12071.615493,
12/31/2001,15.763359,11598.378443,12583.953076,10366.803389,2.093519,2.36475,1.384485,1.375254,41.3,12527.189523,
03/31/2002,14.197026,11921.546139,12837.826323,11045.408762,1.948745,,1.315129,1.322069,38.19,11581.983394,
06/30/2002,12.707581,11334.812861,12275.873798,10374.711761,1.723575,,1.190768,1.244555,35.2,10974.488148,
09/30/2002,10.109091,9767.824685,10942.75837,8440.546626,1.318888,,0.920653,0.971316,27.8,8657.919839,
12/31/2002,9.893617,9131.448375,9886.617914,8217.363504,1.293594,1.468963,0.96139,1.073988,27.9,9096.142322,
03/31/2003,9.645833,9115.357536,9791.333362,8181.892017,1.181467,1.331391,0.919483,0.935362,27.78,8184.420092,
06/30/2003,10.312081,8702.028052,10287.312278,7848.115064,1.109447,1.230545,0.984459,1.144353,30.73,10293.916302,
09/30/2003,10.798722,10510.853587,11325.190076,10133.826594,1.204561,1.248393,1.047739,1.190008,33.8,11046.364062,
12/31/2003,11.398176,11496.318966,12120.762756,9622.869431,1.322727,1.485818,1.072895,0.957257,37.5,9640.825211,
03/31/2004,12.887906,10816.826402,11883.371071,9735.700794,1.415416,1.556761,1.218305,1.155857,43.69,11970.056415,
06/30/2004,,12481.735481,12912.909836,11900.970024,,,,,43.75,,
