Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Other Investments,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,1-4 Family Residential Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,6985.115234,127.869003,28.157,,,816.932983,,,,,1575.155029,,,4094.559082,,,0.0,5669.713867,-46.675999,5623.038086,184.917007,,,,,,,0.0,204.201155,,337.028992,5350.918091,1689.20105,3661.717041,0.0,5687.946777,0.0,,,,,,741.851013,,,,,,,,74.186996,6503.984787,0.0,80.806,,,0.0,,400.324005,481.130005,0.0,481.130005,6985.114792,
06/30/1990,7001.070801,158.830002,14.057,,,1068.702026,,,,,1565.506958,,,3855.808105,,,0.0,5421.314941,-65.875999,5355.438965,182.076004,,,,,,,0.0,221.966804,,359.040985,5412.546021,1720.962036,3691.583984,0.0,5771.586914,0.0,,,,,,674.005981,,,,,,,,84.188004,6529.780899,0.0,80.816002,,,0.0,,390.473999,471.290001,0.0,471.290001,7001.0709,
12/31/1990,6925.99707,193.981995,48.748001,,,1089.161011,,,,,1428.990967,,,3782.964111,,,0.0,5211.955078,-94.0,5117.955078,179.225998,,,,,,,0.0,296.924987,,399.833008,5321.174927,1747.285034,3573.889893,32.363998,5753.37207,366.998993,,,,,,368.700012,,,,,,,,59.785999,6548.857074,0.0,80.834999,,,0.0,,296.304993,377.139992,0.0,377.139992,6925.997066,
03/31/1991,6717.589844,159.373001,44.095001,,,1020.31897,,,,,1357.344971,,,3693.055908,,,0.0,5050.400879,-106.5,4943.900879,177.869995,,,,,,,0.0,372.031998,,392.009003,5269.729004,1842.831055,3426.897949,0.0,5661.737793,0.0,,,,,,633.690002,,,,,,,,67.181,6362.608795,0.0,80.846001,,,0.0,,274.13501,354.98101,0.0,354.98101,6717.589806,
06/30/1991,6279.793945,144.951004,108.650002,,,704.025024,,,,,1252.677002,,,3670.158936,,,0.0,4922.835938,-96.5,4826.335938,175.996002,,,,,,,0.0,319.835976,,451.240997,5152.176025,1974.678955,3177.49707,21.612,5625.028809,0.0,,,,,,263.700012,,,,,,,,78.740997,5967.469818,0.0,80.860001,,,0.0,,231.464005,312.324005,0.0,312.324005,6279.793823,
09/30/1991,6143.395996,140.927994,184.966995,,,718.890991,,,,,1163.310059,,,3511.326904,,,0.0,4674.637207,-99.0,4575.637207,173.761002,,,,,,,0.0,349.211807,,394.169006,4982.703979,2029.055054,2953.648926,14.565,5391.437988,0.0,,,,,,360.653992,,,,,,,,103.072998,5855.164978,0.0,80.861,,,0.0,,207.369995,288.230995,0.0,288.230995,6143.395973,
12/31/1991,5989.221191,155.123993,194.485001,,,775.598979,,,,,1089.147949,,,3332.269043,,,0.0,4421.416992,-98.5,4322.916992,172.550995,,,,,,,0.0,368.545231,,446.322998,4751.736084,2086.165039,2665.571045,29.785,5227.844238,276.039001,,,,,,95.5,,,,,,,,90.272003,5689.655242,0.0,80.873001,,,0.0,,218.692993,299.565994,0.0,299.565994,5989.221236,
06/30/1992,5776.900879,134.705002,33.5,,,1032.861008,,,,,989.025024,,,3172.398926,,,0.0,4161.423828,-90.699997,4070.724121,172.470001,,,,,,,0.0,332.640747,,459.506989,4539.525146,2242.144043,2297.381104,29.580999,5028.612793,0.0,,,,,,395.358002,,,,,,,,52.623001,5476.593796,0.0,80.914001,,,0.0,,219.393005,300.307007,0.0,300.307007,5776.900803,
09/30/1992,5809.490234,118.864998,174.100006,,,928.794983,,,,,1009.583008,,,3188.717041,,,,4198.299805,-88.0,4110.299805,168.854004,,,,,,,0.0,308.576439,,454.399994,4430.731934,2233.520996,2197.210938,13.802,4898.934082,0.0,,,,,,520.546997,,,,,,,,87.305,5506.786079,0.0,80.934998,,,0.0,,221.768997,302.703995,0.0,302.703995,5809.490074,
12/31/1992,5690.602051,159.738007,150.5,,,778.629974,,,,,1004.270996,,,3220.040039,,,0.0,4224.311035,-84.0,4140.311035,173.718002,,,,,,,0.0,287.705033,,550.138,4355.865967,2276.363037,2079.50293,28.301001,4934.305176,143.617004,,,,,,255.5,,,,,,,,50.506001,5383.928181,0.0,80.958,,,0.0,,225.716003,306.674003,0.0,306.674003,5690.602184,
