Date,P/E,P/Book,P/Sales,EV/Sales,Average,High,Low,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
12/31/1982,,,,,,,,,,7.5,,
03/31/1983,,,,,,,,,,7.59375,,
06/30/1983,,,,,,,,,,8.21875,,
09/30/1983,,,,,,,,,,9.09375,,
12/31/1983,,,,,,,,,,9.5,,
03/31/1984,,,,,,,,,,8.71875,,
06/30/1984,,,,,,,,,,9.28125,,
09/30/1984,,,,,,,,,,10.375,,
12/31/1984,,,,,,,,,,10.4375,,
03/31/1985,,,,,,,,,,10.9375,,
06/30/1985,,,,,,,,,,12.34375,,
09/30/1985,,,,,,,,,,11.375,,
12/31/1985,,,,,,,,,,13.25,,
03/31/1986,,,,,,,,,,15.125,,
06/30/1986,,,,,,,,,,17.5,,
09/30/1986,,,,,,,,,,17.25,,
12/31/1986,,,,,,,,,,17.25,,
03/31/1987,,,,,,,,,,16.375,,
06/30/1987,,,,,,,,,,15.75,,
09/30/1987,,,,,,,,,,15.5,,
12/31/1987,,,,,,,,,,14.8125,,
03/31/1988,,,,,,,,,,15.0625,,
06/30/1988,,,,,,,,,,15.5625,,
09/30/1988,,,,,,,,,,16.25,,
12/31/1988,,,,,,,,,,16.375,,
03/31/1989,,,,,,,,,,15.4375,,
06/30/1989,,,,,,,,,,18.25,,
09/30/1989,,,,,,,,,,18.4375,,
12/31/1989,,,,,,,,,,19.875,,
03/31/1990,,,,,3763.826412,3763.826412,3763.826412,,,18.1875,3763.811842,
06/30/1990,,,,,3715.57663,3804.254145,3576.202209,,,18.0625,3804.239676,
09/30/1990,,,,,3564.261253,3804.239676,3350.817423,,,15.0625,3351.463617,
12/31/1990,,,,1.748605,3535.920612,3679.803869,3414.004618,5.177745,8.953214,17.0,3610.079062,
03/31/1991,,,,1.748084,3600.523296,3735.161062,3484.997061,5.140002,8.954259,17.75,3629.134468,
06/30/1991,,,,1.77245,3534.587293,3730.586195,3488.417217,5.435811,9.704252,17.3125,3730.586195,
09/30/1991,,,,1.824279,3852.758151,4012.020697,3675.86282,5.442653,9.409654,19.6875,3950.859858,
12/31/1991,,,,1.939477,4055.2627,4269.094976,3919.589357,5.868099,10.097269,21.5,4269.094976,
03/31/1992,,,,1.839345,4123.497444,4253.459726,4024.178256,5.717115,10.070352,19.625,4024.374548,
06/30/1992,,,,1.943389,4101.80903,4249.266136,3985.090131,5.933685,10.408539,20.75,4249.556635,
09/30/1992,,,,2.051099,4356.094283,4421.577389,4225.811386,6.666266,12.495103,21.5,4350.145015,
12/31/1992,,,,2.077985,4345.111112,4486.502002,4271.925015,6.869207,12.943893,21.625,4487.453493,
03/31/1993,,,,2.07283,4612.217683,4721.162003,4439.570002,6.85475,12.568445,23.3125,4635.908793,
06/30/1993,,,,2.083201,4538.719136,4629.932476,4407.918039,6.872594,12.519059,22.9375,4752.873103,
09/30/1993,,,,2.047129,4722.896834,4885.301097,4537.674291,6.690625,11.985576,23.1875,4831.373758,
12/31/1993,,,,1.953882,4639.728677,4807.329325,4481.965254,5.750315,9.647577,21.5625,4697.115807,
03/31/1994,,,,1.858525,4628.417424,4732.972723,4500.033721,5.425265,9.101957,20.4375,4547.256131,
06/30/1994,,,,1.902146,4562.471992,4723.667164,4412.841872,5.534948,9.227756,20.5,4723.790097,
09/30/1994,,,,1.903138,4801.834136,4907.631174,4706.943163,5.55849,9.360705,21.125,4746.055421,
12/31/1994,,,,2.011862,4891.217379,5055.495663,4729.035083,6.351026,11.433287,22.0,5002.588855,
03/31/1995,,,,2.003277,5054.244605,5169.149905,4921.090903,6.248668,11.377726,22.0,4936.579123,
06/30/1995,,,,2.119619,5024.093292,5228.870331,4862.534155,6.611847,12.135233,23.0625,5239.617535,
09/30/1995,,,,2.031283,5100.236231,5279.325833,5003.343022,6.14692,10.961457,22.6875,5128.196974,
12/31/1995,,,,2.136007,5252.411397,5473.149957,5135.498428,6.342048,11.128218,24.5625,5486.512137,
03/31/1996,,,,2.08619,5558.943547,5719.301955,5396.757958,6.299859,10.98622,24.375,5478.597037,
06/30/1996,,,,2.205553,5370.549476,5782.356487,5258.274152,6.590207,11.471243,24.6875,5797.761312,
09/30/1996,,,,2.093405,5573.764302,5799.481487,5424.807356,6.209468,10.893136,23.3125,5436.55716,
12/31/1996,,,,2.095651,5462.669476,5588.235847,5367.493157,6.120256,10.545547,22.9375,5562.290713,
03/31/1997,,,,2.096405,5659.275422,5752.475154,5571.182146,6.169465,10.734877,23.6875,5614.15806,
06/30/1997,,,,2.354091,5648.236172,6308.065964,5416.481674,6.976694,12.310104,25.875,6309.10079,
09/30/1997,,,,2.25484,6197.519882,6385.417593,5931.168764,6.681657,11.658672,24.875,6187.828844,
12/31/1997,,,,2.554123,6299.740207,6955.993826,5913.974514,7.710554,13.782415,29.125,6982.323,
03/31/1998,,,,2.60036,6786.485178,7056.711029,6610.383026,7.809405,14.267771,29.5,7001.865814,
06/30/1998,,,,2.568863,6841.515667,7025.044994,6659.627293,7.810627,14.403065,28.625,7030.798735,
09/30/1998,,,,2.458373,6829.309064,7099.953991,6613.045513,7.388293,13.428191,28.0625,6898.035133,
12/31/1998,,,,2.462664,6886.651548,7254.19977,6607.242845,7.442158,13.621852,27.75,6942.678079,
03/31/1999,,,,2.160705,6722.362232,6895.2453,6155.269161,6.472224,11.796962,23.1875,6181.680253,
06/30/1999,,,,2.636923,6414.601401,7499.354985,6088.745102,8.094248,15.343774,24.1875,7513.939969,
09/30/1999,,,,1.848047,7328.591636,7566.37736,7052.548979,5.285147,10.498629,21.5625,7146.481045,
12/31/1999,,,,2.769103,7088.217084,11164.566316,6865.234046,9.558392,17.41881,19.5,14703.42653,
03/31/2000,,,,1.382171,11055.53905,11308.751,9498.364775,5.117383,8.904878,19.875,9515.815144,
06/30/2000,,,,1.073586,9762.231994,10124.958946,9308.602531,4.073497,6.709857,20.1875,9312.014039,
09/30/2000,,,,1.976559,12192.19032,19461.594973,9328.242256,8.55992,12.96302,27.519562,19541.92138,
12/31/2000,,,,1.59324,19310.840022,20301.583641,18631.918646,8.076445,12.400787,29.0625,20227.779243,
03/31/2001,,,,1.619388,19575.48749,21943.732187,18688.002825,8.299104,12.584927,30.11,21945.960481,
06/30/2001,,,,1.706238,21881.457525,23656.19142,21087.815508,8.712793,13.228579,28.45,23681.921271,
09/30/2001,,,,1.786489,23414.230652,24673.057042,22712.406241,8.542251,12.886305,28.15,24679.168465,
12/31/2001,,,,2.181038,24713.48075,25207.338797,24005.397299,8.686521,13.302836,27.74,24718.624456,
03/31/2002,,,,2.184684,24211.032149,24955.365681,23038.721564,9.086164,14.417671,25.35,25073.496774,
06/30/2002,,,,1.511966,24059.015333,25302.618224,18297.87964,6.660998,10.818025,16.77,18344.114337,
09/30/2002,,,,1.647658,15879.416188,19286.00966,13918.506355,7.402455,12.624189,9.31,19292.322776,
12/31/2002,,,,1.709697,19618.014556,20125.865385,18589.446854,8.480014,15.630561,11.0,19967.134552,
03/31/2003,,,,1.809032,20148.582612,20752.602694,19803.663109,8.326379,15.340673,12.81,20046.82334,
06/30/2003,,,,1.315563,20481.746315,21231.005677,12435.796234,6.067104,11.23586,15.04,12436.063776,
09/30/2003,,,,1.386795,12302.57459,12671.626642,12033.094982,6.593534,12.454701,15.47,12484.816719,
12/31/2003,,,,1.511145,12863.113878,13231.320303,12420.592066,6.417037,10.856502,16.98,13023.774654,
