Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
01/31/1992,44.694,0.0,0.0,0.0,9.87,,,,12.83,,,,,0.218,,,,,,,22.917999,16.417,34.122002,-17.705,0.0,5.359,,,,5.359,21.776,,2.555,2.555,,,,12.614,,,,,,2.778,,,,2.778,17.947001,20.809,,,,,1.687,,,1.687,22.496,40.443001,0.0,1.472,,,0.0,,2.779,4.251,,4.251,44.694001,
04/30/1992,44.845001,1.228,1.228,0.0,10.557,,,,11.807,,,,,0.502,,,,,,,24.094,15.918,34.256001,-18.337999,0.0,4.833,,,,4.833,20.751,,2.878,2.878,,,,0.497,,,,,,1.723,,,,1.723,5.098,5.342,,,,,1.85,,,1.85,7.192,12.29,0.0,29.892,,,0.0,,2.663,32.555,,32.555,44.845,
07/31/1992,48.265999,5.119,5.119,0.0,10.512,,,,11.998,,,,,0.539,,,,,,,28.167999,15.625,34.695999,-19.070999,0.0,4.473,,,,4.473,20.098,,2.603,2.603,,,,1.136,,,,,,1.664,,,,1.664,5.403,6.129,,,,,1.958,,,1.958,8.087,13.49,0.0,29.892,,,0.0,,4.884,34.776,,34.776,48.266,
10/31/1992,80.985001,1.713,1.713,0.0,15.373,,,,12.399,,,,,2.709,,,,,,,32.194,16.055,35.577999,-19.523001,0.0,32.736,,,,32.736,48.791,,3.535,3.535,,,,1.863,,,,,,5.069,,,,5.069,10.467,28.365999,,,,,1.65,,,1.65,30.015999,40.482999,0.0,34.826,,,0.0,,5.676,40.502,,40.502,80.984999,
01/31/1993,79.163002,1.478,1.478,0.0,13.711,,,,13.24,,,,,2.112,,,,,,,30.541,15.865,36.071999,-20.207001,0.0,32.757,,,,32.757,48.622,,3.648,3.648,,,,1.019,,,,,,3.934,,,,3.934,8.601,27.59,,,,,1.637,,,1.637,29.227,37.828,0.0,34.826,,,0.0,,6.509,41.335,,41.335,79.163,
04/30/1993,80.116997,0.737,0.737,0.0,16.487,,,,14.048,,,,,0.546,,,,,,,31.818001,16.033001,36.964001,-20.931,0.0,32.265999,,,,32.265999,48.299,,5.592,5.592,,,,1.043,,,,,,5.619,,,,5.619,12.254,22.038,,,,,1.668,,,1.668,23.706,35.96,0.0,34.853001,,,0.0,,9.304,44.157001,,44.157001,80.117,
07/31/1993,78.892998,0.684,0.684,0.0,15.922,,,,13.629,,,,,0.65,,,,,,,30.885,16.205999,37.915001,-21.709,0.0,31.802,,,,31.802,48.007999,,5.973,5.973,,,,1.011,,,,,,9.539001,,,,9.539001,16.523001,8.868,,,,,1.78,,,1.78,10.648,27.171001,0.0,35.683998,,,0.0,,16.038,51.721998,,51.721998,78.892999,
10/31/1993,94.209999,1.192,1.192,0.0,18.663,,,,13.261,,,,,1.307,,,,,,,34.423,17.063,38.584999,-21.521999,0.0,42.723999,,,,42.723999,59.786999,,6.396,6.396,,,,0.638,,,,,,13.416001,,,,13.416001,20.450001,9.909,,,,,1.443,,,1.443,11.352,31.802001,0.0,39.188,,,0.0,,23.219999,62.407999,,62.407999,94.21,
01/31/1994,96.385002,1.759,1.759,0.0,18.9,,,,14.549,,,,,1.558,,,,,,,36.765999,17.323999,39.535999,-22.212,0.0,42.294998,,,,42.294998,59.618998,,4.82,4.82,,,,0.265,,,,,,8.012999,,,,8.012999,13.098,16.393999,,,,,1.474,,,1.474,17.867999,30.965999,0.0,39.451,,,0.0,,25.968,65.419001,,65.419001,96.384999,
04/30/1994,108.070999,0.583,0.583,0.0,31.639999,,,,15.692,,,,,1.053,,,,,,,48.967999,17.375,39.351002,-21.976,0.0,41.728001,,,,41.728001,59.103001,,5.599,5.599,,,,0.265,,,,,,9.839,,,,9.839,15.703,19.007999,,,,,1.467,,,1.467,20.474999,36.177999,0.0,39.960999,,,-0.208,,32.139999,71.892998,,71.892998,108.070997,
07/31/1994,102.0,0.5,0.5,0.0,26.781,,,,15.206,,,,,0.942,,,,,,,43.429001,17.375,39.967999,-22.593,0.0,41.195999,,,,41.195999,58.570999,,6.098,6.098,,,,0.285,,,,,,7.519,,,,7.519,13.902,11.58,,,,,1.547,,,1.547,13.127,27.029,0.0,40.09,,,,,34.881001,74.971001,0.0,74.971001,102.000001,
