Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2012,3151.3,113.0,110.2,2.8,134.6,134.6,0.0,,0,0,0,0,0,58.0,0.0,,1.9,56.0,305.6,49.8,121.0,-71.2,0.0,,2795.9,2760.5,2172.9,587.6,35.4,0.0,0.0,2845.7,,180.4,8.6,23.7,148.1,117.1,117.1,0.0,0.0,,,206.7,0.0,0.2,38.2,504.2,536.6,536.6,,,,180.8,0.0,,144.5,36.1,717.4,1221.6,0,297.2,0.2,297.0,0.0,1423.0,16.3,1736.5,193.2,1929.7,3151.3,
12/31/2013,3096.7,75.3,75.3,0.0,145.4,145.4,0.0,,0,0,0,0,0,90.3,0.3,,3.6,85.8,311.0,62.3,152.9,-90.6,0.0,,2723.4,2717.8,2131.3,586.5,5.3,0.0,0.0,2785.7,,208.9,9.4,53.2,146.3,101.9,0.0,0.0,0.0,,101.9,190.0,0.0,0.3,4.0,500.8,472.7,472.7,0.0,0.0,,67.3,0.0,,37.4,29.6,540.0,1040.8,0,373.1,0.2,372.9,0.0,1663.3,19.5,2055.9,0.0,2055.9,3096.7,
03/31/2014,3271.2,38.0,38.0,0.0,,,,,0,0,0,0,0,243.1,0.0,,3.8,237.9,281.1,62.8,159.8,-97.0,0.0,,2927.3,2820.1,2192.3,627.8,107.2,,0.0,2990.1,,171.7,,19.9,151.8,97.6,97.6,,,,,191.8,,0.4,0.0,461.1,519.1,519.1,,,,178.7,,,149.1,29.2,697.8,1158.9,0,374.5,0.2,374.3,0.0,1713.0,24.8,2112.3,,2112.3,3271.2,
06/30/2014,3432.4,97.5,97.5,0.0,,,,,0,0,0,0,0,281.2,0.0,,4.8,274.5,378.7,65.0,,,0.0,,2988.7,2829.4,,2829.4,159.3,,0.0,3053.7,,196.6,,5.5,191.1,93.9,93.9,,,,,188.8,,0.6,0.0,479.3,489.1,489.1,,,,199.4,,,149.9,48.9,688.5,1167.8,0,429.6,1.8,427.8,0.0,1805.5,29.5,2264.6,0.0,2264.6,3432.4,
09/30/2014,3479.0,81.1,81.1,0.0,,,,,0,0,0,0,0,289.8,1.6,,4.6,282.4,370.9,60.3,,,0.0,,3047.8,2889.8,,2889.8,156.4,,0.0,3108.1,,217.3,,17.4,199.9,90.2,90.2,,,,,183.5,,0.3,0.0,491.0,419.2,419.2,,,,343.5,,,205.1,138.1,762.7,1253.7,0,442.8,1.8,441.0,0.0,1798.8,-52.9,2188.7,36.6,2225.3,3479.0,
12/31/2014,3300.0,117.7,117.7,0.0,182.2,182.2,0.0,,0,0,0,0,0,114.1,0.9,,0.4,106.6,414.0,56.5,169.5,-113.0,0.0,0.0,2829.5,2823.3,2211.3,612.0,4.2,1.1,0.0,2886.0,,220.2,9.7,57.9,152.6,86.4,0.0,0.0,0.0,,86.4,199.7,0.0,0.6,3.2,506.3,349.2,349.2,0.0,0.0,,173.9,0.0,,30.2,143.1,523.1,1029.4,0,458.6,1.8,456.8,0.0,1850.6,-75.2,2234.0,36.6,2270.6,3300.0,
03/31/2015,3220.7,84.4,84.4,0.0,,,,,0,0,0,0,0,288.7,0.6,,0.5,274.8,373.1,55.2,171.9,-116.7,0.0,,2792.4,2784.6,2193.6,591.0,4.4,2.8,0.0,2847.6,,159.9,,18.5,141.4,86.4,86.4,,,,,188.2,,0.0,0.0,434.5,226.0,226.0,,,,174.3,,,30.9,143.4,400.3,834.8,0,531.8,1.9,529.9,0.0,1923.9,-106.1,2349.6,36.3,2385.9,3220.7,
06/30/2015,3257.1,119.5,119.5,0.0,,,,,0,0,0,0,0,268.1,0.0,,0.5,262.2,387.6,52.0,,,0.0,,2817.5,2806.3,,2806.3,1.4,9.8,0.0,2869.5,,183.2,,8.7,174.5,86.4,86.4,,,,,187.7,,0.9,0.0,457.3,455.7,455.7,,,,172.8,,,40.9,131.0,628.5,1085.8,0,235.8,1.8,234.0,0.0,1973.6,-74.4,2135.0,36.3,2171.3,3257.1,
09/30/2015,3511.9,283.6,283.6,0.0,,,,,0,0,0,0,0,263.9,0.4,,4.0,255.1,547.5,49.7,,,0.0,,2914.7,2901.6,,2901.6,1.3,11.4,0.0,2964.4,,242.6,,,242.6,86.4,86.4,,,,,198.4,,0.0,0.0,527.4,560.2,560.2,,,,186.3,,,28.0,158.3,746.5,1273.9,0,290.3,1.8,288.5,0.0,2009.1,-97.5,2201.9,36.1,2238.0,3511.9,
12/31/2015,3568.3,146.0,146.0,0.0,177.3,177.3,0.0,,0,0,0,0,0,102.2,0.5,,3.1,95.2,425.5,49.6,184.6,-135.0,1.1,1.1,3092.1,3076.8,2355.0,721.8,2.3,12.5,0.0,3142.8,,202.5,12.8,27.7,162.0,86.4,0.0,0.0,0.0,,86.4,249.1,0.0,0.1,20.8,538.0,737.6,737.6,0.0,0.0,,180.2,0.0,,22.9,157.2,917.8,1455.8,0,178.9,1.7,177.2,0.0,2067.4,-170.0,2076.3,36.2,2112.5,3568.3,
