Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2004,621.218018,,-452.878998,,168.33902,,-81.956001,,,,86.383003,-0.868,,0.0,0.0,0.868,85.515003,-20.524,,64.990997,0.0,,,64.991003,0.0,64.990997,0.0,0.0,64.990997,64.990997,,,,,,,,,,
06/30/2004,667.392029,,-455.859985,,211.532043,,-91.453003,,,,120.079002,56.955999,,2.684,0.0,-59.639999,177.035002,-51.264999,,125.769997,0.0,,,125.770002,0.0,125.769997,0.0,0.0,125.769997,125.769997,,156.048004,0.8,0.8,0.56,156.550995,0.8,0.8,0.56,
09/30/2004,656.109985,,-460.966003,,195.143982,,-91.429001,,,,103.714996,-15.518,,8.268,0.0,7.25,88.196997,-26.882,,61.314999,0.0,,,61.314997,0.0,61.314999,0.0,0.0,61.314999,61.314999,,156.059006,0.39,0.39,0.44,156.671997,0.39,0.39,0.44,
12/31/2004,700.316,,-488.73,,211.586,,-158.749,,,,52.837,7.936,,7.806,-0.251,-15.491,60.773,-11.297,,49.476,0.0,,,49.476,0.0,49.476,0.0,0.0,49.476,49.476,,156.187,0.74,0.74,0.83,157.16,0.73,0.73,0.82,
03/31/2005,662.060974,,-441.144012,,220.916962,,-100.238998,,,,120.678001,-19.132,,7.169,0.0,11.963,101.546001,-24.371,,77.175003,0.0,,,77.175001,0.0,77.175003,0.0,0.0,77.175003,77.175003,,157.190994,0.49,0.49,0.55,158.518997,0.49,0.49,0.55,
06/30/2005,661.914978,,-428.266998,,233.64798,,-111.93,,,,121.718002,-26.941,,6.857,0.0,20.084,94.777003,-22.746,,72.030998,0.0,,,72.031003,0.0,72.030998,0.0,0.0,72.030998,72.030998,,158.567993,0.45,0.45,0.56,160.908005,0.44,0.44,0.55,
09/30/2005,656.570007,,-429.007996,,227.562012,,-127.008003,,,,100.554001,-3.507,,6.916,0.0,-3.409,97.047001,-37.192001,,59.855,0.0,,,59.855,0.0,59.855,0.0,0.0,59.855,59.855,,160.102997,0.38,0.38,0.49,162.841995,0.37,0.37,0.48,
12/31/2005,646.150024,,-460.850006,,185.300018,,-154.910004,,,,30.389999,-1.684,,7.334,0.0,-5.65,28.705999,-2.128,,26.577,0.0,,,26.577999,0.0,26.577,0.0,0.0,26.577,26.577,,161.770004,0.16,0.16,0.33,164.139999,0.16,0.16,0.32,
03/31/2006,664.294006,,-402.466003,,261.828003,,-120.252998,,,,141.574997,-32.484999,7.657,7.657,,24.827999,109.089998,-28.907,,80.182999,,,,80.182998,,80.182999,,,80.182999,80.182999,,160.932999,0.5,0.5,0.63,164.345001,0.49,0.49,0.63,
06/30/2006,671.101013,,-437.712006,,233.389008,,-140.466003,,,,92.922997,-21.699,,7.283,0.0,14.416,71.223996,-17.073999,,54.150002,0.0,,,54.149997,0.0,54.150002,0.0,0.0,54.150002,54.150002,,156.447998,0.35,0.35,0.44,159.654999,0.34,0.34,0.43,
