Date,Revenue,Rental Income,Base Rent,Recoveries from Tenants,Percentage Rent,Other Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,Real Estate Tax,Other Property Expense,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A of Non-Real Estate Assets,Impairment of Assets,Disposal of Con Assets,Disposal of Uncon Assets,Abnormal Losses/(Gains),Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Stock-Based Compensation,Amortization of Financing Costs,Recurring Capital Expenditure,Accounting Adjustments,Tenant Improv & Leasing Com,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/1994,6.046,5.267,,,,,,0.0,0.0,0.779,-3.679,1.328,,,1.233,1.118,0.0,,0.0,2.367,-0.96,0.969,,-0.009,1.407,0.0,,,,0.0,,,1.407,,1.407,0.0,,1.407,1.407,,6.334,0.22,0.22,0.22,6.334,0.22,0.22,0.22,,,,,,,,,,2.708,,2.708,,,,,,,2.708,0.427534,0.427534,0.23,53.796901,53.796901,53.803547,
06/30/1994,7.096,6.284,,,,,,0.0,0.0,0.812,-4.192,1.59,,,1.344,1.258,0.0,,0.0,2.904,-1.486,1.494,,-0.008,1.418,0.0,,,,0.0,,,1.418,,1.418,0.0,,1.418,1.418,,6.335,0.22,0.22,0.22,6.335,0.22,0.22,0.22,,,,,,,,,,2.841,,2.841,,,,,,,2.841,0.448461,0.448461,0.375,83.619322,83.619322,83.632519,
09/30/1994,7.572,6.963,,,,,,0.0,0.0,0.609,-4.402,1.657,,,1.329,1.416,0.0,,0.0,3.17,-1.766,1.768,,-0.002,1.404,0.0,,,,0.0,,,1.404,,1.404,-0.155,,1.249,1.249,,6.245,0.2,0.2,0.2,6.245,0.2,0.2,0.2,,,,,,,,,,2.954,,2.954,,,,,,,2.954,0.473018,0.473018,0.375,79.278096,79.278096,80.501016,
12/31/1994,7.858,7.159,,,,,,0.0,0.0,0.699,-4.867,2.564,,,0.829,1.474,0.0,,0.0,2.991,-1.836,1.834,,0.002,1.155,0.0,,,,0.0,,,1.155,,1.155,-0.128,,1.027,1.027,,6.419,0.16,0.16,0.16,6.419,0.16,0.16,0.16,,,,,,,,,,3.136,,3.136,,,,,,,3.136,0.48855,0.48855,0.395,80.851569,80.851569,79.910718,
03/31/1995,7.959,7.354,,,,,,0.507,0.0,0.098,-4.519,1.983,,,1.036,1.5,0.0,,0.0,3.44,-1.984,1.985,,-0.001,1.456,0.0,,,,0.0,,,1.456,,1.456,-0.115,,1.341,1.341,,6.385,0.21,0.21,0.21,6.385,0.21,0.21,0.21,,,,,,,,,,2.903,,2.903,,,,,,,2.903,0.454659,0.454659,0.4002,88.021945,88.021945,88.046844,
06/30/1995,8.201,7.597,,,,,,0.496,0.0,0.108,-4.597,2.02,,,1.023,1.554,0.0,,0.0,3.604,-2.198,2.207,,-0.009,1.406,0.0,,,,0.0,,,1.406,,1.406,-0.093,,1.313,1.313,,6.496,0.2,0.2,0.2,6.496,0.2,0.2,0.2,,,,,,,,,,3.004,,3.004,,,,,,,3.004,0.462438,0.462438,0.395,85.416779,85.416779,93.575238,
09/30/1995,8.687,7.79,,,,,,0.777,0.0,0.12,-5.082,2.144,,,1.326,1.612,0.0,,0.0,3.605,-2.315,2.315,,0.0,1.29,0.0,,,,0.0,,,1.29,,1.29,-0.077,,1.213,1.213,,6.611,0.18,0.18,0.18,6.611,0.18,0.18,0.18,,,,,,,,,,3.245,,3.245,,,,,,,3.245,0.490849,0.490849,0.395,80.472887,80.472887,80.462254,
12/31/1995,9.588,8.814,,,,,,0.646,0.0,0.128,-5.815,2.536,,,1.509,1.77,0.0,,0.0,3.773,-2.34,2.334,,0.006,1.433,0.0,,,,0.0,,,1.433,,1.433,-0.306,,1.127,1.127,,6.63,0.16,0.16,0.16,6.63,0.16,0.16,0.16,,,,,,,,,,3.463,,3.463,,,,,,,3.463,0.522323,0.522323,0.395,75.623739,75.623739,68.408892,
03/31/1996,10.611,9.783,,,,,,0.711,0.0,0.117,-5.772,2.623,,,1.265,1.884,0.0,,0.0,4.839,-2.238,2.245,,-0.007,2.601,0.0,,,,0.0,,,2.601,,2.601,-0.026,,2.575,2.575,,9.766,0.26,0.26,0.26,9.766,0.26,0.26,0.26,,,,,,,,,,4.706,,4.706,,,,,,,4.706,0.481876,0.481876,0.405,84.046537,84.046537,68.317042,
06/30/1996,11.109,10.129,,,,,,0.81,0.0,0.17,-6.108,2.749,,,1.338,2.021,0.0,,0.0,5.001,-2.372,2.386,,-0.014,2.629,0.0,,,,0.0,,,2.629,,2.629,-0.032,,2.597,2.597,,9.85,0.26,0.26,0.26,9.85,0.26,0.26,0.26,,,,,,,,,,4.912,,4.912,,,,,,,4.912,0.49868,0.49868,0.405,81.214373,81.214373,81.209282,
