Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1991,3.403,-0.66,1.567,-0.876,,,-0.876,3.372,,,3.372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/29/1991,3.217,1.583,1.83,0.498,,,0.498,-0.694,,,-0.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/28/1991,9.079,2.506,1.822,0.012,,,0.012,4.739,,,4.739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,6.061,2.963,1.159,1.1,,,1.1,0.839,,,0.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/1992,1.048,-0.009,1.879,0.503,,,0.503,-1.325,,,-1.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/28/1992,0.42,-0.387,1.405,4.667,,,4.667,-5.265,,,-5.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/27/1992,10.077,4.186,1.768,-0.587,,,-0.587,4.71,,,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,6.598,5.037,3.0,1.819,,,1.819,-3.258,,,-3.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/03/1993,28.628,5.762,6.87,-1.315,,,-1.315,17.311001,,,17.311001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/03/1993,-9.386,9.942,7.141,3.19,,,3.19,-29.659,,,-29.659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/1993,12.385,11.665,9.985,2.729,,,2.729,-11.994,,,-11.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,18.706999,12.153998,10.765002,-6.637,,,-6.637,2.425,,,2.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/02/1994,3.969,-0.428,12.006,2.666,,,2.666,-10.275,,,-10.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/02/1994,-12.737,12.464,12.327,1.274,,,1.274,-38.801998,,,-38.801998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/01/1994,20.76,13.358,12.427,4.307,,,4.307,-9.332,,,-9.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,11.128001,7.613,12.725001,3.815,,,3.815,-13.025001,,,-13.025001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/1995,14.583,4.307,14.874,1.238,,,1.238,-5.836,,,-5.836,,,-10.789,,,,-10.789,,,,,,,,,,10.789,,,,,,,,,,,,
07/01/1995,11.617,5.619,13.421,-2.174,,,-2.174,-5.249,,,-5.249,,,-14.682,,,,-14.682,,,,,,,,,,14.682,,,,,,,,,,,,
09/30/1995,69.047997,6.629,12.696,1.684,,,1.684,48.039001,,,48.039001,,,-7.783,,,,-7.783,,,,,,,,,,7.783,,,,,,,,,,,,
12/31/1995,15.669003,-10.143,11.569002,24.704,,,24.704,-10.461001,,,-10.461001,,,-5.706999,,,,-5.706999,,,,,,,,,,5.706999,,,,,,,,,,,,
03/31/1996,0.071,5.338,13.829,2.378,,,2.378,-21.474001,,,-21.474001,,-5.824,-5.824,,,,-5.824,,,,,,,,,,0.0,,,,,,,,,-5.753,,,
06/29/1996,13.486,16.395,13.232,3.814,,,3.814,-19.955,,,-19.955,,-10.526,-10.526,,,,-10.526,,,,,,,,,,0.0,,,,,,,,,2.96,,,
09/28/1996,-13.108,14.8,14.314,3.985,,,3.985,-46.207001,,,-46.207001,,-12.602,-12.602,,,,-12.602,,,,,,,,,,0.0,,,,,,,,,-25.71,,,
12/31/1996,64.881004,12.516998,13.780997,12.677999,,,12.677999,25.905003,,,25.905003,,-13.132999,-13.132999,,,,-13.132999,,,,,,,,,,0.0,,,,,,,,,51.748005,,,
03/29/1997,16.499001,8.547,15.074,1.439,,,1.439,-8.561,,,-8.561,,-6.846,-6.846,0.0,,,-6.846,,,0.0,0.0,0.0,,,,,0.0,-9.653002,0.0,3.932998,0.501,0.501,0.0,-14.087,,0.0,,,
06/28/1997,32.304999,19.307,14.919,-0.16,,,-0.16,-1.761,,,-1.761,,-5.687,-5.687,0.0,,,-5.687,,,0.0,0.0,0.0,,,,,0.0,-26.617998,0.0,-31.480998,0.332,0.332,0.0,4.531,,0.0,,,
09/27/1997,76.854,20.853,15.35,1.816,,,1.816,38.835,,,38.835,,-43.061,-7.061,0.0,,,-7.061,,,0.0,0.0,0.0,,,,,-36.0,-33.793,0.0,-35.344,2.207,2.207,0.0,-0.656,,0.0,,,
12/31/1997,51.289,24.717,28.534,1.532,,,1.532,-3.494,,,-3.494,,-18.513,-21.267,2.092,,,-23.359,,,0.0,0.0,0.0,,,,,2.754,-33.529,-0.024,-39.522,1.646,1.646,0.0,4.371,,-0.753,,,
