Date,Revenue,Sales & Services Revenue,Financing Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1998,308.600006,,,,-175.199997,,133.400009,,-129.0,,,,,4.4,-8.1,,6.4,0.0,,1.7,-3.7,1.4,-2.3,0.0,,,-2.3,0.0,-2.3,0.0,,-2.3,-2.3,,137.0,-0.02,-0.02,0.3,137.0,-0.02,-0.02,0.3,
06/30/1998,363.600006,,,,-213.600006,,150.0,,-108.400002,,,,,41.599998,-3.7,,11.2,0.0,,-7.5,37.899999,-14.3,23.6,0.0,,,23.599998,0.0,23.6,0.0,,23.6,23.6,,137.0,0.17,0.17,0.17,137.0,0.17,0.17,0.17,
09/30/1998,370.299988,,,,-210.800003,,159.499985,,-113.699997,,,,,45.799999,-4.7,,9.1,0.0,,-4.4,41.099999,-15.5,25.6,0.0,,,25.599999,0.0,25.6,0.0,,25.6,25.6,,144.800003,0.18,0.18,0.18,145.100006,0.18,0.18,0.18,
12/31/1998,404.700012,,,,-226.800003,,177.900009,,-58.099998,,,,,119.800003,-64.499999,,7.2,0.0,,57.299999,55.300004,-21.200001,34.099998,0.0,,,34.100003,0.0,34.099998,0.0,,34.099998,34.099998,,152.0,0.22,0.22,0.22,152.600006,0.22,0.22,0.22,
03/31/1999,399.799988,,,,-227.5,,172.299988,,-113.300003,,,,,59.0,-6.8,,7.5,0.0,,-0.7,52.2,-19.799999,32.400002,0.0,,,32.400001,0.0,32.400002,0.0,,32.400002,32.400002,,151.699997,0.21,0.21,0.21,154.100006,0.21,0.21,0.21,
06/30/1999,426.200012,,,,-243.300003,,182.900009,,-126.800003,,,,,56.099998,-1.9,,8.5,0.0,,-6.6,54.199998,-21.4,32.799999,0.0,,,32.799999,0.0,32.799999,0.0,,32.799999,32.799999,,151.600006,0.22,0.22,0.23,154.100006,0.21,0.21,0.22,
09/30/1999,450.200012,,,,-255.100006,,195.100006,,-133.0,,,,,62.099998,2.1,,8.4,0.0,,-10.5,64.199999,-24.5,39.700001,0.0,,,39.699999,0.0,39.700001,0.0,,39.700001,39.700001,,151.699997,0.26,0.26,0.26,155.0,0.26,0.26,0.26,
12/31/1999,486.700012,,,,-270.200012,,216.5,,-158.5,,,,,58.0,-6.1,,8.1,0.0,,-2.0,51.9,-19.799999,32.099998,0.0,,,32.1,0.0,32.099998,0.0,,32.099998,32.099998,,151.5,0.21,0.21,0.28,155.199997,0.21,0.21,0.28,
03/31/2000,513.599976,,,,-291.899994,,221.699982,,-147.0,,,,,74.699997,-2.400001,,8.1,0.0,,-5.7,72.299996,-27.9,44.400002,0.0,,,44.399997,0.0,44.400002,0.0,0.0,44.400002,44.400002,,151.899994,0.29,0.29,0.29,156.800003,0.28,0.28,0.28,
06/30/2000,530.900024,,,,-301.200012,,229.700012,,-151.899994,,,,,77.800003,-3.2,,8.8,0.0,,-5.6,74.600003,-28.700001,45.900002,0.0,,,45.900002,0.0,45.900002,0.0,0.0,45.900002,45.900002,,167.100006,0.27,0.27,0.27,173.899994,0.26,0.26,0.26,
