Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1994,70.599998,,,,,,,-63.210999,,7.389,-0.992,,0.992,0.0,0.0,6.397,-2.623,3.774,0.0,,,3.774,0.0,3.774,0.0,,3.774,3.774,,45.736,0.0825,0.0825,0.0825,45.736,0.0825,0.0825,0.0825,
12/31/1994,72.337997,,,,,,,-64.468002,,7.87,-0.59,,0.59,0.0,0.0,7.28,-2.985,4.295,0.0,,,4.295,0.0,4.295,0.0,,4.295,4.295,,52.936001,0.08,0.08,0.08,52.936001,0.08,0.08,0.08,
03/31/1995,80.699997,,,,,,,-73.556999,,7.143,0.396,,0.0,0.0,-0.396,7.539,-3.08,4.459,0.0,,,4.459,0.0,4.459,0.0,,4.459,4.459,,53.183998,0.085,0.085,0.085,53.183998,0.085,0.085,0.085,
06/30/1995,89.542999,,,,,,,-80.403,,9.14,-0.569,,0.173,0.0,0.396,8.571,-3.495,5.076,0.0,,,5.076,0.0,5.076,0.0,,5.076,5.076,,54.08,0.095,0.095,0.095,54.08,0.095,0.095,0.095,
09/30/1995,89.293999,,,,,,,-79.361,,9.933,-0.355,,,0.0,0.355,9.578,-3.917,5.661,0.0,,,5.661,0.0,5.661,0.0,,5.661,5.661,,55.008,0.1025,0.1025,0.1025,55.008,0.1025,0.1025,0.1025,
12/31/1995,91.351997,,,,,,,-82.959999,,8.392,0.111,,,0.0,-0.111,8.503,-3.431,5.072,0.0,,,5.072,0.0,5.072,0.0,,5.072,5.072,,55.312,0.0925,0.0925,0.0925,55.312,0.0925,0.0925,0.0925,
03/31/1996,99.061996,,,,,,,-89.113998,,9.948,-0.37,,,0.0,0.37,9.578,-3.843,5.735,0.0,,,5.735,0.0,5.735,0.0,,5.735,5.735,,56.0,0.1025,0.1025,0.1025,56.0,0.1025,0.1025,0.1025,
06/30/1996,116.801003,,,,,,,-104.321999,,12.479,2.461,,,0.0,-2.461,14.94,-4.972,7.288,0.0,,,9.968,0.0,7.288,0.0,,7.288,7.288,,64.916,0.1125,0.1125,0.1125,64.916,0.1125,0.1125,0.1125,
09/30/1996,144.332,,,,,,,-128.576,,15.756,-1.354,1.427,1.427,,-0.073,14.402,-5.869,8.533,,,,8.533,,8.533,,,8.533,8.533,,145.848,0.0575,0.0575,0.0575,145.848,0.0575,0.0575,0.0575,
12/31/1996,225.158997,,,,,,,,,21.061001,,,,,,,,,,,,,,11.676,0.0,,11.676,11.676,,92.008003,0.125,0.125,0.125,94.790001,0.125,0.125,0.125,
