Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2007,1039.894,,-700.215,,339.679,,-254.567,254.567,0.0,85.112,-67.963,51.717,51.717,0.0,16.246,17.149,-5.145,12.004,0.0,,,12.004,0.0,12.004,0,0,12.004,12.004,,385.9,0.03,0.03,0.0725,388.42,0.03,0.03,0.0725,
06/30/2007,1121.907,,-741.55,,380.357,0.0,-266.017,266.017,0.0,114.34,-78.006,51.23,51.23,0.0,26.776,36.334,-10.9,25.434,,,,25.434,0.0,25.434,0,0,25.434,25.434,,385.016,0.065,0.065,0.135,388.896,0.065,0.065,0.135,
09/29/2007,1153.606,,-792.587,,361.019,0.0,-253.233,253.233,0.0,107.786,-52.221,49.27,,0.0,2.951,55.565,-16.669,38.896,0.0,,,38.896,0.0,38.896,0,0,38.896,38.896,,382.656,0.1025,0.1025,0.1325,386.46,0.1,0.1,0.13,
12/29/2007,1159.13,,-799.275,,359.855,0.0,-234.793,266.937,-32.144,125.062,-49.984,46.991,,,2.993,75.078,-25.285,49.793,,,,49.793,,49.793,0,0,49.793,49.793,,381.524,0.13,0.13,0.09585,386.6,0.13,0.13,0.09585,
03/29/2008,987.847,,-642.883,,344.964,,-254.612,,,90.352,-42.952,40.394,40.394,0.0,2.558,47.4,-11.376,36.024,0.0,,,36.024,0.0,36.024,0,0,36.024,36.024,,377.376,0.095,0.095,0.105,382.44,0.095,0.095,0.105,
06/28/2008,1072.171,,-691.215,,380.956,0.0,-266.427,266.427,0.0,114.529,-39.077,37.635,37.635,0.0,1.442,75.452,-18.108,57.344,0.0,,,57.344,0.0,57.344,0,0,57.344,57.344,,377.42,0.1525,0.1525,0.165,384.236,0.15,0.15,0.1625,
09/27/2008,1153.635,,-811.851,,341.784,0.0,-255.228,255.228,0.0,86.556,-65.608,37.253,37.253,0.0,28.355,20.948,-5.028,15.92,0.0,,,15.92,0.0,15.92,0,0,15.92,15.92,,375.968,0.0425,0.0425,0.14,380.072,0.0425,0.0425,0.14,
01/03/2009,1035.117,,-725.471,,309.646,,-233.34,233.34,0.0,76.306,-57.069,39.795,39.795,,17.274,19.237,-1.356,17.881,0.0,,,17.881,0.0,17.881,0,0,17.881,17.881,,375.488,0.0475,0.0475,0.125,379.008,0.0475,0.0475,0.125,
04/04/2009,857.841,857.841,-599.965,599.965,257.876,0.0,-241.909,223.238,18.671,15.967,-40.746,36.8,,,3.946,-24.779,5.451,-19.328,0.0,0.0,0.0,-19.328,0.0,-19.328,0,0,-19.328,1.8984,21.2264,377.972,-0.05,-0.05,0.005023,377.972,-0.05,-0.05,0.005023,
07/04/2009,986.022,986.022,-658.631,658.631,327.391,0.0,-243.243,230.699,12.544,84.148,-44.975,44.807,,,0.168,39.173,-8.618,30.555,0.0,0.0,0.0,30.555,0.0,30.555,0,0,30.555,38.8347,8.2797,380.092,0.08,0.08,0.102172,384.668,0.08,0.08,0.101524,
