Date,Revenue,Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,Real Estate Tax,Maintenance Expense,Other Property Expense,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A from Disc Ops,Disposal of Con Assets,Disposal of Uncon Assets,Disposal of Assets from Disc Ops,Income Taxes,Deficit/Distributions to Partners,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Amortization of Financing Costs,Recurring Capital Expenditure,Accounting Adjustments,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/1994,26.82,26.705999,,0.0,0.0,0.114,-18.674,9.2,,,,1.42,5.627,0.0,,2.427,8.146,-4.731,4.731,,0.0,3.415,0.0,,,,0.0,,,3.415,,3.415,,,3.415,3.415,,45.056223,0.07402,0.07402,0.07402,45.056223,0.07402,0.07402,0.07402,,,,,,,,,,,9.493,,9.493,,,,9.493,0.210692,0.210692,0.180423,85.633199,85.633199,85.66312,
06/30/1994,29.945,29.673,,0.0,0.0,0.272,-19.988,10.013,,,,1.067,6.238,0.0,,2.67,9.957,-5.89,5.89,,0.0,4.067,0.0,,,,0.089,,,3.978,,3.978,,,3.978,3.978,,45.942476,0.083272,0.083272,0.083272,45.942476,0.083272,0.083272,0.083272,,,,,,,,,,,10.317,,10.317,,,,10.317,0.224563,0.224563,0.180423,80.343697,80.343697,94.465445,
09/30/1994,39.681,39.526001,,0.0,0.0,0.155,-26.106001,13.392,,,,1.08,7.931,0.0,,3.703,13.575,-7.6,7.58,,0.02,5.975,0.0,,,,0.0,,,5.975,,5.975,,,5.975,5.975,,54.205162,0.111029,0.111029,0.111029,54.205162,0.111029,0.111029,0.111029,,,,,,,,,,,13.916,,13.916,,,,13.916,0.256728,0.256728,0.180423,70.277625,70.277625,70.365044,
12/31/1994,44.282001,44.067001,,0.0,0.0,0.215,-28.321,14.12,,,,1.236,8.933,0.0,,4.032,15.960999,-10.192,10.32,,-0.128,5.769,0.0,,,,0.0,,,5.769,,5.769,,,5.769,5.769,,54.345666,0.101777,0.101777,0.101777,54.345666,0.101777,0.101777,0.101777,,,,,,,,,,,14.561,,14.561,,,,14.561,0.267933,0.267933,0.185271,69.148192,69.148192,67.776942,
03/31/1995,45.667,45.493,,0.0,0.0,0.174,-29.126001,14.494,,,,1.234,9.329,0.0,,4.069,16.541,-10.391,10.454,,-0.063,6.15,0.0,,,,0.0,,,6.15,,6.15,,,6.15,6.15,,55.255696,0.111029,0.111029,0.111029,55.255696,0.111029,0.111029,0.111029,,,,,,,,,,,15.143,,15.143,,,,15.143,0.274053,0.274053,0.20818,75.963316,75.963316,76.873803,
06/30/1995,48.108002,47.747002,,0.0,0.0,0.361,-30.98,15.524,,,,1.547,9.763,0.0,,4.146,17.128,-5.559,10.135,,-4.576,11.569,0.0,,,,0.0,,,11.569,,11.569,,,9.788,9.788,,55.959295,0.175796,0.175796,0.175796,55.959295,0.175796,0.175796,0.175796,,,,,,,,,,,14.705,,14.705,,,,14.705,0.26278,0.26278,0.20818,79.222033,79.222033,79.306357,
09/30/1995,50.338001,49.841999,,0.0,0.0,0.496,-33.065,17.371,,,,0.989,10.288,0.0,,4.417,17.273,-9.769,9.974,,-0.205,7.504,0.0,,,,0.0,,,7.504,,7.504,,,5.076,5.076,,56.074938,0.092524,0.092524,0.092524,56.074938,0.092524,0.092524,0.092524,,,,,,,,,,,15.368,,15.368,,,,15.368,0.274062,0.274062,0.20818,75.960922,75.960922,82.066635,
12/31/1995,52.819,52.158001,,0.0,0.0,0.661,-33.377999,16.806999,,,,1.095,10.662,0.0,,4.814,19.441,-11.537,10.083,,1.454,7.904,0.0,,,,0.0,,,7.904,,7.904,,,5.296,5.296,,58.345693,0.083272,0.083272,0.083272,58.345693,0.083272,0.083272,0.083272,,,,,,,,,,,17.218,,17.218,,,,17.218,0.295103,0.295103,0.20818,70.544777,70.544777,73.730976,
03/31/1996,55.188999,54.839001,,0.0,0.0,0.35,-35.949,18.549,,,,1.383,10.844,0.0,,5.173,19.24,-9.681,10.646,,-0.965,9.559,0.0,,,,0.0,,,9.559,,9.559,,,7.131,7.131,,61.029307,0.120282,0.120282,0.120282,61.029307,0.120282,0.120282,0.120282,,,,,,,,,,,16.726,,16.726,,,,16.726,0.274065,0.274065,0.222059,81.024032,81.024032,81.424134,
06/30/1996,57.641998,57.196999,,0.0,0.0,0.445,-38.109,25.188999,,,,1.549,11.081,0.0,,0.29,19.533,-11.366,11.237,,0.129,8.167,0.0,,,,0.0,,,8.167,,8.166,,,5.738,5.738,,61.244387,0.092524,0.092524,0.092524,61.244387,0.092524,0.092524,0.092524,,,,,,,,,,,16.962999,,16.962999,,,,16.962999,0.276972,0.276972,0.222059,80.173556,80.173556,80.286512,
